Var1,Var2,Edge Type,Freq
PRPF3,NDUFS5 /// RPL10,Correlation,-0.301973278
PTPN13,NDUFS5 /// RPL10,Correlation,-0.591072153
RAB40B,NDUFS5 /// RPL10,Correlation,-0.114130468
RPL35A,NDUFS5 /// RPL10,Correlation,0.522566925
RPL37,NDUFS5 /// RPL10,Correlation,0.075908585
SCN1B,NDUFS5 /// RPL10,Correlation,0.628243586
SERBP1,NDUFS5 /// RPL10,Correlation,0.053112498
SF3B1,NDUFS5 /// RPL10,Correlation,0.525007315
SPARC,NDUFS5 /// RPL10,Correlation,-0.174613981
STMN1,NDUFS5 /// RPL10,Correlation,0.17809808
TARDBP,NDUFS5 /// RPL10,Correlation,0.37330204
TCF4,NDUFS5 /// RPL10,Correlation,-0.287380104
TUBB4B,NDUFS5 /// RPL10,Correlation,0.63903202
TUG1,NDUFS5 /// RPL10,Correlation,0.482132964
VPS13B,NDUFS5 /// RPL10,Correlation,0.20221124
ZFP36,NDUFS5 /// RPL10,Correlation,-0.534141643
ZFYVE26,NDUFS5 /// RPL10,Correlation,-0.194196407
ZNF518A,NDUFS5 /// RPL10,Correlation,-0.432148189
NUTF2 /// NUTF2P4,NKTR,Correlation,0.201198407
LOC101927673 /// OTUB1,NKTR,Correlation,0.011293279
PFDN1,NKTR,Correlation,-0.148051568
PLEKHB1,NKTR,Correlation,0.017348954
PLOD2,NKTR,Correlation,-0.080256136
POGZ,NKTR,Correlation,-0.58810375
PPP1R7,NKTR,Correlation,-0.315616466
PPP2CA,NKTR,Correlation,0.687159601
PPP2CB,NKTR,Correlation,0.333807642
PRPF3,NKTR,Correlation,-0.515228152
PTPN13,NKTR,Correlation,-0.152779047
RAB40B,NKTR,Correlation,-0.148603977
RPL35A,NKTR,Correlation,-0.647370819
RPL37,NKTR,Correlation,-0.677306959
SCN1B,NKTR,Correlation,0.138221955
SERBP1,NKTR,Correlation,0.601513279
SF3B1,NKTR,Correlation,-0.088109813
SPARC,NKTR,Correlation,-0.26273733
STMN1,NKTR,Correlation,0.063210575
TARDBP,NKTR,Correlation,-0.48344588
TCF4,NKTR,Correlation,0.014723922
TUBB4B,NKTR,Correlation,-0.418685963
TUG1,NKTR,Correlation,0.073928258
VPS13B,NKTR,Correlation,0.194686373
ZFP36,NKTR,Correlation,-0.438687495
ZFYVE26,NKTR,Correlation,0.076326621
ZNF518A,NKTR,Correlation,0.728965772
LOC101927673 /// OTUB1,NUTF2 /// NUTF2P4,Correlation,0.647252219
PFDN1,NUTF2 /// NUTF2P4,Correlation,0.434334112
PLEKHB1,NUTF2 /// NUTF2P4,Correlation,0.219441294
PLOD2,NUTF2 /// NUTF2P4,Correlation,0.103108753
POGZ,NUTF2 /// NUTF2P4,Correlation,-0.572441969
PPP1R7,NUTF2 /// NUTF2P4,Correlation,0.809856705
PPP2CA,NUTF2 /// NUTF2P4,Correlation,0.49535829
PPP2CB,NUTF2 /// NUTF2P4,Correlation,0.280434679
PRPF3,NUTF2 /// NUTF2P4,Correlation,-0.267313225
PTPN13,NUTF2 /// NUTF2P4,Correlation,-0.459996605
RAB40B,NUTF2 /// NUTF2P4,Correlation,-0.064214242
RPL35A,NUTF2 /// NUTF2P4,Correlation,0.265206202
RPL37,NUTF2 /// NUTF2P4,Correlation,-0.474836311
SCN1B,NUTF2 /// NUTF2P4,Correlation,0.753969683
SERBP1,NUTF2 /// NUTF2P4,Correlation,0.285482994
SF3B1,NUTF2 /// NUTF2P4,Correlation,0.147423505
SPARC,NUTF2 /// NUTF2P4,Correlation,-0.73173251
STMN1,NUTF2 /// NUTF2P4,Correlation,0.145915133
TARDBP,NUTF2 /// NUTF2P4,Correlation,0.36507771
TCF4,NUTF2 /// NUTF2P4,Correlation,-0.114715754
TUBB4B,NUTF2 /// NUTF2P4,Correlation,0.220003102
TUG1,NUTF2 /// NUTF2P4,Correlation,0.3527402
VPS13B,NUTF2 /// NUTF2P4,Correlation,0.362911616
ZFP36,NUTF2 /// NUTF2P4,Correlation,-0.37679946
ZFYVE26,NUTF2 /// NUTF2P4,Correlation,0.188919736
ZNF518A,NUTF2 /// NUTF2P4,Correlation,-0.133235907
PFDN1,LOC101927673 /// OTUB1,Correlation,0.747696796
PLEKHB1,LOC101927673 /// OTUB1,Correlation,-0.002500545
PLOD2,LOC101927673 /// OTUB1,Correlation,0.135462114
POGZ,LOC101927673 /// OTUB1,Correlation,-0.688025319
PPP1R7,LOC101927673 /// OTUB1,Correlation,0.803861311
PPP2CA,LOC101927673 /// OTUB1,Correlation,0.586879642
PPP2CB,LOC101927673 /// OTUB1,Correlation,0.173060131
PRPF3,LOC101927673 /// OTUB1,Correlation,-0.571807613
PTPN13,LOC101927673 /// OTUB1,Correlation,-0.636527336
RAB40B,LOC101927673 /// OTUB1,Correlation,-0.367891387
RPL35A,LOC101927673 /// OTUB1,Correlation,0.310617182
RPL37,LOC101927673 /// OTUB1,Correlation,-0.148806556
SCN1B,LOC101927673 /// OTUB1,Correlation,0.791579135
SERBP1,LOC101927673 /// OTUB1,Correlation,-0.136542452
SF3B1,LOC101927673 /// OTUB1,Correlation,0.513938022
SPARC,LOC101927673 /// OTUB1,Correlation,-0.468737987
STMN1,LOC101927673 /// OTUB1,Correlation,0.446516611
TARDBP,LOC101927673 /// OTUB1,Correlation,0.531996027
TCF4,LOC101927673 /// OTUB1,Correlation,-0.494592324
TUBB4B,LOC101927673 /// OTUB1,Correlation,0.77716509
TUG1,LOC101927673 /// OTUB1,Correlation,0.618019305
VPS13B,LOC101927673 /// OTUB1,Correlation,-0.134874852
ZFP36,LOC101927673 /// OTUB1,Correlation,-0.539698991
ZFYVE26,LOC101927673 /// OTUB1,Correlation,-0.032317066
ZNF518A,LOC101927673 /// OTUB1,Correlation,-0.382253045
PLEKHB1,PFDN1,Correlation,-0.132566678
PLOD2,PFDN1,Correlation,0.138151262
POGZ,PFDN1,Correlation,-0.644441917
PPP1R7,PFDN1,Correlation,0.573786627
PPP2CA,PFDN1,Correlation,0.280707594
PPP2CB,PFDN1,Correlation,0.159593888
PRPF3,PFDN1,Correlation,-0.584179484
PTPN13,PFDN1,Correlation,-0.594792202
RAB40B,PFDN1,Correlation,-0.215139322
RPL35A,PFDN1,Correlation,0.245109825
RPL37,PFDN1,Correlation,-0.136762309
SCN1B,PFDN1,Correlation,0.562666601
SERBP1,PFDN1,Correlation,-0.446172346
SF3B1,PFDN1,Correlation,0.521245497
SPARC,PFDN1,Correlation,-0.387450871
STMN1,PFDN1,Correlation,0.33553216
TARDBP,PFDN1,Correlation,0.108657945
TCF4,PFDN1,Correlation,-0.697336678
TUBB4B,PFDN1,Correlation,0.722519819
TUG1,PFDN1,Correlation,0.33865269
VPS13B,PFDN1,Correlation,-0.078728659
ZFP36,PFDN1,Correlation,-0.669694749
ZFYVE26,PFDN1,Correlation,-0.281666463
ZNF518A,PFDN1,Correlation,-0.41311708
PLOD2,PLEKHB1,Correlation,0.252448314
POGZ,PLEKHB1,Correlation,0.002882365
PPP1R7,PLEKHB1,Correlation,0.121779842
PPP2CA,PLEKHB1,Correlation,0.387791723
PPP2CB,PLEKHB1,Correlation,0.827633883
PRPF3,PLEKHB1,Correlation,0.144598231
PTPN13,PLEKHB1,Correlation,0.18458139
RAB40B,PLEKHB1,Correlation,0.833144158
RPL35A,PLEKHB1,Correlation,0.464425686
RPL37,PLEKHB1,Correlation,0.178628749
SCN1B,PLEKHB1,Correlation,0.482383504
SERBP1,PLEKHB1,Correlation,0.553065136
SF3B1,PLEKHB1,Correlation,0.628925687
SPARC,PLEKHB1,Correlation,-0.170321593
STMN1,PLEKHB1,Correlation,0.382533715
TARDBP,PLEKHB1,Correlation,0.139995022
TCF4,PLEKHB1,Correlation,0.760493141
TUBB4B,PLEKHB1,Correlation,-0.097769135
TUG1,PLEKHB1,Correlation,0.40969767
VPS13B,PLEKHB1,Correlation,0.242395578
ZFP36,PLEKHB1,Correlation,-0.116438789
ZFYVE26,PLEKHB1,Correlation,-0.592010673
ZNF518A,PLEKHB1,Correlation,-0.243371431
POGZ,PLOD2,Correlation,0.114856897
PPP1R7,PLOD2,Correlation,0.068615146
PPP2CA,PLOD2,Correlation,0.045328429
PPP2CB,PLOD2,Correlation,0.125771754
PRPF3,PLOD2,Correlation,-0.008996209
PTPN13,PLOD2,Correlation,-0.620514868
RAB40B,PLOD2,Correlation,0.31598054
RPL35A,PLOD2,Correlation,0.297504215
RPL37,PLOD2,Correlation,0.122883669
SCN1B,PLOD2,Correlation,-0.050997118
SERBP1,PLOD2,Correlation,-0.086916825
SF3B1,PLOD2,Correlation,0.211368779
SPARC,PLOD2,Correlation,0.059925754
STMN1,PLOD2,Correlation,-0.510839607
TARDBP,PLOD2,Correlation,-0.255159559
TCF4,PLOD2,Correlation,0.10450971
TUBB4B,PLOD2,Correlation,-0.165619886
TUG1,PLOD2,Correlation,-0.377494895
VPS13B,PLOD2,Correlation,-0.009920204
ZFP36,PLOD2,Correlation,-0.50550954
ZFYVE26,PLOD2,Correlation,-0.599139149
ZNF518A,PLOD2,Correlation,-0.628557931
PPP1R7,POGZ,Correlation,-0.361037974
PPP2CA,POGZ,Correlation,-0.833139315
PPP2CB,POGZ,Correlation,-0.471775206
PRPF3,POGZ,Correlation,0.731324119
PTPN13,POGZ,Correlation,0.40863246
RAB40B,POGZ,Correlation,0.244303547
RPL35A,POGZ,Correlation,0.119197262
RPL37,POGZ,Correlation,0.477992974
SCN1B,POGZ,Correlation,-0.685080153
SERBP1,POGZ,Correlation,-0.254594987
SF3B1,POGZ,Correlation,-0.438604185
SPARC,POGZ,Correlation,0.452147435
STMN1,POGZ,Correlation,-0.49237006
TARDBP,POGZ,Correlation,0.039433071
TCF4,POGZ,Correlation,0.426561102
TUBB4B,POGZ,Correlation,-0.409340024
TUG1,POGZ,Correlation,-0.57596314
VPS13B,POGZ,Correlation,-0.213850869
ZFP36,POGZ,Correlation,0.701530872
ZFYVE26,POGZ,Correlation,0.073171276
ZNF518A,POGZ,Correlation,-0.261086139
PPP2CA,PPP1R7,Correlation,0.248994036
PPP2CB,PPP1R7,Correlation,0.078412001
PRPF3,PPP1R7,Correlation,-0.108797444
PTPN13,PPP1R7,Correlation,-0.395884146
RAB40B,PPP1R7,Correlation,-0.148939996
RPL35A,PPP1R7,Correlation,0.598938641
RPL37,PPP1R7,Correlation,-0.025835608
SCN1B,PPP1R7,Correlation,0.738920254
SERBP1,PPP1R7,Correlation,-0.083857158
SF3B1,PPP1R7,Correlation,0.304681091
SPARC,PPP1R7,Correlation,-0.505116991
STMN1,PPP1R7,Correlation,0.276241023
TARDBP,PPP1R7,Correlation,0.746317782
TCF4,PPP1R7,Correlation,-0.235260316
TUBB4B,PPP1R7,Correlation,0.655288264
TUG1,PPP1R7,Correlation,0.496085109
VPS13B,PPP1R7,Correlation,0.119840829
ZFP36,PPP1R7,Correlation,-0.157105206
ZFYVE26,PPP1R7,Correlation,0.166825332
ZNF518A,PPP1R7,Correlation,-0.508765611
PPP2CB,PPP2CA,Correlation,0.702050588
PRPF3,PPP2CA,Correlation,-0.589138821
PTPN13,PPP2CA,Correlation,-0.285363861
RAB40B,PPP2CA,Correlation,0.028209537
RPL35A,PPP2CA,Correlation,-0.033057355
RPL37,PPP2CA,Correlation,-0.338954263
SCN1B,PPP2CA,Correlation,0.720432592
SERBP1,PPP2CA,Correlation,0.584570178
SF3B1,PPP2CA,Correlation,0.567075344
SPARC,PPP2CA,Correlation,-0.36000719
STMN1,PPP2CA,Correlation,0.540718227
TARDBP,PPP2CA,Correlation,0.046627546
TCF4,PPP2CA,Correlation,0.035326182
TUBB4B,PPP2CA,Correlation,0.219302572
TUG1,PPP2CA,Correlation,0.674527959
VPS13B,PPP2CA,Correlation,0.194363139
ZFP36,PPP2CA,Correlation,-0.609055479
ZFYVE26,PPP2CA,Correlation,-0.232080558
ZNF518A,PPP2CA,Correlation,0.235289832
PRPF3,PPP2CB,Correlation,-0.153663149
PTPN13,PPP2CB,Correlation,0.112233361
RAB40B,PPP2CB,Correlation,0.698447223
RPL35A,PPP2CB,Correlation,0.317364893
RPL37,PPP2CB,Correlation,0.038948536
SCN1B,PPP2CB,Correlation,0.589843705
SERBP1,PPP2CB,Correlation,0.64379491
SF3B1,PPP2CB,Correlation,0.773488384
SPARC,PPP2CB,Correlation,-0.144985259
STMN1,PPP2CB,Correlation,0.539559372
TARDBP,PPP2CB,Correlation,-0.089046774
TCF4,PPP2CB,Correlation,0.487372634
TUBB4B,PPP2CB,Correlation,0.059234275
TUG1,PPP2CB,Correlation,0.5861748
VPS13B,PPP2CB,Correlation,0.429648867
ZFP36,PPP2CB,Correlation,-0.415133042
ZFYVE26,PPP2CB,Correlation,-0.644713886
ZNF518A,PPP2CB,Correlation,0.035692723
PTPN13,PRPF3,Correlation,0.655074179
RAB40B,PRPF3,Correlation,0.470775745
RPL35A,PRPF3,Correlation,0.493695126
RPL37,PRPF3,Correlation,0.664771133
SCN1B,PRPF3,Correlation,-0.490676215
SERBP1,PRPF3,Correlation,0.195052239
SF3B1,PRPF3,Correlation,-0.295210785
SPARC,PRPF3,Correlation,0.606644069
STMN1,PRPF3,Correlation,-0.401134875
TARDBP,PRPF3,Correlation,0.161930559
TCF4,PRPF3,Correlation,0.624816978
TUBB4B,PRPF3,Correlation,-0.270988478
TUG1,PRPF3,Correlation,-0.263422634
VPS13B,PRPF3,Correlation,0.452092652
ZFP36,PRPF3,Correlation,0.793289991
ZFYVE26,PRPF3,Correlation,0.134276718
ZNF518A,PRPF3,Correlation,-0.099925764
RAB40B,PTPN13,Correlation,0.385511729
RPL35A,PTPN13,Correlation,0.094265688
RPL37,PTPN13,Correlation,0.457511583
SCN1B,PTPN13,Correlation,-0.322724588
SERBP1,PTPN13,Correlation,0.36778676
SF3B1,PTPN13,Correlation,-0.116999141
SPARC,PTPN13,Correlation,0.507754776
STMN1,PTPN13,Correlation,0.199997832
TARDBP,PTPN13,Correlation,0.067373848
TCF4,PTPN13,Correlation,0.5815419
TUBB4B,PTPN13,Correlation,-0.193639517
TUG1,PTPN13,Correlation,0.142649796
VPS13B,PTPN13,Correlation,0.3302825
ZFP36,PTPN13,Correlation,0.783434688
ZFYVE26,PTPN13,Correlation,0.171493845
ZNF518A,PTPN13,Correlation,0.439871612
RPL35A,RAB40B,Correlation,0.515312348
RPL37,RAB40B,Correlation,0.417917128
SCN1B,RAB40B,Correlation,0.050064583
SERBP1,RAB40B,Correlation,0.458543223
SF3B1,RAB40B,Correlation,0.45032041
SPARC,RAB40B,Correlation,0.219817049
STMN1,RAB40B,Correlation,0.04457142
TARDBP,RAB40B,Correlation,-0.178007628
TCF4,RAB40B,Correlation,0.794084466
TUBB4B,RAB40B,Correlation,-0.276127071
TUG1,RAB40B,Correlation,0.061828192
VPS13B,RAB40B,Correlation,0.476340742
ZFP36,RAB40B,Correlation,0.038946579
ZFYVE26,RAB40B,Correlation,-0.67010456
ZNF518A,RAB40B,Correlation,-0.211583306
RPL37,RPL35A,Correlation,0.701163301
SCN1B,RPL35A,Correlation,0.331555918
SERBP1,RPL35A,Correlation,0.053082776
SF3B1,RPL35A,Correlation,0.523669899
SPARC,RPL35A,Correlation,0.206993185
STMN1,RPL35A,Correlation,0.130237466
TARDBP,RPL35A,Correlation,0.545816488
TCF4,RPL35A,Correlation,0.321742618
TUBB4B,RPL35A,Correlation,0.4900692
TUG1,RPL35A,Correlation,0.36755891
VPS13B,RPL35A,Correlation,0.36975996
ZFP36,RPL35A,Correlation,0.139283056
ZFYVE26,RPL35A,Correlation,-0.333560308
ZNF518A,RPL35A,Correlation,-0.679358902
SCN1B,RPL37,Correlation,-0.258540035
SERBP1,RPL37,Correlation,-0.093176792
SF3B1,RPL37,Correlation,0.315574588
SPARC,RPL37,Correlation,0.783973047
STMN1,RPL37,Correlation,0.014861649
TARDBP,RPL37,Correlation,0.28811677
TCF4,RPL37,Correlation,0.357304782
TUBB4B,RPL37,Correlation,0.320655271
TUG1,RPL37,Correlation,0.131932131
VPS13B,RPL37,Correlation,0.121785177
ZFP36,RPL37,Correlation,0.463040366
ZFYVE26,RPL37,Correlation,-0.320565691
ZNF518A,RPL37,Correlation,-0.426975263
SERBP1,SCN1B,Correlation,0.23300859
SF3B1,SCN1B,Correlation,0.662225073
SPARC,SCN1B,Correlation,-0.681541096
STMN1,SCN1B,Correlation,0.715218307
TARDBP,SCN1B,Correlation,0.513912965
TCF4,SCN1B,Correlation,-0.070047259
TUBB4B,SCN1B,Correlation,0.559146616
TUG1,SCN1B,Correlation,0.801734442
VPS13B,SCN1B,Correlation,0.053669858
ZFP36,SCN1B,Correlation,-0.462493406
ZFYVE26,SCN1B,Correlation,-0.149846964
ZNF518A,SCN1B,Correlation,-0.213487654
SF3B1,SERBP1,Correlation,0.11495409
SPARC,SERBP1,Correlation,0.018823558
STMN1,SERBP1,Correlation,0.14529526
TARDBP,SERBP1,Correlation,-0.069182169
TCF4,SERBP1,Correlation,0.695848299
TUBB4B,SERBP1,Correlation,-0.380063664
TUG1,SERBP1,Correlation,0.331129977
VPS13B,SERBP1,Correlation,0.670700288
ZFP36,SERBP1,Correlation,0.057135142
ZFYVE26,SERBP1,Correlation,-0.010203529
ZNF518A,SERBP1,Correlation,0.512575079
SPARC,SF3B1,Correlation,-0.068130977
STMN1,SF3B1,Correlation,0.685868165
TARDBP,SF3B1,Correlation,0.204457412
TCF4,SF3B1,Correlation,0.116360362
TUBB4B,SF3B1,Correlation,0.580103328
TUG1,SF3B1,Correlation,0.710799087
VPS13B,SF3B1,Correlation,0.011279497
ZFP36,SF3B1,Correlation,-0.481377032
ZFYVE26,SF3B1,Correlation,-0.750502945
ZNF518A,SF3B1,Correlation,-0.408311305
STMN1,SPARC,Correlation,-0.29860958
TARDBP,SPARC,Correlation,-0.199901269
TCF4,SPARC,Correlation,0.266962393
TUBB4B,SPARC,Correlation,-0.071700872
TUG1,SPARC,Correlation,-0.211322776
VPS13B,SPARC,Correlation,0.199449281
ZFP36,SPARC,Correlation,0.450047454
ZFYVE26,SPARC,Correlation,-0.15792586
ZNF518A,SPARC,Correlation,0.055530619
TARDBP,STMN1,Correlation,0.440775134
TCF4,STMN1,Correlation,-0.011432771
TUBB4B,STMN1,Correlation,0.601190427
TUG1,STMN1,Correlation,0.906597891
VPS13B,STMN1,Correlation,-0.158758359
ZFP36,STMN1,Correlation,-0.122529603
ZFYVE26,STMN1,Correlation,-0.153768115
ZNF518A,STMN1,Correlation,0.076932217
TCF4,TARDBP,Correlation,0.03269206
TUBB4B,TARDBP,Correlation,0.63404559
TUG1,TARDBP,Correlation,0.594438663
VPS13B,TARDBP,Correlation,-0.151376979
ZFP36,TARDBP,Correlation,0.371296578
ZFYVE26,TARDBP,Correlation,0.343882697
ZNF518A,TARDBP,Correlation,-0.38794242
TUBB4B,TCF4,Correlation,-0.480350455
TUG1,TCF4,Correlation,0.065713881
VPS13B,TCF4,Correlation,0.401446643
ZFP36,TCF4,Correlation,0.407645752
ZFYVE26,TCF4,Correlation,-0.244414828
ZNF518A,TCF4,Correlation,0.063771634
TUG1,TUBB4B,Correlation,0.682698626
VPS13B,TUBB4B,Correlation,-0.188913523
ZFP36,TUBB4B,Correlation,-0.156188371
ZFYVE26,TUBB4B,Correlation,-0.06423064
ZNF518A,TUBB4B,Correlation,-0.4310384
VPS13B,TUG1,Correlation,0.092063508
ZFP36,TUG1,Correlation,-0.107866692
ZFYVE26,TUG1,Correlation,-0.091140282
ZNF518A,TUG1,Correlation,0.014246224
ZFP36,VPS13B,Correlation,0.090583211
ZFYVE26,VPS13B,Correlation,0.0063417
ZNF518A,VPS13B,Correlation,0.283170934
ZFYVE26,ZFP36,Correlation,0.537239312
ZNF518A,ZFP36,Correlation,0.177371156
ZNF518A,ZFYVE26,Correlation,0.450403878
