Pathway1,Pathway2,vec,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.238095238,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.238095238,overlap
Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.238095238,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Renal.cell.carcinoma_Homo.sapiens_hsa05211,0.236842105,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.236842105,overlap
Proteoglycans.in.cancer_Homo.sapiens_hsa05205,Hepatitis.C_Homo.sapiens_hsa05160,0.236842105,overlap
HTLV.I.infection_Homo.sapiens_hsa05166,Influenza.A_Homo.sapiens_hsa05164,0.236363636,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.235294118,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.235294118,overlap
Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.235294118,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.234042553,overlap
Prostate.cancer_Homo.sapiens_hsa05215,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.233333333,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,HTLV.I.infection_Homo.sapiens_hsa05166,0.232876712,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Focal.adhesion_Homo.sapiens_hsa04510,0.23255814,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Influenza.A_Homo.sapiens_hsa05164,0.23255814,overlap
Glioma_Homo.sapiens_hsa05214,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.230769231,overlap
Glioma_Homo.sapiens_hsa05214,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.230769231,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.230769231,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Endometrial.cancer_Homo.sapiens_hsa05213,0.230769231,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.230769231,overlap
Colorectal.cancer_Homo.sapiens_hsa05210,Hepatitis.C_Homo.sapiens_hsa05160,0.230769231,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.230769231,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,Measles_Homo.sapiens_hsa05162,0.229166667,overlap
Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.228571429,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Prostate.cancer_Homo.sapiens_hsa05215,0.227272727,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Prostate.cancer_Homo.sapiens_hsa05215,0.227272727,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.227272727,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.227272727,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,Hepatitis.C_Homo.sapiens_hsa05160,0.227272727,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.225806452,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.225806452,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.225,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.222222222,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.222222222,overlap
Glioma_Homo.sapiens_hsa05214,Pathways.in.cancer_Homo.sapiens_hsa05200,0.222222222,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.222222222,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.222222222,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Colorectal.cancer_Homo.sapiens_hsa05210,0.222222222,overlap
NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.222222222,overlap
Colorectal.cancer_Homo.sapiens_hsa05210,Mismatch.repair_Homo.sapiens_hsa03430,0.222222222,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.222222222,overlap
Endometrial.cancer_Homo.sapiens_hsa05213,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.222222222,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.22,overlap
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.22,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.219512195,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.21875,overlap
Influenza.A_Homo.sapiens_hsa05164,Viral.myocarditis_Homo.sapiens_hsa05416,0.21875,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Ras.signaling.pathway_Homo.sapiens_hsa04014,0.217391304,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.217391304,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Insulin.signaling.pathway_Homo.sapiens_hsa04910,0.216216216,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.216216216,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.216216216,overlap
Pathways.in.cancer_Homo.sapiens_hsa05200,Endometrial.cancer_Homo.sapiens_hsa05213,0.215686275,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.214285714,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.214285714,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.214285714,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.214285714,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.214285714,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.214285714,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.214285714,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Endometrial.cancer_Homo.sapiens_hsa05213,0.214285714,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.214285714,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.214285714,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,Measles_Homo.sapiens_hsa05162,0.213114754,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.212121212,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Focal.adhesion_Homo.sapiens_hsa04510,0.211538462,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.210526316,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.210526316,overlap
Influenza.A_Homo.sapiens_hsa05164,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.210526316,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.210526316,overlap
Biosynthesis.of.amino.acids_Homo.sapiens_hsa01230,Pentose.phosphate.pathway_Homo.sapiens_hsa00030,0.210526316,overlap
Colorectal.cancer_Homo.sapiens_hsa05210,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.210526316,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Colorectal.cancer_Homo.sapiens_hsa05210,0.208333333,overlap
Glioma_Homo.sapiens_hsa05214,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.208333333,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.208333333,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Focal.adhesion_Homo.sapiens_hsa04510,0.20754717,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.206896552,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.206896552,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.206896552,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.206896552,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.206896552,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Colorectal.cancer_Homo.sapiens_hsa05210,0.206896552,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.205882353,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.205882353,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.205882353,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.205128205,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Prostate.cancer_Homo.sapiens_hsa05215,0.205128205,overlap
Measles_Homo.sapiens_hsa05162,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.205128205,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Endometrial.cancer_Homo.sapiens_hsa05213,0.205128205,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Hepatitis.C_Homo.sapiens_hsa05160,0.205128205,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,0.204545455,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.204545455,overlap
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Pathways.in.cancer_Homo.sapiens_hsa05200,0.202898551,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.2,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.2,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Glioma_Homo.sapiens_hsa05214,0.2,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.2,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.2,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.2,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.2,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.2,overlap
Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,Pathways.in.cancer_Homo.sapiens_hsa05200,0.2,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.2,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.2,overlap
Pathways.in.cancer_Homo.sapiens_hsa05200,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.2,overlap
Measles_Homo.sapiens_hsa05162,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.2,overlap
Proteoglycans.in.cancer_Homo.sapiens_hsa05205,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.2,overlap
Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,Colorectal.cancer_Homo.sapiens_hsa05210,0.2,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.2,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.2,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Hepatitis.C_Homo.sapiens_hsa05160,0.2,overlap
Herpes.simplex.infection_Homo.sapiens_hsa05168,Hepatitis.C_Homo.sapiens_hsa05160,0.2,overlap
Hematopoietic.cell.lineage_Homo.sapiens_hsa04640,Viral.myocarditis_Homo.sapiens_hsa05416,0.2,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Pathways.in.cancer_Homo.sapiens_hsa05200,0.197183099,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Ras.signaling.pathway_Homo.sapiens_hsa04014,0.196428571,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.196428571,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.196078431,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Ras.signaling.pathway_Homo.sapiens_hsa04014,0.195652174,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Focal.adhesion_Homo.sapiens_hsa04510,0.195652174,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,0.195652174,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,0.195652174,overlap
Glioma_Homo.sapiens_hsa05214,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.195121951,overlap
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.195121951,overlap
Chemokine.signaling.pathway_Homo.sapiens_hsa04062,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.194444444,overlap
PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.193548387,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.193548387,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.192982456,overlap
PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.192982456,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.192982456,overlap
Purine.metabolism_Homo.sapiens_hsa00230,Metabolic.pathways_Homo.sapiens_hsa01100,0.192,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.191489362,overlap
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.191489362,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.189189189,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.189189189,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.189189189,overlap
TNF.signaling.pathway_Homo.sapiens_hsa04668,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.189189189,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Renal.cell.carcinoma_Homo.sapiens_hsa05211,0.1875,overlap
Focal.adhesion_Homo.sapiens_hsa04510,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.1875,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,0.1875,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Glioma_Homo.sapiens_hsa05214,0.1875,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.1875,overlap
Pathways.in.cancer_Homo.sapiens_hsa05200,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.1875,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Hepatitis.C_Homo.sapiens_hsa05160,0.1875,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Pathways.in.cancer_Homo.sapiens_hsa05200,0.186440678,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.186046512,overlap
Influenza.A_Homo.sapiens_hsa05164,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.186046512,overlap
Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.185185185,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.185185185,overlap
Hematopoietic.cell.lineage_Homo.sapiens_hsa04640,Antigen.processing.and.presentation_Homo.sapiens_hsa04612,0.185185185,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.184210526,overlap
HTLV.I.infection_Homo.sapiens_hsa05166,Pathways.in.cancer_Homo.sapiens_hsa05200,0.184210526,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Ras.signaling.pathway_Homo.sapiens_hsa04014,0.183673469,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.183673469,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,Acute.myeloid.leukemia_Homo.sapiens_hsa05221,0.181818182,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,0.181818182,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.181818182,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.181818182,overlap
Chemokine.signaling.pathway_Homo.sapiens_hsa04062,Colorectal.cancer_Homo.sapiens_hsa05210,0.181818182,overlap
Chemokine.signaling.pathway_Homo.sapiens_hsa04062,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.181818182,overlap
Colorectal.cancer_Homo.sapiens_hsa05210,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.181818182,overlap
Herpes.simplex.infection_Homo.sapiens_hsa05168,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.181818182,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.181818182,overlap
PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,Hepatitis.C_Homo.sapiens_hsa05160,0.181818182,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Antigen.processing.and.presentation_Homo.sapiens_hsa04612,0.181818182,overlap
Glioma_Homo.sapiens_hsa05214,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.181818182,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.181818182,overlap
Pathways.in.cancer_Homo.sapiens_hsa05200,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.180327869,overlap
HTLV.I.infection_Homo.sapiens_hsa05166,Prostate.cancer_Homo.sapiens_hsa05215,0.18,overlap
Herpes.simplex.infection_Homo.sapiens_hsa05168,Measles_Homo.sapiens_hsa05162,0.18,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Acute.myeloid.leukemia_Homo.sapiens_hsa05221,0.179487179,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Toxoplasmosis_Homo.sapiens_hsa05145,0.179487179,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Measles_Homo.sapiens_hsa05162,0.179487179,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.179487179,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Ras.signaling.pathway_Homo.sapiens_hsa04014,0.178571429,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.178571429,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Colorectal.cancer_Homo.sapiens_hsa05210,0.178571429,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.178571429,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.178571429,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.177777778,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.176470588,overlap
Jak.STAT.signaling.pathway_Homo.sapiens_hsa04630,Osteoclast.differentiation_Homo.sapiens_hsa04380,0.176470588,overlap
Herpes.simplex.infection_Homo.sapiens_hsa05168,Osteoclast.differentiation_Homo.sapiens_hsa04380,0.176470588,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.176470588,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.176470588,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Endometrial.cancer_Homo.sapiens_hsa05213,0.175,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.173913043,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.173913043,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Hepatitis.C_Homo.sapiens_hsa05160,0.173913043,overlap
Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.173913043,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.173913043,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.173913043,overlap
Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.173913043,overlap
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.173913043,overlap
Pathways.in.cancer_Homo.sapiens_hsa05200,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.173076923,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.172413793,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Central.carbon.metabolism.in.cancer_Homo.sapiens_hsa05230,0.172413793,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.172413793,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.172413793,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.172413793,overlap
Herpes.simplex.infection_Homo.sapiens_hsa05168,HTLV.I.infection_Homo.sapiens_hsa05166,0.171875,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Measles_Homo.sapiens_hsa05162,0.171428571,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Measles_Homo.sapiens_hsa05162,0.171428571,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.171428571,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Colorectal.cancer_Homo.sapiens_hsa05210,0.171428571,overlap
Proteoglycans.in.cancer_Homo.sapiens_hsa05205,Colorectal.cancer_Homo.sapiens_hsa05210,0.171428571,overlap
Proteoglycans.in.cancer_Homo.sapiens_hsa05205,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.171428571,overlap
