Gene symbol,Cell type
SLC9B2,Neurons
SLIT1,Neurons
SLITRK3,Neurons
SLITRK4,Neurons
SLITRK5,Neurons
SMARCD3,Neurons
SNAP25,Neurons
SNAP91,Neurons
SNAPC5,Neurons
SNCB,Neurons
SNORD113-2,Neurons
SNORD114-25,Neurons
SNORD114-26,Neurons
SNORD114-3,Neurons
SNORD115-48,Neurons
SNORD116-26,Neurons
SNRPN,Neurons
SNTG1,Neurons
SORCS1,Neurons
SORCS3,Neurons
SOX11,Neurons
SP8,Neurons
SPAG1,Neurons
SPEF2,Neurons
SPHKAP,Neurons
SPIN3,Neurons
SPINT2,Neurons
SPRYD3,Neurons
SPTAN1,Neurons
SPTBN2,Neurons
SRM,Neurons
SRRM3,Neurons
SRRM4,Neurons
SRSF12,Neurons
SSBP3,Neurons
SSTR1,Neurons
ST8SIA1,Neurons
ST8SIA3,Neurons
ST8SIA5,Neurons
STAC2,Neurons
STAR,Neurons
STAT4,Neurons
STMN2,Neurons
STMN3,Neurons
STS,Neurons
STX1A,Neurons
STX3,Neurons
STXBP1,Neurons
STXBP5L,Neurons
SULT4A1,Neurons
SURF2,Neurons
SUSD4,Neurons
SV2A,Neurons
SV2B,Neurons
SVOP,Neurons
SYCE1,Neurons
SYN1,Neurons
SYN2,Neurons
SYN3,Neurons
SYNGR3,Neurons
SYNPR,Neurons
SYT1,Neurons
SYT12,Neurons
SYT13,Neurons
SYT16,Neurons
SYT17,Neurons
SYT4,Neurons
SYT6,Neurons
SYT7,Neurons
SYTL5,Neurons
TAC3,Neurons
TACC2,Neurons
TACR1,Neurons
TAGLN3,Neurons
TASP1,Neurons
TBC1D7,Neurons
TBC1D9,Neurons
TCEAL2,Neurons
TCEAL5,Neurons
TCEAL6,Neurons
THRB,Neurons
THY1,Neurons
TIAM2,Neurons
TIMM50,Neurons
TLE2,Neurons
TMEM106C,Neurons
TMEM130,Neurons
TMEM132B,Neurons
TMEM151B,Neurons
TMEM155,Neurons
TMEM178,Neurons
TMEM183A,Neurons
TMEM196,Neurons
TMEM232,Neurons
TMEM25,Neurons
TMEM59L,Neurons
TNFRSF25,Neurons
TP53I11,Neurons
TPTE2P1,Neurons
TRANK1,Neurons
TRAPPC2L,Neurons
TRIM24,Neurons
TRIM3,Neurons
TRIM32,Neurons
TRIM36,Neurons
TRIM37,Neurons
TRIM46,Neurons
TRPC4,Neurons
TSHZ3,Neurons
TSPAN13,Neurons
TSSC1,Neurons
TSTD1,Neurons
TTC39B,Neurons
TTC40,Neurons
TTC7B,Neurons
TTC9,Neurons
TTC9B,Neurons
TTLL1,Neurons
TUBA8,Neurons
TUBB3,Neurons
TUFT1,Neurons
TUSC3,Neurons
UBASH3B,Neurons
UBE2QL1,Neurons
UBE2T,Neurons
UBE3D,Neurons
UCHL1,Neurons
ULK3,Neurons
UNC13A,Neurons
UNC13C,Neurons
UNC5A,Neurons
UNC5D,Neurons
UNC80,Neurons
UPP1,Neurons
URGCP,Neurons
UROS,Neurons
USP32P2,Neurons
VAT1L,Neurons
VOPP1,Neurons
VSNL1,Neurons
VSTM2A,Neurons
VSTM2L,Neurons
VWA5B2,Neurons
VWC2,Neurons
VWC2L,Neurons
WASF1,Neurons
WBSCR17,Neurons
WDR19,Neurons
WIBG,Neurons
WIPF3,Neurons
WSCD2,Neurons
XKR4,Neurons
XKR6,Neurons
YJEFN3,Neurons
YTHDC2,Neurons
ZBBX,Neurons
ZCCHC12,Neurons
ZDHHC22,Neurons
ZER1,Neurons
ZFR2,Neurons
ZFYVE27,Neurons
ZFYVE9,Neurons
ZNF135,Neurons
ZNF142,Neurons
ZNF204P,Neurons
ZNF233,Neurons
ZNF385B,Neurons
ZNF385D,Neurons
ZNF512,Neurons
ZNF519,Neurons
ZNF540,Neurons
ZNF554,Neurons
ZNF567,Neurons
ZNF667,Neurons
ZNF711,Neurons
ZNF780B,Neurons
ZNF804A,Neurons
ADAMTS18,Oligodendrocytes
ADIPOR2,Oligodendrocytes
APOD,Oligodendrocytes
ATG4C,Oligodendrocytes
BOK,Oligodendrocytes
C10orf90,Oligodendrocytes
C18orf56,Oligodendrocytes
C21orf91,Oligodendrocytes
CA14,Oligodendrocytes
CAPN3,Oligodendrocytes
CARNS1,Oligodendrocytes
CDH1,Oligodendrocytes
CDH19,Oligodendrocytes
CERS2,Oligodendrocytes
CFL2,Oligodendrocytes
CLCA4,Oligodendrocytes
CLDN11,Oligodendrocytes
CLDND1,Oligodendrocytes
CLMN,Oligodendrocytes
CNDP1,Oligodendrocytes
CNP,Oligodendrocytes
COL9A3,Oligodendrocytes
CREB5,Oligodendrocytes
CRYAB,Oligodendrocytes
CTNNA3,Oligodendrocytes
DBNDD2,Oligodendrocytes
DFNB31,Oligodendrocytes
DUSP10,Oligodendrocytes
ELOVL1,Oligodendrocytes
ENPP2,Oligodendrocytes
ERBB3,Oligodendrocytes
FAM107B,Oligodendrocytes
FAM124A,Oligodendrocytes
FAM84B,Oligodendrocytes
FOLH1,Oligodendrocytes
FRMD4B,Oligodendrocytes
FRYL,Oligodendrocytes
GAB1,Oligodendrocytes
GALNT6,Oligodendrocytes
GJB1,Oligodendrocytes
GLTP,Oligodendrocytes
GOLGA7,Oligodendrocytes
GPR37,Oligodendrocytes
HHIP,Oligodendrocytes
HSD11B1,Oligodendrocytes
ICOSLG,Oligodendrocytes
INF2,Oligodendrocytes
IP6K3,Oligodendrocytes
JAM3,Oligodendrocytes
KCNH8,Oligodendrocytes
KCNJ2,Oligodendrocytes
KIF13B,Oligodendrocytes
KLF13,Oligodendrocytes
KLK6,Oligodendrocytes
KLRC3,Oligodendrocytes
LDB3,Oligodendrocytes
LHPP,Oligodendrocytes
LINC00263,Oligodendrocytes
LINC00320,Oligodendrocytes
LITAF,Oligodendrocytes
LOC286186,Oligodendrocytes
LPAR1,Oligodendrocytes
MARCKSL1,Oligodendrocytes
MAST3,Oligodendrocytes
MBP,Oligodendrocytes
MOBP,Oligodendrocytes
MOSPD2,Oligodendrocytes
NINJ2,Oligodendrocytes
NIPAL3,Oligodendrocytes
OLIG2,Oligodendrocytes
OPALIN,Oligodendrocytes
OTUD7B,Oligodendrocytes
PAQR4,Oligodendrocytes
PIP4K2A,Oligodendrocytes
PLCL1,Oligodendrocytes
PPAP2C,Oligodendrocytes
PRIMA1,Oligodendrocytes
PRR18,Oligodendrocytes
PRRG1,Oligodendrocytes
PXK,Oligodendrocytes
REEP3,Oligodendrocytes
RHBDL2,Oligodendrocytes
RHOU,Oligodendrocytes
RNF130,Oligodendrocytes
RTKN,Oligodendrocytes
SECISBP2L,Oligodendrocytes
SEMA6A,Oligodendrocytes
SERTAD3,Oligodendrocytes
SGK2,Oligodendrocytes
SH3TC2,Oligodendrocytes
SHC4,Oligodendrocytes
SLAIN1,Oligodendrocytes
SLC12A2,Oligodendrocytes
SLC31A2,Oligodendrocytes
SLC44A1,Oligodendrocytes
SLC5A11,Oligodendrocytes
SOX2-OT,Oligodendrocytes
SOX8,Oligodendrocytes
ST18,Oligodendrocytes
TF,Oligodendrocytes
TJAP1,Oligodendrocytes
TMEM123,Oligodendrocytes
TMEM144,Oligodendrocytes
TMEM165,Oligodendrocytes
TMEM206,Oligodendrocytes
TMTC4,Oligodendrocytes
UGT8,Oligodendrocytes
USP54,Oligodendrocytes
VEZF1,Oligodendrocytes
VWA1,Oligodendrocytes
ZDHHC9,Oligodendrocytes
