gene,pLI,mis_z
MAP3K19,3.70E-14,-0.608050208
CXCR4,0.42745098,1.808585955
TMEM163,0.067262465,1.652709956
MCM6,0.99848202,0.280788355
MGAT5,0.999925017,2.390126009
CCNT2,0.498104082,1.743949161
ACVR2A,0.993932262,2.723091339
MMADHC,0.020776843,-1.107483633
NEB,4.08E-17,-4.035310406
KYNU,1.83E-09,-1.381991412
NMI,6.23E-09,-1.073391309
EPC2,0.99995236,1.814992827
LYPD6,0.000624826,-0.087413534
KIF5C,0.999515597,3.300962406
RBM43,0.05186677,-0.312065438
TNFAIP6,4.02E-06,0.424248205
ZEB2,0.999833867,4.995854974
ORC4,2.29E-06,-0.509896326
RND3,0.940812851,1.540705127
GTDC1,2.41E-10,-1.257058055
LRP1B,0.99999919,0.515949807
LYPD6B,0.001033508,-0.040187872
MBD5,0.999852333,-0.071089635
RIF1,0.999999997,-2.629608837
ARHGAP15,5.25E-06,-1.007211535
NR4A2,0.991432866,3.21566908
CYTIP,0.048798672,-0.030710535
GALNT13,0.853952804,1.404198555
RPRM,0.532566515,1.828747453
GPD2,0.000100775,0.561548167
ACVR1,0.956448193,2.585304058
DAPL1,0.000268263,-1.017767482
UPP2,0.002024923,-0.013366243
FMNL2,0.996999397,1.498919541
CACNB4,0.011363582,2.3304876
ERMN,0.003101525,-1.081852658
PKP4,1.60E-05,0.181116159
KCNJ3,0.989708243,5.043237735
CCDC148,7.95E-19,-2.489236571
ACVR1C,0.044891005,1.24610143
STAM2,0.034504986,-1.241800237
ARL5A,0.017364843,0.04772625
ARL6IP6,0.170955561,0.302257134
GALNT5,1.34E-12,-0.577638432
PRPF40A,0.966325783,2.80471947
IFIH1,6.00E-26,-2.436560425
DPP4,4.06E-10,-0.264648996
SLC4A10,0.002635544,2.466203545
CD302,0.009385287,-0.728168369
MAR7,0.977026371,-1.664529712
GCG,0.077203462,-0.895279482
PSMD14,0.790099057,3.202006613
TBR1,0.993588037,5.571306963
GCA,0.000445655,-0.305377857
PLA2R1,5.18E-15,-1.509881316
LY75,3.63E-27,-2.157457973
ITGB6,1.91E-15,-2.149734553
TANC1,0.140685896,0.828683281
LY75-CD302,3.63E-27,-2.157457973
KCNH7,0.984445949,2.869377129
BAZ2B,0.99992144,-0.761454842
FAP,3.27E-11,-0.622957401
WDSUB1,1.38E-06,-0.708663994
RBMS1,0.996886207,1.439472379
TANK,0.943798418,0.710150205
NOSTRIN,3.58E-10,-0.669038557
CSRNP3,0.83245293,1.495824659
SCN7A,1.72E-15,-2.314696874
COBLL1,0.012197364,-1.653924012
XIRP2,2.86E-37,-5.002231927
GALNT3,2.01E-05,-0.666313917
G6PC2,1.91E-09,-1.291444118
SPC25,0.05942945,0.245922954
FIGN,0.741736098,0.428611468
SCN1A,1,5.605258163
SLC38A11,1.93E-06,-0.502200262
TTC21B,3.39E-22,-2.54322407
SCN3A,0.999999993,4.523407001
STK39,0.999462431,2.6121841
SCN9A,9.30E-13,-0.688046766
CERS6,0.684541332,0.453103883
GRB14,0.096601217,-0.442471266
B3GALT1,0.329724364,1.361265864
ABCB11,2.19E-10,-0.239272106
SCN2A,0.999999992,6.584840843
CCDC173,1.08E-15,-0.976972365
SP5,0.432721441,2.84706588
MYO3B,4.47E-20,-1.284808007
KLHL41,0.01881204,0.956186848
GAD1,0.822540153,2.492302981
METTL5,0.003672715,0.196870875
PPIG,0.984147329,1.580846879
RP11-724O16.1,0.004395974,1.240324969
KLHL23,0.020660798,-0.508321395
TLK1,0.999994768,3.841424504
SSB,0.525946313,0.766600966
BBS5,0.002599365,0.89213596
DHRS9,2.61E-07,-1.739643858
PHOSPHO2,0.015524683,-0.421870963
GORASP2,0.89106444,1.343348292
FASTKD1,1.65E-12,-0.336444796
LRP2,1,1.954928648
UBR3,0.999549124,2.380406547
RAPGEF4,0.95722585,1.545228061
CDCA7,0.141954503,2.053195854
METTL8,1.44E-09,-0.421522795
DLX2,0.887610614,3.015010883
SLC25A12,0.887050482,2.576793187
ITGA6,0.009913603,2.099759633
SCRN3,1.32E-06,-1.410700324
MLTK,1.21E-06,0.644762448
PDK1,0.004656689,1.009968178
DCAF17,0.000284985,0.64409681
CYBRD1,0.351788246,1.058941568
METAP1D,1.56E-06,-0.142966218
OLA1,0.0436207,0.936112493
DLX1,0.926719408,3.455115718
SP9,0.498147938,3.348567242
DYNC1I2,5.19E-07,1.878113192
AC018470.1,0.020744651,2.884012871
HAT1,0.839884792,0.82501171
CIR1,0.012119052,0.731039817
SP3,0.992297744,1.503114791
HOXD3,0.407559214,1.961036763
HOXD4,0.167399011,1.282497155
GPR155,8.13E-11,0.540466275
WIPF1,0.944313925,1.119576344
CHN1,0.83742443,0.819538974
HOXD12,0.003345917,-0.314201479
HOXD10,0.132556118,0.408917261
NFE2L2,0.686008362,-0.101979816
HOXD1,0.01058846,1.274638878
KIAA1715,0.001923583,-0.190575128
HNRNPA3,0.99264494,3.7200657
HOXD8,0.617630962,2.085673112
CHRNA1,8.80E-06,0.640333589
HOXD13,0.332069485,3.040799467
MTX2,0.081371808,-0.004661958
ATP5G3,0.538092564,0.699066409
HOXD9,0.422099308,1.877137822
HOXD11,0.013189848,2.875991292
ATF2,0.892244393,2.177792433
CCDC141,1.43E-09,-2.07283411
DFNB59,1.07E-05,-0.383292088
PLEKHA3,0.022978699,1.047206479
TTN,1.21E-32,-5.481269978
UBE2E3,0.653907526,3.264846609
ZNF385B,0.001065303,0.195752317
PDE11A,4.17E-31,-0.173686782
NEUROD1,0.138071318,1.655308453
SSFA2,7.68E-05,-1.965796777
SESTD1,0.989112553,2.383189374
ITGA4,0.028851702,1.325699202
RBM45,0.000125349,2.010762785
CERKL,5.40E-11,-0.643651121
PRKRA,0.154541987,1.866459717
OSBPL6,0.999012304,1.137453459
FKBP7,3.16E-05,-0.60259053
CWC22,0.018189074,-0.564350454
AGPS,0.998805102,3.438217402
TTC30B,0.001861851,1.330922246
TTC30A,1.36E-05,1.239695041
FSIP2,3.22E-08,2.35999519
CALCRL,0.926324874,1.48624117
DIRC1,0.022258844,0.147135891
ITGAV,0.47786643,0.187708557
COL5A2,1,1.105615205
DUSP19,0.004394,-0.655623823
DNAJC10,8.95E-05,-1.088084421
ZC3H15,0.947515648,1.417466141
NCKAP1,0.999999991,3.984175498
FRZB,0.125665908,1.162173922
FAM171B,0.057421357,0.8363028
ZSWIM2,5.14E-10,-2.791798483
COL3A1,0.999999998,3.147309818
PPP1R1C,0.002533589,0.32200188
AC018867.2,0.381213095,0.115028176
NUP35,0.123687365,0.139709634
TFPI,0.025322956,1.075886247
GULP1,0.67755775,0.095751362
PDE1A,0.730656355,0.447532745
ZNF804A,0.827436291,-2.085513664
STAT4,0.988867843,2.933238888
PMS1,6.56E-14,-1.249854949
ASNSD1,1.64E-08,-0.511007102
SLC40A1,0.977595135,1.765266689
ORMDL1,0.0758239,0.707803117
GLS,0.9993026,3.586690207
MYO1B,0.878004108,1.639451417
OSGEPL1,0.000202434,-0.169294863
NAB1,0.848508408,0.624056126
NABP1,0.014256968,-0.369366514
MSTN,0.812914736,0.441997802
STAT1,0.999994277,5.402495527
INPP1,0.000237352,0.464735872
SDPR,0.000704633,0.861362236
ANKAR,6.61E-24,-0.847861882
HIBCH,4.18E-08,-1.233497741
C2orf88,0.023588527,-0.912745708
MFSD6,0.001846694,1.76968946
WDR75,0.566494634,-0.040006903
C2orf66,0.004547084,-0.120069743
CCDC150,3.80E-24,-2.011596658
SF3B1,0.999999973,7.892268258
HSPD1,0.985208244,2.800040334
BOLL,0.007902184,0.631611882
SLC39A10,0.99785064,1.32423511
HSPE1-MOB4,0.889798358,2.562619651
PGAP1,0.008785882,0.271612468
HECW2,0.999995852,3.1137797
RFTN2,0.002076962,-1.109183816
MARS2,1.42E-06,1.915858333
TMEFF2,0.386319162,2.049075047
ANKRD44,0.775902812,0.499685812
GTF3C3,5.36E-06,2.301172929
AC011997.1,0.004857035,0.730950797
STK17B,0.089825746,1.195516999
MOB4,0.77783291,2.129025392
DNAH7,1.04E-47,-4.464383898
HSPE1,0.787528048,1.445649722
COQ10B,0.140032717,1.297360775
CLK1,0.095347455,0.578232458
ORC2,0.971869811,-0.005049451
NDUFB3,0.042565284,-0.213618092
CASP10,8.54E-12,-0.797762473
C2orf47,0.00977968,1.139178321
KCTD18,0.000526111,0.201171677
TYW5,2.20E-07,-0.963189123
FAM126B,0.979818816,1.159372665
PLCL1,0.011052371,1.352351215
CFLAR,0.99971987,2.110895891
PPIL3,0.549646605,0.220106808
CASP8,0.004845024,0.817747403
SGOL2,6.61E-05,-1.36123502
BZW1,0.744805847,2.694799304
C2orf69,0.432171539,0.72855382
SATB2,0.999563007,4.747790111
NIF3L1,0.005177005,-1.144295497
AOX1,2.68E-22,-0.892221769
SPATS2L,0.970345372,0.683769001
CDK15,5.06E-13,-0.923477734
ICA1L,0.442027586,-0.139293585
MPP4,5.88E-09,-1.016610667
ALS2CR11,7.66E-11,-0.235834781
TRAK2,6.92E-10,-0.484473863
CYP20A1,7.41E-10,-0.39292565
TMEM237,9.40E-10,-1.050203176
STRADB,0.669632058,1.856581154
ALS2CR12,1.66E-10,-1.341879477
ALS2,0.000769641,0.798601868
NBEAL1,1.09E-10,-0.706477919
BMPR2,0.996668086,1.452376436
CARF,0.004541037,0.27729961
SUMO1,0.800374019,1.690341474
FAM117B,0.067387015,1.442445774
NOP58,0.509478886,1.34166293
WDR12,0.609006891,-0.544640319
FZD7,0.73019873,4.961564701
ADAM23,0.995404041,1.725033351
CPO,1.83E-13,-0.501031765
MDH1B,5.81E-12,-0.499217346
KLF7,0.929930709,2.596279856
ZDBF2,1.38E-07,-2.008305547
PARD3B,8.65E-08,-2.857749183
CTLA4,0.577322419,1.677469552
CD28,0.511989197,0.161762731
GPR1,1.84E-05,-1.612565805
DYTN,2.80E-15,-1.764487242
FASTKD2,4.03E-06,-0.004549151
INO80D,0.998179514,2.06542555
RAPH1,0.957851233,0.658848755
NDUFS1,3.97E-09,-1.233456913
ABI2,0.953329216,2.422322401
ICOS,0.052009229,0.64767474
CREB1,0.969960677,2.495414039
NRP2,0.00171165,1.222727789
EEF1B2,0.333347472,0.248829019
MYL1,0.063386374,-0.486399634
RPE,0.316665037,0.492769368
CRYGD,0.008226481,0.3756648
KANSL1L,0.476930027,-1.158498536
CRYGB,2.06E-09,-0.705440081
MAP2,0.999983365,-0.359515704
C2orf80,7.49E-05,-1.014268903
CCNYL1,0.977770144,2.022499174
METTL21A,0.052177654,0.226042944
ACADL,3.59E-08,0.395607297
PTH2R,1.32E-15,-1.717820421
CPS1,0.083357368,0.730550401
CRYGA,0.000127117,-0.795431335
LANCL1,9.92E-06,-2.592986735
PIKFYVE,0.979802749,1.577200767
IDH1,0.001453708,0.100659045
CRYGC,0.043609846,-0.375138877
PLEKHM3,0.766248376,1.124372545
FZD5,0.898345426,5.005093528
UNC80,0.139839111,0.712914699
IGFBP2,0.844353785,2.385960933
ERBB4,0.999900654,1.618225433
ATIC,2.49E-13,-1.269230697
XRCC5,0.999991832,1.823427708
PECR,0.000786066,-0.89108212
BARD1,1.18E-11,-0.949396913
SPAG16,3.66E-20,-2.08748239
IGFBP5,0.85997835,1.98754012
TNP1,0.222164609,0.063396576
SMARCAL1,0.000314359,0.568682401
VWC2L,0.612117521,1.38898898
RPL37A,0.004770765,1.117965477
IKZF2,0.922956764,0.552503659
FN1,0.064441538,1.393159454
MREG,5.96E-06,-0.441445281
ABCA12,2.02E-07,0.291714136
TMEM169,0.011784537,-0.26023448
MAR4,0.01625841,1.865471842
ARPC2,0.990984292,2.946945905
CXCR1,0.000374556,-0.741907011
C2orf62,6.71E-05,0.537450248
USP37,0.998322479,1.157124958
CXCR2,0.405284397,0.34390742
GPBAR1,1.86E-06,-1.135160348
RQCD1,0.930277945,3.174457803
CTDSP1,0.902026976,1.589740113
TMBIM1,7.40E-05,-0.138064108
RUFY4,4.88E-09,-1.358123997
AAMP,0.531201269,2.10150954
TNS1,0.924939889,-0.644973541
VIL1,1.21E-05,0.235853345
PNKD,1.90E-08,-0.164613291
STK36,3.75E-07,0.075055926
ZNF142,1.88E-15,-0.294309942
BCS1L,2.28E-08,2.259601102
RNF25,0.829695266,-0.044839755
SLC11A1,6.59E-12,-0.443368172
PLCD4,8.12E-09,0.48807438
ATG9A,0.714827713,3.14976867
CNPPD1,1.63E-05,0.43271823
CRYBA2,0.000626082,0.502012293
GLB1L,2.52E-10,-0.559844422
WNT6,0.669265997,3.393288106
ZFAND2B,0.004951515,-0.305445028
ABCB6,2.11E-17,0.488915131
ANKZF1,4.83E-14,-0.56510474
CCDC108,2.33E-18,-1.669877147
FAM134A,0.758589563,-0.294688177
IHH,0.349924209,2.790677813
SLC23A3,0.002312618,-0.023348633
STK16,0.000478667,0.886685081
TTLL4,2.83E-06,0.257578888
NHEJ1,0.027184525,-0.913312475
WNT10A,0.010169289,1.103286171
CYP27A1,3.90E-11,0.110062925
PRKAG3,9.67E-05,-1.203966763
GMPPA,2.35E-06,1.303190542
PTPRN,0.021748201,1.050240307
ASIC4,0.728514783,1.112387466
DNPEP,0.000202596,0.019463563
CHPF,0.231251266,2.366907315
EPHA4,0.999891325,3.150116143
PAX3,0.900856133,3.107237069
DES,0.003082434,2.341507377
SPEG,0.999790422,5.83926076
MOGAT1,2.13E-06,-1.581046631
SLC4A3,0.21842022,2.688951796
SGPP2,0.012273761,-0.301981326
TMEM198,0.061248393,0.714517303
CCDC140,0.063085752,0.127476181
INHA,0.199710682,0.25830632
OBSL1,6.64E-16,1.274361627
DNAJB2,5.20E-06,0.393878833
FARSB,0.900979754,0.133494707
TUBA4A,0.029637936,3.880033014
FAM124B,0.002299402,-0.342521954
TM4SF20,2.19E-06,-1.738266716
C2orf83,0.050110607,0.616681711
KCNE4,0.560426843,1.674664738
SERPINE2,0.643023919,0.903662577
SLC19A3,0.001631087,-1.020930746
NYAP2,0.906196258,1.376966785
IRS1,0.218507352,1.268231957
RHBDD1,4.74E-09,-0.925914252
AP1S3,0.167450177,-0.528940842
CUL3,0.974063405,4.947897613
AGFG1,0.969265962,0.877604012
WDFY1,1.69E-05,1.356969871
SCG2,0.898323134,-0.998698592
COL4A4,1.69E-08,-0.297258375
ACSL3,0.530102681,1.024724023
COL4A3,7.58E-05,0.316376639
MRPL44,9.28E-06,-0.11105652
MFF,0.375813389,0.635930694
DOCK10,0.02919253,-0.105381312
DAW1,0.000785948,-0.563817122
SP140L,6.07E-05,-0.096225463
GPR55,0.000388569,0.54554357
ARMC9,1.03E-08,0.43735488
SP140,2.00E-08,0.119472248
PID1,0.403719374,-0.317027838
ITM2C,0.208530379,0.452870895
TRIP12,1,4.586375766
FBXO36,3.23E-06,-0.738051266
CAB39,0.062179596,1.866311665
HTR2B,3.66E-09,-0.138854186
PSMD1,0.999999203,3.209435177
SP110,3.16E-09,-0.279247795
SLC16A14,0.215983364,1.357970029
DNER,0.78550209,-0.288321931
SPHKAP,0.233358015,-2.193013362
SP100,8.71E-07,-0.136673601
CCL20,0.087740002,0.350607908
DIS3L2,0.863517182,0.50188432
EIF4E2,0.91955878,1.767544766
EFHD1,0.770005564,0.792154345
ALPP,1.69E-06,2.42674006
NCL,0.999106738,0.066960795
COPS7B,0.207502332,0.775254428
PTMA,0.377491926,0.930854512
ALPI,4.03E-16,0.379724203
CHRND,7.26E-07,0.596725019
NPPC,0.323065347,1.002130615
NMUR1,1.07E-05,0.122920616
PDE6D,0.084496093,2.118233514
CHRNG,1.13E-09,-0.319396235
ALPPL2,6.22E-06,1.590773641
B3GNT7,0.62084526,2.255637831
ECEL1,9.11E-05,1.157277222
C2orf57,0.002295965,-0.550423896
KCNJ13,0.758052442,1.548532436
AC106876.2,0.322632813,-0.551614624
C2orf82,0.466831049,1.289216051
UGT1A7,1.80E-12,-0.512700485
UGT1A9,1.32E-08,-1.241145036
INPP5D,0.167430841,3.651424329
UGT1A8,6.96E-05,-0.427878825
UGT1A10,1.09E-11,-1.868383962
UGT1A1,2.94E-09,-1.905353288
DGKD,0.977070555,3.134379887
SAG,1.57E-08,-0.310674966
UGT1A6,0.00021788,-0.543581768
GIGYF2,1,1.435103762
UGT1A3,2.94E-09,-1.905353288
UGT1A4,2.34E-06,-1.916349646
NEU2,3.09E-12,-0.294123041
UGT1A5,0.000100215,0.000741954
NGEF,0.949825525,2.176728785
USP40,1.74E-14,-1.947623127
ATG16L1,0.999737383,2.390554377
GBX2,0.567961293,2.937900097
RBM44,0.01414988,-2.32956659
COL6A3,7.79E-11,-0.295083319
IQCA1,0.001381171,-0.991226584
LRRFIP1,0.36551249,-1.080324616
RAB17,0.00739028,-0.545179465
SPP2,1.27E-06,-0.694646432
HJURP,1.26E-05,-1.065434128
ARL4C,0.607389355,3.805915581
MLPH,0.00125355,-0.571449494
AGAP1,0.999356436,2.280606845
TRPM8,4.74E-15,-0.075671424
MROH2A,0.314233042,-3.716821104
ACKR3,0.419555702,1.670686413
COPS8,0.138824251,0.484753058
ASB18,0.004573374,0.814524803
SH3BP4,0.080964436,0.959796948
PRLH,0.04017093,-1.066403952
KLHL30,8.30E-11,-0.077825926
OR6B3,0.064610848,2.288180236
SCLY,1.52E-06,-0.788534473
NDUFA10,0.00138794,-0.091538488
HES6,0.008861564,1.254968445
TWIST2,0.443476734,2.742245953
PRR21,0.003652752,1.978434966
HDAC4,0.999989727,3.505027752
ILKAP,0.992507797,2.757637644
ESPNL,3.88E-10,-0.53793056
TRAF3IP1,0.000159262,-0.204384593
UBE2F,0.950479185,1.637762907
ASB1,0.350835779,1.599860686
OR6B2,0.695947065,2.150700872
PER2,0.933004687,0.656852943
RAMP1,0.057792824,-1.416087384
AQP12B,0.004358648,0.117816578
GPC1,0.109569938,-0.188191682
PASK,9.06E-20,0.176780733
HDLBP,0.999998383,4.479863422
PPP1R7,0.840144247,2.050050886
AQP12A,0.046266364,0.753653349
SNED1,0.98376281,2.588840764
GPR35,0.003635581,0.738271818
MTERFD2,0.00488812,-0.025553583
OTOS,2.79E-07,-0.66145713
CAPN10,2.38E-08,1.495911663
KIF1A,0.999989437,5.414867358
RNPEPL1,0.027901617,2.554153086
AGXT,0.003594369,-1.431357086
DUSP28,0.232216945,0.719250474
C2orf54,6.77E-06,-0.88041226
ANO7,1.87E-30,-0.693021006
MYEOV2,0.000104799,0.159303168
ANKMY1,7.81E-14,-0.694225614
CXXC11,2.89E-05,0.094256149
GAL3ST2,4.42E-05,1.648430498
BOK,0.318891848,0.79468418
NEU4,0.000277583,-1.377750408
SEPT2,0.866554503,2.206718815
THAP4,0.116840641,2.041602536
ING5,0.445393628,2.046871866
ATG4B,0.988495913,1.34892666
FARP2,1.98E-20,-1.675902147
DTYMK,0.546091427,0.554375853
PDCD1,0.017954048,0.848498215
STK25,0.04526709,2.607629679
D2HGDH,0.000752024,1.516008316
CRBN,0.038494438,-0.601039766
GRM7,0.999169069,2.959734793
OXTR,5.74E-05,2.426220463
BHLHE40,0.941607018,1.630907774
CNTN6,3.59E-22,-4.852904105
IL5RA,0.000332265,-1.368894527
LMCD1,0.376043791,0.868520684
CAV3,0.339836386,1.189565005
ARL8B,0.622356589,2.670603817
SUMF1,0.042577722,-0.622883277
SETMAR,0.002131279,-1.618874323
EDEM1,5.60E-11,0.751902381
CHL1,2.05E-06,-3.857399444
SSUH2,2.49E-08,-1.009650237
LRRN1,0.876589037,0.193576832
CNTN4,0.996606388,-0.641231695
ITPR1,1,5.751952637
AC018816.3,0.391940523,0.150160868
TRNT1,2.46E-06,-3.040766423
RAD18,5.20E-05,-1.188545719
OGG1,7.80E-08,-0.511409572
CIDEC,0.001416632,-1.552426205
IL17RE,0.008619878,1.498820421
CRELD1,1.41E-06,-0.027998626
PRRT3,0.658018522,2.154738356
CAMK1,0.004746546,0.262265612
JAGN1,0.023062733,0.221107331
CPNE9,0.001032103,2.509087187
THUMPD3,4.00E-11,-1.111003392
SRGAP3,0.99999775,3.550665286
ARPC4-TTLL3,1.37E-12,0.058501407
TTLL3,3.84E-14,-0.872481666
LHFPL4,0.178387581,2.92084307
RPUSD3,0.000322774,-0.097440573
BRPF1,0.999626031,4.507839506
ARPC4,0.937798821,2.294256195
MTMR14,0.002939821,0.440497022
IL17RC,4.25E-10,0.700109936
TADA3,0.004747355,2.816703528
SETD5,0.999999564,-0.03659002
FANCD2OS,0.048454315,-0.111005497
HRH1,0.001561168,0.679367293
BRK1,0.604508694,1.527195063
TATDN2,0.000742651,0.212275262
GHRL,8.37E-05,-1.383326241
SEC13,0.584365053,0.380639109
ATG7,1.53E-05,0.789499143
SLC6A11,0.36494333,2.768076664
TIMP4,0.003554031,-0.676200949
ATP2B2,0.999921506,6.359869343
FANCD2,2.48E-14,-0.249816213
SLC6A1,0.999301879,4.298226397
TSEN2,0.000104861,-1.607072337
EMC3,0.801934562,1.934026786
TAMM41,0.0001846,0.132781065
VHL,0.0337352,0.764899187
PPARG,0.668218174,2.283881099
IRAK2,2.90E-08,-0.261350489
VGLL4,0.469478553,0.136936658
CCDC174,2.95E-05,-0.61078799
C3orf20,2.36E-14,-0.997489923
RAF1,0.999776866,2.819856286
TMEM43,9.85E-08,-0.881273242
MKRN2,0.407628906,0.186524098
NUP210,1.45E-10,0.078853599
LSM3,2.77E-05,0.932267898
CHCHD4,0.144674863,0.316999501
XPC,1.32E-10,-0.496067258
HDAC11,0.044780208,1.323182062
FBLN2,0.629825153,-0.538082639
IQSEC1,0.998506227,3.142244732
CAND2,4.53E-09,0.912237729
FGD5,0.994386979,-0.103798323
NR2C2,0.994140346,3.48155403
WNT7A,0.441260495,2.635054213
SLC6A6,0.98227565,3.745309728
RPL32,0.755582038,1.489900011
TMEM40,0.000135844,-1.823026838
ANKRD28,0.99992881,0.138559714
EAF1,0.07056505,0.651210971
SATB1,0.856613872,4.556420049
GALNT15,5.52E-10,-1.655823618
METTL6,0.000603418,-0.670390122
EFHB,6.03E-17,-1.878751272
COLQ,1.43E-07,-0.520153629
OXNAD1,2.37E-05,-1.201735374
SH3BP5,0.00902325,0.751743115
RFTN1,5.14E-12,-0.484237466
KCNH8,0.000102484,1.039106811
MRPS25,0.545528804,0.637204186
TBC1D5,6.52E-10,-0.179481278
ZFYVE20,0.016782704,1.59145928
DAZL,0.961607976,0.261080582
HACL1,4.18E-10,-0.697718788
PLCL2,0.99911878,3.330762525
DPH3,0.044670818,-0.186593924
CAPN7,5.29E-07,0.42553744
BTD,1.29E-06,-0.869743538
UBE2E1,0.872957997,2.214844671
EOMES,0.711878381,2.635135016
OXSM,0.003306417,-0.819901166
NGLY1,2.20E-10,-1.57449236
ZNF385D,0.724321867,0.028253237
SGOL1,2.46E-07,-2.003929485
SLC4A7,0.697707973,1.238213981
RARB,0.999317519,2.831398195
UBE2E2,0.924393312,2.411006692
LRRC3B,0.228541146,2.594699975
NKIRAS1,0.034887772,0.835848544
NEK10,0.000236569,-0.525774088
THRB,0.994541861,2.840147672
KAT2B,0.998926901,2.535711883
TOP2B,0.997311093,2.523905513
NR1D2,0.63142178,0.302781767
RAB5A,0.774403049,1.073890448
RPL15,0.956294174,3.881936274
TGFBR2,0.035592701,2.246598538
TRIM71,0.993173544,5.591508601
GPD1L,0.009537828,1.203734946
AZI2,0.185308909,0.027773168
OSBPL10,0.000141846,0.732752159
ZCWPW2,6.76E-05,-1.533915879
CCR4,0.760806753,0.196340329
RBMS3,0.741403241,0.962590459
STT3B,0.980028091,3.825715551
CMTM8,0.847881588,0.114441738
GLB1,4.86E-08,0.58400412
TMPPE,4.86E-05,1.029077345
CRTAP,5.34E-05,-0.358170076
CMTM7,0.426220205,0.706954559
CNOT10,0.999834446,0.705702523
GADL1,5.39E-09,-2.25732996
DYNC1LI1,0.97791889,0.423053676
CMC1,0.001441886,-0.927599694
CMTM6,0.822756767,-0.108855781
ZNF860,7.86E-11,-0.215628056
SUSD5,4.31E-09,-1.409166914
EPM2AIP1,0.164415268,2.47129166
FBXL2,0.216479061,2.847358711
C3orf35,0.01413532,-0.936114026
STAC,0.010710269,0.106087213
PDCD6IP,0.751958922,0.982271002
CLASP2,0.99994836,2.528593236
ACAA1,2.64E-05,1.093388115
ARPP21,0.003676931,-0.804187494
UBP1,0.999799487,2.430256494
DCLK3,0.439315818,0.33680331
VILL,3.01E-12,0.366179804
CTDSPL,0.088848186,1.97885634
ITGA9,0.096191748,0.647309688
PLCD1,2.55E-09,0.48246432
LRRFIP2,4.80E-08,-0.27561802
DLEC1,6.45E-18,-0.943918318
MLH1,0.739578311,-1.092386183
GOLGA4,2.26E-09,-2.422046338
TRANK1,2.79E-10,0.205068563
MOBP,0.592010033,1.115797098
SCN5A,0.995747527,2.52665149
WDR48,0.999805648,2.822758477
CCR8,0.017625819,-0.378804404
OXSR1,0.989117556,2.672085997
EXOG,2.86E-08,-0.091370099
SCN10A,6.14E-26,-2.005248258
XYLB,2.63E-13,-0.630903742
CX3CR1,0.107291641,0.629799489
GORASP1,0.69837775,-0.336088961
CSRNP1,0.599530989,0.64054054
TTC21A,2.12E-16,-0.440707292
SLC25A38,0.068217829,0.42144946
SLC22A14,9.57E-09,-0.424283505
SLC22A13,2.16E-15,-0.887234251
SCN11A,2.52E-19,-0.325170865
MYD88,0.711854614,1.71833216
RPSA,0.751851426,3.335401131
ACVR2B,0.993110896,3.169324385
XIRP1,2.18E-17,-1.72032266
ZNF621,4.18E-05,0.10711413
CTNNB1,0.99981275,4.436388314
ZNF620,6.83E-06,-0.374831554
LYZL4,0.112282902,0.227532995
SS18L2,0.060207196,0.665744042
ULK4,1.69E-23,-2.263053228
CCDC13,1.16E-07,0.194635996
ZBTB47,0.974750217,3.30932999
HHATL,1.49E-05,-0.095827038
ZNF619,2.36E-05,-1.615245178
RPL14,0.936435428,0.48843271
SEC22C,1.72E-06,-0.003761336
MYRIP,0.000902541,-0.656883719
KLHL40,0.078102706,1.299834144
TRAK1,9.71E-05,0.915441326
CCK,0.023105402,1.861274112
EIF1B,0.394740519,2.127652344
NKTR,0.99187751,0.625967135
ENTPD3,2.56E-19,-1.011231843
VIPR1,8.28E-10,-0.628853101
HIGD1A,0.450480882,-0.249723206
POMGNT2,0.007726772,0.803173001
ZNF662,3.72E-10,-1.067659082
TCAIM,4.46E-05,0.34057423
ZNF445,0.996478491,0.913670225
ZNF660,0.054805105,-0.891522993
ANO10,1.92E-06,-0.581089534
ZNF502,1.41E-05,-0.122153701
ZNF501,0.005498058,-2.15712417
KRBOX1,0.4168236,-0.340001736
ZNF35,0.079290627,0.35049455
ACKR2,0.00037689,-0.396290003
ZKSCAN7,1.18E-05,-1.00713588
ABHD5,3.45E-05,-0.096487751
ZNF852,6.54E-09,-1.847613373
ZNF197,5.95E-14,-0.667508122
SNRK,0.994142268,3.532461724
CYP8B1,0.000512932,-0.450545701
CCR1,0.891828752,1.548021748
LZTFL1,0.19410281,1.421295895
FYCO1,9.67E-13,-0.05989434
LIMD1,0.127770681,-0.380985046
CDCP1,0.021152526,1.132579155
TGM4,1.14E-11,-1.004069978
ZDHHC3,0.144015391,1.611342859
CXCR6,6.15E-05,1.018906196
CLEC3B,0.00038011,1.848632792
CCR3,0.031893053,-0.85334628
LARS2,2.61E-07,0.537007376
TMEM158,0.382809463,2.88675236
KIF15,7.47E-13,0.477539019
KIAA1143,0.02510247,0.795754744
XCR1,0.09785415,1.001676087
SACM1L,0.721901743,1.513732741
EXOSC7,0.014139529,-0.307670628
CCR9,0.004640309,0.769013747
TMEM42,0.306977503,0.380736391
SLC6A20,6.45E-10,0.576859063
LTF,1.76E-13,-0.685214416
SETD2,0.999992944,3.484827853
TMIE,0.000366606,0.437084543
ALS2CL,2.73E-18,-0.569685705
CCDC12,0.77413072,0.21184001
MYL3,0.888080621,0.746450826
