"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0007569~cell aging"	0.150937851222602	1	213	27	1
"GO:0007602~phototransduction"	0.150937851222602	1	213	27	1
"GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay"	0.150937851222602	1	213	27	1
"GO:0040014~regulation of multicellular organism growth"	0.150937851222602	1	213	27	1
"GO:0042113~B cell activation"	0.150937851222602	1	213	27	1
"GO:0044419~interspecies interaction between organisms"	0.141133929653975	0.510292525269220	213	306	11
"GO:0050770~regulation of axonogenesis"	0.13903308931784	1	213	28	1
"GO:0007369~gastrulation"	0.13903308931784	1	213	28	1
"GO:0006469~negative regulation of protein kinase activity"	0.13903308931784	1	213	56	2
"GO:0031623~receptor internalization"	0.13903308931784	1	213	28	1
"GO:0009617~response to bacterium"	0.13903308931784	1	213	28	1
"GO:0051149~positive regulation of muscle cell differentiation"	0.13903308931784	1	213	28	1
"GO:0050873~brown fat cell differentiation"	0.13903308931784	1	213	28	1
"GO:0050690~regulation of defense response to virus by virus"	0.13903308931784	1	213	28	1
"GO:0042981~regulation of apoptotic process"	0.136188588685729	1	213	226	8
"GO:0008380~RNA splicing"	0.134785134629357	1	213	227	8
"GO:0030036~actin cytoskeleton organization"	0.134505926339973	1	213	142	5
"GO:0071222~cellular response to lipopolysaccharide"	0.133393991573479	1	213	57	2
"GO:0043524~negative regulation of neuron apoptotic process"	0.131558006261362	1	213	86	3
"GO:0033077~T cell differentiation in thymus"	0.127949345475476	1	213	29	1
"GO:0044255~cellular lipid metabolic process"	0.127949345475476	1	213	145	5
"GO:0018107~peptidyl-threonine phosphorylation"	0.127949345475476	1	213	29	1
"GO:0031100~organ regeneration"	0.127949345475476	1	213	58	2
"GO:0071560~cellular response to transforming growth factor beta stimulus"	0.127949345475476	1	213	29	1
"GO:0007094~mitotic cell cycle spindle assembly checkpoint"	0.127949345475476	1	213	29	1
"GO:0051592~response to calcium ion"	0.127949345475476	1	213	58	2
"GO:0050853~B cell receptor signaling pathway"	0.127949345475476	1	213	29	1
"GO:0001890~placenta development"	0.127949345475476	1	213	29	1
"GO:0000910~cytokinesis"	0.127949345475476	1	213	58	2
"GO:0051865~protein autoubiquitination"	0.127949345475476	1	213	29	1
"GO:0048589~developmental growth"	0.127949345475476	1	213	29	1
"GO:0006464~cellular protein modification process"	0.125823695971460	1	213	146	5
"GO:0042127~regulation of cell proliferation"	0.123726966868860	1	213	147	5
"GO:0007202~activation of phospholipase C activity"	0.122689263651981	1	213	59	2
"GO:0001568~blood vessel development"	0.122689263651981	1	213	59	2
"GO:0018105~peptidyl-serine phosphorylation"	0.122689263651981	1	213	59	2
"GO:0043161~proteasomal ubiquitin-dependent protein catabolic process"	0.122689263651981	1	213	59	2
"GO:0006370~mRNA capping"	0.117604517889269	1	213	30	1
"GO:0048013~ephrin receptor signaling pathway"	0.117604517889269	1	213	30	1
"GO:0071310~cellular response to organic substance"	0.117604517889269	1	213	30	1
"GO:0060048~cardiac muscle contraction"	0.117604517889269	1	213	30	1
"GO:0006271~DNA strand elongation involved in DNA replication"	0.117604517889269	1	213	30	1
"GO:0032956~regulation of actin cytoskeleton organization"	0.117604517889269	1	213	30	1
"GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation"	0.117604517889269	1	213	60	2
"GO:0019827~stem cell maintenance"	0.117604517889269	1	213	30	1
"GO:0021983~pituitary gland development"	0.117604517889269	1	213	30	1
"GO:0009966~regulation of signal transduction"	0.117604517889269	1	213	30	1
"GO:0045732~positive regulation of protein catabolic process"	0.117604517889269	1	213	30	1
"GO:0032869~cellular response to insulin stimulus"	0.112686485102383	1	213	61	2
"GO:0008217~regulation of blood pressure"	0.112686485102383	1	213	61	2
"GO:0007568~aging"	0.110287444718537	1	213	123	4
"GO:0043065~positive regulation of apoptotic process"	0.109271184555935	1	213	216	7
"GO:0032321~positive regulation of Rho GTPase activity"	0.10792709853443	1	213	31	1
"GO:0030073~insulin secretion"	0.10792709853443	1	213	31	1
"GO:0030433~ER-associated protein catabolic process"	0.10792709853443	1	213	31	1
"GO:0070830~tight junction assembly"	0.10792709853443	1	213	31	1
"GO:0007030~Golgi organization"	0.10792709853443	1	213	31	1
"GO:0043200~response to amino acid stimulus"	0.10792709853443	1	213	31	1
"GO:0043491~protein kinase B signaling cascade"	0.10792709853443	1	213	31	1
"GO:0010332~response to gamma radiation"	0.10792709853443	1	213	31	1
"GO:0070555~response to interleukin-1"	0.10792709853443	1	213	31	1
"GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process"	0.10792709853443	1	213	31	1
"GO:0033572~transferrin transport"	0.10792709853443	1	213	31	1
"GO:0030217~T cell differentiation"	0.10792709853443	1	213	31	1
"GO:0016044~cellular membrane organization"	0.104838560442460	1	213	94	3
"GO:0006879~cellular iron ion homeostasis"	0.103318803603554	1	213	63	2
"GO:0007243~intracellular protein kinase cascade"	0.101815044205058	1	213	95	3
"GO:0006928~cellular component movement"	0.101815044205058	1	213	95	3
"GO:0032355~response to estradiol stimulus"	0.101815044205058	1	213	95	3
"GO:0009409~response to cold"	0.0988545178892687	1	213	32	1
"GO:0016579~protein deubiquitination"	0.0988545178892687	1	213	32	1
"GO:0045596~negative regulation of cell differentiation"	0.0988545178892687	1	213	32	1
"GO:0043547~positive regulation of GTPase activity"	0.0988545178892687	1	213	64	2
"GO:0006605~protein targeting"	0.0988545178892687	1	213	32	1
"GO:0007417~central nervous system development"	0.096674285331129	1	213	129	4
"GO:0009725~response to hormone stimulus"	0.0945275948123456	1	213	65	2
"GO:0045471~response to ethanol"	0.0903317906165414	1	213	99	3
"GO:0007281~germ cell development"	0.0903317906165414	1	213	33	1
"GO:0031667~response to nutrient levels"	0.0903317906165414	1	213	33	1
"GO:0006470~protein dephosphorylation"	0.0882812096185919	1	213	133	4
"GO:0014070~response to organic cyclic compound"	0.0862612343071791	1	213	134	4
"GO:0045666~positive regulation of neuron differentiation"	0.0862612343071791	1	213	67	2
"GO:0043410~positive regulation of MAPK cascade"	0.0862612343071791	1	213	67	2
"GO:0016568~chromatin modification"	0.084931250562536	1	213	101	3
"GO:0009790~embryo development"	0.0823104002422099	1	213	136	4
"GO:0048538~thymus development"	0.0823104002422099	1	213	34	1
"GO:0030168~platelet activation"	0.0823104002422099	1	213	204	6
"GO:0030336~negative regulation of cell migration"	0.0823104002422099	1	213	68	2
"GO:0031532~actin cytoskeleton reorganization"	0.0823104002422099	1	213	34	1
"GO:0032880~regulation of protein localization"	0.0823104002422099	1	213	34	1
"GO:0006284~base-excision repair"	0.0823104002422099	1	213	34	1
"GO:0050727~regulation of inflammatory response"	0.0823104002422099	1	213	34	1
"GO:0030162~regulation of proteolysis"	0.0823104002422099	1	213	34	1
"GO:0006352~transcription initiation, DNA-dependent"	0.0823104002422099	1	213	34	1
"GO:0006695~cholesterol biosynthetic process"	0.0823104002422099	1	213	34	1
"GO:0006457~protein folding"	0.0807624126261106	1	213	171	5
"GO:0001569~patterning of blood vessels"	0.0747473750321258	1	213	35	1
"GO:0034332~adherens junction organization"	0.0747473750321258	1	213	35	1
"GO:0035176~social behavior"	0.0747473750321258	1	213	35	1
"GO:0030890~positive regulation of B cell proliferation"	0.0747473750321258	1	213	35	1
"GO:0045599~negative regulation of fat cell differentiation"	0.0747473750321258	1	213	35	1
"GO:0045595~regulation of cell differentiation"	0.0747473750321258	1	213	35	1
"GO:0030049~muscle filament sliding"	0.0747473750321258	1	213	35	1
"GO:0042692~muscle cell differentiation"	0.0747473750321258	1	213	35	1
"GO:0006749~glutathione metabolic process"	0.0747473750321258	1	213	35	1
"GO:0030879~mammary gland development"	0.0747473750321258	1	213	35	1
"GO:0007411~axon guidance"	0.0707295178892687	1	213	320	9
"GO:0045727~positive regulation of translation"	0.0676045178892686	1	213	36	1
"GO:0055086~nucleobase-containing small molecule metabolic process"	0.0676045178892686	1	213	72	2
"GO:0007492~endoderm development"	0.0676045178892686	1	213	36	1
"GO:0030097~hemopoiesis"	0.0676045178892686	1	213	72	2
"GO:0006366~transcription from RNA polymerase II promoter"	0.0668352871200378	1	213	325	9
"GO:0007049~cell cycle"	0.0666163755967786	1	213	253	7
"GO:0002755~MyD88-dependent toll-like receptor signaling pathway"	0.0641798603550221	1	213	73	2
"GO:0045766~positive regulation of angiogenesis"	0.0641798603550221	1	213	73	2
"GO:0006289~nucleotide-excision repair"	0.060847761132512	1	213	74	2
"GO:0045597~positive regulation of cell differentiation"	0.060847761132512	1	213	37	1
"GO:0007160~cell-matrix adhesion"	0.060847761132512	1	213	74	2
"GO:0008206~bile acid metabolic process"	0.060847761132512	1	213	37	1
"GO:0034329~cell junction assembly"	0.060847761132512	1	213	74	2
"GO:0006644~phospholipid metabolic process"	0.060847761132512	1	213	37	1
"GO:0010923~negative regulation of phosphatase activity"	0.060847761132512	1	213	37	1
"GO:0030182~neuron differentiation"	0.0544466231524265	1	213	114	3
"GO:0048146~positive regulation of fibroblast proliferation"	0.0544466231524265	1	213	38	1
"GO:0042552~myelination"	0.0544466231524265	1	213	38	1
"GO:0044237~cellular metabolic process"	0.0544466231524265	1	213	38	1
"GO:0007566~embryo implantation"	0.0544466231524265	1	213	38	1
"GO:0031175~neuron projection development"	0.0544466231524265	1	213	76	2
"GO:0045429~positive regulation of nitric oxide biosynthetic process"	0.0544466231524265	1	213	38	1
"GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway"	0.0544466231524265	1	213	38	1
"GO:0006397~mRNA processing"	0.0532066121301063	1	213	191	5
"GO:0042060~wound healing"	0.0513707516555025	1	213	77	2
"GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity"	0.0513707516555025	1	213	77	2
"GO:0006461~protein complex assembly"	0.0503631385789238	1	213	116	3
"GO:0035019~somatic stem cell maintenance"	0.0483737486584994	1	213	39	1
"GO:0071356~cellular response to tumor necrosis factor"	0.0483737486584994	1	213	39	1
"GO:0050852~T cell receptor signaling pathway"	0.0444952741917896	1	213	119	3
"GO:0030308~negative regulation of cell growth"	0.0444952741917896	1	213	119	3
"GO:0031018~endocrine pancreas development"	0.0426045178892687	1	213	40	1
"GO:0008645~hexose transport"	0.0426045178892687	1	213	40	1
"GO:0007249~I-kappaB kinase/NF-kappaB cascade"	0.0426045178892687	1	213	40	1
"GO:0014068~positive regulation of phosphatidylinositol 3-kinase cascade"	0.0426045178892687	1	213	40	1
"GO:0001942~hair follicle development"	0.0426045178892687	1	213	40	1
"GO:0001889~liver development"	0.0398267401114908	1	213	81	2
"GO:0016477~cell migration"	0.0389159932991047	1	213	122	3
"GO:0006629~lipid metabolic process"	0.0371167130112199	1	213	205	5
"GO:0007610~behavior"	0.0371167130112199	1	213	41	1
"GO:0043525~positive regulation of neuron apoptotic process"	0.0371167130112199	1	213	41	1
"GO:0007611~learning or memory"	0.0371167130112199	1	213	41	1
"GO:0006200~ATP catabolic process"	0.0344719877687867	1	213	83	2
"GO:0000398~nuclear mRNA splicing, via spliceosome"	0.0331733801647178	1	213	167	4
"GO:0051291~protein heterooligomerization"	0.031890232174983	1	213	42	1
"GO:0016567~protein ubiquitination"	0.0297257300104808	1	213	297	7
"GO:0007596~blood coagulation"	0.0295959525787761	1	213	467	11
"GO:0030522~intracellular receptor mediated signaling pathway"	0.0269068434706639	1	213	43	1
"GO:0006094~gluconeogenesis"	0.0269068434706639	1	213	43	1
"GO:0007588~excretion"	0.0269068434706639	1	213	43	1
"GO:0001658~branching involved in ureteric bud morphogenesis"	0.0269068434706639	1	213	43	1
"GO:0001503~ossification"	0.0245010696134066	1	213	87	2
"GO:0010468~regulation of gene expression"	0.0245010696134066	1	213	87	2
"GO:0007595~lactation"	0.0221499724347233	1	213	44	1
"GO:0019432~triglyceride biosynthetic process"	0.0221499724347233	1	213	44	1
"GO:0007266~Rho protein signal transduction"	0.0221499724347233	1	213	44	1
"GO:0021766~hippocampus development"	0.0221499724347233	1	213	44	1
"GO:0030855~epithelial cell differentiation"	0.0221499724347233	1	213	44	1
"GO:0031398~positive regulation of protein ubiquitination"	0.0221499724347233	1	213	44	1
"GO:0006805~xenobiotic metabolic process"	0.0190970552027016	1	213	134	3
"GO:0051781~positive regulation of cell division"	0.0176045178892686	1	213	45	1
"GO:0010976~positive regulation of neuron projection development"	0.0176045178892686	1	213	45	1
"GO:0001541~ovarian follicle development"	0.0176045178892686	1	213	45	1
"GO:0001657~ureteric bud development"	0.0176045178892686	1	213	45	1
"GO:0044281~small molecule metabolic process"	0.0168345467631859	1	213	1039	23
"GO:0006468~protein phosphorylation"	0.0165841097260034	1	213	588	13
"GO:0007507~heart development"	0.0164995455135780	1	213	181	4
"GO:0043066~negative regulation of apoptotic process"	0.0138662001322594	1	213	321	7
"GO:0007389~pattern specification process"	0.0132566918023121	1	213	92	2
"GO:0000186~activation of MAPKK activity"	0.0132566918023121	1	213	46	1
"GO:0030183~B cell differentiation"	0.0132566918023121	1	213	46	1
"GO:0019722~calcium-mediated signaling"	0.0132566918023121	1	213	46	1
"GO:0010212~response to ionizing radiation"	0.0132566918023121	1	213	46	1
"GO:0007156~homophilic cell adhesion"	0.0132566918023121	1	213	92	2
"GO:0016310~phosphorylation"	0.0132566918023121	1	213	46	1
"GO:0007584~response to nutrient"	0.0132566918023121	1	213	92	2
"GO:0006888~ER to Golgi vesicle-mediated transport"	0.0132566918023121	1	213	46	1
"GO:0000122~negative regulation of transcription from RNA polymerase II promoter"	0.0115700351306479	1	213	464	10
"GO:0007517~muscle organ development"	0.0111529049860428	1	213	93	2
"GO:0000087~M phase of mitotic cell cycle"	0.0111529049860428	1	213	93	2
"GO:0016192~vesicle-mediated transport"	0.0111529049860428	1	213	186	4
"GO:0042542~response to hydrogen peroxide"	0.00909387959139634	1	213	47	1
"GO:0030521~androgen receptor signaling pathway"	0.00909387959139634	1	213	47	1
"GO:0009953~dorsal/ventral pattern formation"	0.00510451788926854	1	213	48	1
"GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB cascade"	0.00510451788926854	1	213	144	3
"GO:0008152~metabolic process"	0.00510451788926854	1	213	480	10
"GO:0051384~response to glucocorticoid stimulus"	0.00510451788926854	1	213	96	2
"GO:0006898~receptor-mediated endocytosis"	0.00510451788926854	1	213	48	1
"GO:0050434~positive regulation of viral transcription"	0.00127798727702372	1	213	49	1
"GO:0050728~negative regulation of inflammatory response"	0.00127798727702372	1	213	49	1
"GO:0000724~double-strand break repair via homologous recombination"	0.00127798727702372	1	213	49	1
"GO:0006921~cellular component disassembly involved in apoptotic process"	0.00127798727702372	1	213	49	1
"GO:0008283~cell proliferation"	-0.000839286145313523	1	213	347	7
"GO:0034641~cellular nitrogen compound metabolic process"	-0.00149095949766595	1	213	199	4
"GO:0001938~positive regulation of endothelial cell proliferation"	-0.00239548211073133	1	213	50	1
"GO:0007155~cell adhesion"	-0.00279459519277116	1	213	451	9
"GO:0006952~defense response"	-0.00417766032855306	1	213	101	2
"GO:0043588~skin development"	-0.0059248938754373	1	213	51	1
"GO:0035264~multicellular organism growth"	-0.0059248938754373	1	213	51	1
"GO:0006091~generation of precursor metabolites and energy"	-0.0059248938754373	1	213	51	1
"GO:0000082~G1/S transition of mitotic cell cycle"	-0.00707080678605593	1	213	154	3
"GO:0046777~protein autophosphorylation"	-0.00820193372363457	1	213	155	3
"GO:0007269~neurotransmitter secretion"	-0.00931855903380836	1	213	52	1
"GO:0016049~cell growth"	-0.00931855903380836	1	213	52	1
"GO:0071260~cellular response to mechanical stimulus"	-0.00931855903380836	1	213	52	1
"GO:0006810~transport"	-0.0102215690672531	1	213	575	11
"GO:0007409~axonogenesis"	-0.0109669106821600	1	213	105	2
"GO:0007420~brain development"	-0.0109669106821600	1	213	210	4
"GO:0006367~transcription initiation from RNA polymerase II promoter"	-0.0115094061613642	1	213	158	3
"GO:0006950~response to stress"	-0.0125841613560144	1	213	159	3
"GO:0006913~nucleocytoplasmic transport"	-0.0125841613560144	1	213	106	2
"GO:0006916~anti-apoptosis"	-0.0133813976036892	1	213	213	4
"GO:0006334~nucleosome assembly"	-0.0141711830453108	1	213	107	2
"GO:0030335~positive regulation of cell migration"	-0.0157288154440646	1	213	108	2
"GO:0032526~response to retinoic acid"	-0.0157288154440646	1	213	54	1
"GO:0045665~negative regulation of neuron differentiation"	-0.0157288154440646	1	213	54	1
"GO:0048011~nerve growth factor receptor signaling pathway"	-0.0164968645992106	1	213	217	4
"GO:0042493~response to drug"	-0.0167513103315902	1	213	326	6
"GO:0042632~cholesterol homeostasis"	-0.0187591184743677	1	213	55	1
"GO:0006633~fatty acid biosynthetic process"	-0.0187591184743677	1	213	55	1
"GO:0060041~retina development in camera-type eye"	-0.0216811963964457	1	213	56	1
"GO:0006521~regulation of cellular amino acid metabolic process"	-0.0216811963964457	1	213	56	1
"GO:0006887~exocytosis"	-0.0216811963964457	1	213	56	1
"GO:0042475~odontogenesis of dentin-containing tooth"	-0.0216811963964457	1	213	56	1
"GO:0051591~response to cAMP"	-0.0245007452686262	1	213	57	1
"GO:0007286~spermatid development"	-0.0245007452686262	1	213	57	1
"GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity"	-0.0245007452686262	1	213	57	1
"GO:0015758~glucose transport"	-0.027223068317628	1	213	58	1
"GO:0006184~GTP catabolic process"	-0.0278890443424909	1	213	233	4
"GO:0000209~protein polyubiquitination"	-0.0285493282645775	1	213	117	2
"GO:0009952~anterior/posterior pattern specification"	-0.0285493282645775	1	213	117	2
"GO:0000086~G2/M transition of mitotic cell cycle"	-0.0285493282645775	1	213	117	2
"GO:0008543~fibroblast growth factor receptor signaling pathway"	-0.0298531092293754	1	213	118	2
"GO:0000084~S phase of mitotic cell cycle"	-0.0311349779090507	1	213	119	2
"GO:0007254~JNK cascade"	-0.0323954821107314	1	213	60	1
"GO:0045893~positive regulation of transcription, DNA-dependent"	-0.0329489876457867	1	213	542	9
"GO:0006338~chromatin remodeling"	-0.0348544985041740	1	213	61	1
"GO:0035666~TRIF-dependent toll-like receptor signaling pathway"	-0.0348544985041740	1	213	61	1
"GO:0009887~organ morphogenesis"	-0.0348544985041740	1	213	122	2
"GO:0006302~double-strand break repair"	-0.0348544985041740	1	213	61	1
"GO:0008150~biological_process"	-0.0366464942564804	1	213	494	8
"GO:0006968~cellular defense response"	-0.0372341917881507	1	213	62	1
"GO:0045216~cell-cell junction organization"	-0.0372341917881507	1	213	62	1
"GO:0051607~defense response to virus"	-0.0372341917881507	1	213	62	1
"GO:0007010~cytoskeleton organization"	-0.0395383392535886	1	213	126	2
"GO:0008104~protein localization"	-0.0395383392535886	1	213	63	1
"GO:0000226~microtubule cytoskeleton organization"	-0.0395383392535886	1	213	63	1
"GO:0034138~toll-like receptor 3 signaling pathway"	-0.0395383392535886	1	213	63	1
"GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	-0.0395383392535886	1	213	63	1
"GO:0001666~response to hypoxia"	-0.0402902189528366	1	213	190	3
"GO:0007399~nervous system development"	-0.0417704821107313	1	213	320	5
"GO:0001525~angiogenesis"	-0.0417704821107313	1	213	192	3
"GO:0006869~lipid transport"	-0.0417704821107313	1	213	64	1
"GO:0006139~nucleobase-containing compound metabolic process"	-0.0417704821107313	1	213	64	1
"GO:0015031~protein transport"	-0.0420836781018226	1	213	449	7
"GO:0007050~cell cycle arrest"	-0.0428605983898011	1	213	129	2
"GO:0006987~activation of signaling protein activity involved in unfolded protein response"	-0.0439339436491928	1	213	65	1
"GO:0002756~MyD88-independent toll-like receptor signaling pathway"	-0.0439339436491928	1	213	65	1
"GO:0000278~mitotic cell cycle"	-0.0447808032116488	1	213	327	5
"GO:0045944~positive regulation of transcription from RNA polymerase II promoter"	-0.0466488757758897	1	213	663	10
"GO:0007173~epidermal growth factor receptor signaling pathway"	-0.0470571362460697	1	213	133	2
"GO:0042472~inner ear morphogenesis"	-0.0480671239017761	1	213	67	1
"GO:0034220~ion transmembrane transport"	-0.0500425409342607	1	213	68	1
"GO:0043627~response to estrogen stimulus"	-0.0500425409342607	1	213	68	1
"GO:0034130~toll-like receptor 1 signaling pathway"	-0.0500425409342607	1	213	68	1
"GO:0006917~induction of apoptosis"	-0.0506881650375606	1	213	205	3
"GO:0007165~signal transduction"	-0.051866113002682	1	213	1379	20
"GO:0006368~transcription elongation from RNA polymerase II promoter"	-0.0519606995020356	1	213	69	1
"GO:0034134~toll-like receptor 2 signaling pathway"	-0.0519606995020356	1	213	69	1
"GO:0006355~regulation of transcription, DNA-dependent"	-0.0528585609592920	1	213	1598	23
"GO:0007179~transforming growth factor beta receptor signaling pathway"	-0.0538240535393026	1	213	70	1
"GO:0007626~locomotory behavior"	-0.0538240535393026	1	213	70	1
"GO:0007229~integrin-mediated signaling pathway"	-0.0556349187304496	1	213	71	1
"GO:0090090~negative regulation of canonical Wnt receptor signaling pathway"	-0.0556349187304496	1	213	71	1
"GO:0019221~cytokine-mediated signaling pathway"	-0.0565213562366055	1	213	286	4
"GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	-0.0573954821107313	1	213	72	1
"GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"	-0.0591078108778547	1	213	73	1
"GO:0009636~response to toxin"	-0.0591078108778547	1	213	73	1
"GO:0008219~cell death"	-0.0599465025188946	1	213	147	2
"GO:0002224~toll-like receptor signaling pathway"	-0.0607738604891098	1	213	74	1
"GO:0006886~intracellular protein transport"	-0.0619941443180892	1	213	299	4
"GO:0006260~DNA replication"	-0.0623954821107313	1	213	150	2
"GO:0034142~toll-like receptor 4 signaling pathway"	-0.0623954821107313	1	213	75	1
"GO:0035556~intracellular signal transduction"	-0.0631901840974862	1	213	302	4
"GO:0008285~negative regulation of cell proliferation"	-0.0636619728759028	1	213	379	5
"GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	-0.0639744294791525	1	213	76	1
"GO:0009791~post-embryonic development"	-0.0639744294791525	1	213	76	1
"GO:0006974~response to DNA damage stimulus"	-0.0639744294791525	1	213	152	2
"GO:0008063~Toll signaling pathway"	-0.0639744294791525	1	213	76	1
"GO:0006915~apoptotic process"	-0.0641473069282497	1	213	685	9
"GO:0006357~regulation of transcription from RNA polymerase II promoter"	-0.0651316384625229	1	213	307	4
"GO:0006874~cellular calcium ion homeostasis"	-0.0655123652276145	1	213	77	1
"GO:0009615~response to virus"	-0.0655123652276145	1	213	154	2
"GO:0032496~response to lipopolysaccharide"	-0.0670108667261158	1	213	156	2
"GO:0007166~cell surface receptor signaling pathway"	-0.0670108667261158	1	213	234	3
"GO:0008584~male gonad development"	-0.0670108667261158	1	213	78	1
"GO:0009611~response to wounding"	-0.0670108667261158	1	213	78	1
"GO:0051439~regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	-0.0698954821107313	1	213	80	1
"GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process"	-0.0698954821107313	1	213	80	1
"GO:0030968~endoplasmic reticulum unfolded protein response"	-0.0712843709996202	1	213	81	1
"GO:0008544~epidermis development"	-0.0726393845497557	1	213	82	1
"GO:0016055~Wnt receptor signaling pathway"	-0.0726393845497557	1	213	164	2
"GO:0000902~cell morphogenesis"	-0.0726393845497557	1	213	82	1
"GO:0051056~regulation of small GTPase mediated signal transduction"	-0.0726393845497557	1	213	164	2
"GO:0006511~ubiquitin-dependent protein catabolic process"	-0.0726393845497557	1	213	164	2
"GO:0000236~mitotic prometaphase"	-0.0739617471709724	1	213	83	1
"GO:0000165~MAPK cascade"	-0.0739617471709724	1	213	83	1
"GO:0000216~M/G1 transition of mitotic cell cycle"	-0.0752526249678742	1	213	84	1
"GO:0031145~anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process"	-0.0765131291695548	1	213	85	1
"GO:0007154~cell communication"	-0.0765131291695548	1	213	85	1
"GO:0007275~multicellular organismal development"	-0.0805086896579012	1	213	530	6
"GO:0055085~transmembrane transport"	-0.0812718866051134	1	213	623	7
"GO:0006396~RNA processing"	-0.0812718866051134	1	213	89	1
"GO:0006812~cation transport"	-0.0812718866051134	1	213	89	1
"GO:0006351~transcription, DNA-dependent"	-0.084436298437262	1	213	1470	16
"GO:0007067~mitosis"	-0.0856212885623442	1	213	186	2
"GO:0005975~carbohydrate metabolic process"	-0.08732505957552	1	213	284	3
"GO:0008284~positive regulation of cell proliferation"	-0.0893722262967778	1	213	387	4
"GO:0001764~neuron migration"	-0.0896119769560921	1	213	97	1
"GO:0051301~cell division"	-0.0905587474168537	1	213	294	3
"GO:0016337~cell-cell adhesion"	-0.0905587474168537	1	213	98	1
"GO:0022904~respiratory electron transport chain"	-0.0914863912016404	1	213	99	1
"GO:0006936~muscle contraction"	-0.0923954821107313	1	213	100	1
"GO:0008360~regulation of cell shape"	-0.0941601879930841	1	213	102	1
"GO:0000187~activation of MAPK activity"	-0.0941601879930841	1	213	102	1
"GO:0031295~T cell costimulation"	-0.0958570205722697	1	213	104	1
"GO:0001934~positive regulation of protein phosphorylation"	-0.0966811963964456	1	213	105	1
"GO:0030198~extracellular matrix organization"	-0.0966811963964456	1	213	105	1
"GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"	-0.0974898217333728	1	213	106	1
"GO:0001701~in utero embryonic development"	-0.0986745518781732	1	213	215	2
"GO:0030324~lung development"	-0.099062148777398	1	213	108	1
"GO:0007264~small GTPase mediated signal transduction"	-0.0993185590338082	1	213	325	3
"GO:0006816~calcium ion transport"	-0.100577300292549	1	213	110	1
"GO:0042590~antigen processing and presentation of exogenous peptide antigen via MHC class I"	-0.100577300292549	1	213	110	1
"GO:0045087~innate immune response"	-0.101070180905912	1	213	332	3
"GO:0006508~proteolysis"	-0.101131373758587	1	213	443	4
"GO:0009653~anatomical structure morphogenesis"	-0.101314401029650	1	213	111	1
"GO:0006006~glucose metabolic process"	-0.102749464411616	1	213	113	1
"GO:0006897~endocytosis"	-0.104134612545514	1	213	115	1
"GO:0007219~Notch signaling pathway"	-0.104134612545514	1	213	115	1
"GO:0006935~chemotaxis"	-0.106124295670053	1	213	118	1
"GO:0007605~sensory perception of sound"	-0.106765230009891	1	213	119	1
"GO:0060333~interferon-gamma-mediated signaling pathway"	-0.108624990307453	1	213	122	1
"GO:0006979~response to oxidative stress"	-0.110966910682160	1	213	126	1
"GO:0002474~antigen processing and presentation of peptide antigen via MHC class I"	-0.114213663928913	1	213	132	1
"GO:0019882~antigen processing and presentation"	-0.114213663928913	1	213	132	1
"GO:0000075~cell cycle checkpoint"	-0.115728815444065	1	213	135	1
"GO:0030154~cell differentiation"	-0.118414439456703	1	213	422	3
"GO:0001501~skeletal system development"	-0.118565694876689	1	213	141	1
"GO:0008286~insulin receptor signaling pathway"	-0.118565694876689	1	213	141	1
"GO:0006811~ion transport"	-0.119015200420590	1	213	284	2
"GO:0045892~negative regulation of transcription, DNA-dependent"	-0.120468876606144	1	213	436	3
"GO:0006281~DNA repair"	-0.121378532958189	1	213	295	2
"GO:0006954~inflammatory response"	-0.121992797546973	1	213	298	2
"GO:0010628~positive regulation of gene expression"	-0.122395482110731	1	213	150	1
"GO:0055114~oxidation-reduction process"	-0.124703174418424	1	213	468	3
"GO:0007601~visual perception"	-0.131259118474368	1	213	176	1
"GO:0007268~synaptic transmission"	-0.134395482110731	1	213	375	2
"GO:0006955~immune response"	-0.142660382772983	1	213	453	2
"GO:0007267~cell-cell signaling"	-0.146250903797478	1	213	249	1
"GO:0007186~G-protein coupled receptor signaling pathway"	-0.150742492661728	1	213	853	3
"GO:0007283~spermatogenesis"	-0.154004314918302	1	213	317	1
"GO:0002063~chondrocyte development"	-0.182395482110731	1	213	13	0
