Pathway1,Pathway2,vec
Hepatitis.B_Homo.sapiens_hsa05161,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.157894737
Long.term.potentiation_Homo.sapiens_hsa04720,Serotonergic.synapse_Homo.sapiens_hsa04726,0.157894737
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Serotonergic.synapse_Homo.sapiens_hsa04726,0.157894737
Alcoholism_Homo.sapiens_hsa05034,Serotonergic.synapse_Homo.sapiens_hsa04726,0.157894737
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.157894737
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.157894737
Axon.guidance_Homo.sapiens_hsa04360,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.157894737
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.157894737
Tuberculosis_Homo.sapiens_hsa05152,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.157894737
Insulin.resistance_Homo.sapiens_hsa04931,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.157894737
TNF.signaling.pathway_Homo.sapiens_hsa04668,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.157894737
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Huntington.s.disease_Homo.sapiens_hsa05016,0.15625
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.15625
Cocaine.addiction_Homo.sapiens_hsa05030,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.153846154
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,MAPK.signaling.pathway_Homo.sapiens_hsa04010,0.153846154
TNF.signaling.pathway_Homo.sapiens_hsa04668,Tuberculosis_Homo.sapiens_hsa05152,0.153846154
Dopaminergic.synapse_Homo.sapiens_hsa04728,Tuberculosis_Homo.sapiens_hsa05152,0.153846154
Apoptosis_Homo.sapiens_hsa04210,Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,0.153846154
MAPK.signaling.pathway_Homo.sapiens_hsa04010,Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,0.153846154
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Pathways.in.cancer_Homo.sapiens_hsa05200,0.153846154
Alzheimer.s.disease_Homo.sapiens_hsa05010,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.153846154
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Serotonergic.synapse_Homo.sapiens_hsa04726,0.153846154
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.153846154
Pathways.in.cancer_Homo.sapiens_hsa05200,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.153846154
Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.153846154
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.153846154
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.153846154
Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,Pertussis_Homo.sapiens_hsa05133,0.153846154
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Pertussis_Homo.sapiens_hsa05133,0.153846154
Melanogenesis_Homo.sapiens_hsa04916,Renin.secretion_Homo.sapiens_hsa04924,0.153846154
mTOR.signaling.pathway_Homo.sapiens_hsa04150,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.153846154
NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.153846154
TNF.signaling.pathway_Homo.sapiens_hsa04668,Pathways.in.cancer_Homo.sapiens_hsa05200,0.151515152
Platelet.activation_Homo.sapiens_hsa04611,Pathways.in.cancer_Homo.sapiens_hsa05200,0.151515152
Long.term.depression_Homo.sapiens_hsa04730,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.15
Long.term.potentiation_Homo.sapiens_hsa04720,Insulin.secretion_Homo.sapiens_hsa04911,0.15
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.15
Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,0.15
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.15
Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.15
Insulin.secretion_Homo.sapiens_hsa04911,Alcoholism_Homo.sapiens_hsa05034,0.15
Tuberculosis_Homo.sapiens_hsa05152,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.15
Cocaine.addiction_Homo.sapiens_hsa05030,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.15
Amphetamine.addiction_Homo.sapiens_hsa05031,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.15
TNF.signaling.pathway_Homo.sapiens_hsa04668,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.15
Insulin.resistance_Homo.sapiens_hsa04931,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.15
Cholinergic.synapse_Homo.sapiens_hsa04725,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.15
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Serotonergic.synapse_Homo.sapiens_hsa04726,0.15
Long.term.potentiation_Homo.sapiens_hsa04720,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.15
Rap1.signaling.pathway_Homo.sapiens_hsa04015,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.15
Amphetamine.addiction_Homo.sapiens_hsa05031,Oocyte.meiosis_Homo.sapiens_hsa04114,0.15
Tuberculosis_Homo.sapiens_hsa05152,Oocyte.meiosis_Homo.sapiens_hsa04114,0.15
Alzheimer.s.disease_Homo.sapiens_hsa05010,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.15
TNF.signaling.pathway_Homo.sapiens_hsa04668,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.15
TNF.signaling.pathway_Homo.sapiens_hsa04668,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.15
Dopaminergic.synapse_Homo.sapiens_hsa04728,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.15
TNF.signaling.pathway_Homo.sapiens_hsa04668,Pertussis_Homo.sapiens_hsa05133,0.15
Insulin.resistance_Homo.sapiens_hsa04931,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.148148148
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,0.148148148
Circadian.entrainment_Homo.sapiens_hsa04713,Huntington.s.disease_Homo.sapiens_hsa05016,0.148148148
Insulin.resistance_Homo.sapiens_hsa04931,Huntington.s.disease_Homo.sapiens_hsa05016,0.148148148
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,0.148148148
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Insulin.secretion_Homo.sapiens_hsa04911,0.148148148
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Axon.guidance_Homo.sapiens_hsa04360,0.148148148
Pathways.in.cancer_Homo.sapiens_hsa05200,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.148148148
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.148148148
Pathways.in.cancer_Homo.sapiens_hsa05200,Serotonergic.synapse_Homo.sapiens_hsa04726,0.148148148
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.148148148
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.148148148
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,MAPK.signaling.pathway_Homo.sapiens_hsa04010,0.147058824
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Huntington.s.disease_Homo.sapiens_hsa05016,0.147058824
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,cAMP.signaling.pathway_Homo.sapiens_hsa04024,0.142857143
TNF.signaling.pathway_Homo.sapiens_hsa04668,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.142857143
Platelet.activation_Homo.sapiens_hsa04611,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.142857143
Apoptosis_Homo.sapiens_hsa04210,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.142857143
Glutamatergic.synapse_Homo.sapiens_hsa04724,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.142857143
Gap.junction_Homo.sapiens_hsa04540,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.142857143
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.142857143
TNF.signaling.pathway_Homo.sapiens_hsa04668,Huntington.s.disease_Homo.sapiens_hsa05016,0.142857143
Cocaine.addiction_Homo.sapiens_hsa05030,Insulin.secretion_Homo.sapiens_hsa04911,0.142857143
Apoptosis_Homo.sapiens_hsa04210,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.142857143
MAPK.signaling.pathway_Homo.sapiens_hsa04010,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.142857143
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.142857143
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,Tuberculosis_Homo.sapiens_hsa05152,0.142857143
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Hepatitis.B_Homo.sapiens_hsa05161,0.142857143
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Hepatitis.B_Homo.sapiens_hsa05161,0.142857143
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Hepatitis.B_Homo.sapiens_hsa05161,0.142857143
AMPK.signaling.pathway_Homo.sapiens_hsa04152,Hepatitis.B_Homo.sapiens_hsa05161,0.142857143
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Hepatitis.B_Homo.sapiens_hsa05161,0.142857143
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.142857143
AMPK.signaling.pathway_Homo.sapiens_hsa04152,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.142857143
Hepatitis.B_Homo.sapiens_hsa05161,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.142857143
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.142857143
Insulin.resistance_Homo.sapiens_hsa04931,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.142857143
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.142857143
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,Pathways.in.cancer_Homo.sapiens_hsa05200,0.142857143
mTOR.signaling.pathway_Homo.sapiens_hsa04150,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.142857143
TNF.signaling.pathway_Homo.sapiens_hsa04668,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.142857143
Platelet.activation_Homo.sapiens_hsa04611,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.142857143
Alzheimer.s.disease_Homo.sapiens_hsa05010,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.142857143
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.142857143
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.142857143
Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.142857143
Insulin.resistance_Homo.sapiens_hsa04931,Melanogenesis_Homo.sapiens_hsa04916,0.142857143
Influenza.A_Homo.sapiens_hsa05164,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.142857143
Tuberculosis_Homo.sapiens_hsa05152,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.142857143
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Serotonergic.synapse_Homo.sapiens_hsa04726,0.142857143
Amphetamine.addiction_Homo.sapiens_hsa05031,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.142857143
Pathways.in.cancer_Homo.sapiens_hsa05200,Wnt.signaling.pathway_Homo.sapiens_hsa04310,0.142857143
Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.142857143
Circadian.entrainment_Homo.sapiens_hsa04713,Oocyte.meiosis_Homo.sapiens_hsa04114,0.142857143
Alzheimer.s.disease_Homo.sapiens_hsa05010,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.142857143
Huntington.s.disease_Homo.sapiens_hsa05016,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.142857143
TNF.signaling.pathway_Homo.sapiens_hsa04668,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.142857143
Adherens.junction_Homo.sapiens_hsa04520,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.142857143
Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.142857143
NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.142857143
Oocyte.meiosis_Homo.sapiens_hsa04114,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.142857143
mTOR.signaling.pathway_Homo.sapiens_hsa04150,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.142857143
NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,Pertussis_Homo.sapiens_hsa05133,0.142857143
Serotonergic.synapse_Homo.sapiens_hsa04726,Pertussis_Homo.sapiens_hsa05133,0.142857143
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,Renin.secretion_Homo.sapiens_hsa04924,0.142857143
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,Renin.secretion_Homo.sapiens_hsa04924,0.142857143
Wnt.signaling.pathway_Homo.sapiens_hsa04310,Notch.signaling.pathway_Homo.sapiens_hsa04330,0.142857143
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.142857143
Phagosome_Homo.sapiens_hsa04145,Malaria_Homo.sapiens_hsa05144,0.142857143
cAMP.signaling.pathway_Homo.sapiens_hsa04024,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.137931034
cAMP.signaling.pathway_Homo.sapiens_hsa04024,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.137931034
Apoptosis_Homo.sapiens_hsa04210,Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,0.137931034
MAPK.signaling.pathway_Homo.sapiens_hsa04010,Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,0.137931034
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Tuberculosis_Homo.sapiens_hsa05152,0.137931034
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.137931034
Amphetamine.addiction_Homo.sapiens_hsa05031,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.136363636
Circadian.entrainment_Homo.sapiens_hsa04713,Insulin.secretion_Homo.sapiens_hsa04911,0.136363636
Insulin.resistance_Homo.sapiens_hsa04931,Insulin.secretion_Homo.sapiens_hsa04911,0.136363636
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Insulin.signaling.pathway_Homo.sapiens_hsa04910,0.136363636
Cholinergic.synapse_Homo.sapiens_hsa04725,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.136363636
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Hepatitis.B_Homo.sapiens_hsa05161,0.136363636
Cholinergic.synapse_Homo.sapiens_hsa04725,Hepatitis.B_Homo.sapiens_hsa05161,0.136363636
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Hepatitis.B_Homo.sapiens_hsa05161,0.136363636
Circadian.entrainment_Homo.sapiens_hsa04713,Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,0.136363636
Insulin.resistance_Homo.sapiens_hsa04931,Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,0.136363636
Insulin.resistance_Homo.sapiens_hsa04931,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.136363636
Long.term.potentiation_Homo.sapiens_hsa04720,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.136363636
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Alcoholism_Homo.sapiens_hsa05034,0.136363636
AMPK.signaling.pathway_Homo.sapiens_hsa04152,Alcoholism_Homo.sapiens_hsa05034,0.136363636
Hepatitis.B_Homo.sapiens_hsa05161,Alcoholism_Homo.sapiens_hsa05034,0.136363636
Platelet.activation_Homo.sapiens_hsa04611,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.136363636
Alzheimer.s.disease_Homo.sapiens_hsa05010,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.136363636
TNF.signaling.pathway_Homo.sapiens_hsa04668,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.136363636
Dopaminergic.synapse_Homo.sapiens_hsa04728,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.136363636
TNF.signaling.pathway_Homo.sapiens_hsa04668,Melanogenesis_Homo.sapiens_hsa04916,0.136363636
Huntington.s.disease_Homo.sapiens_hsa05016,Serotonergic.synapse_Homo.sapiens_hsa04726,0.136363636
Tuberculosis_Homo.sapiens_hsa05152,Phagosome_Homo.sapiens_hsa04145,0.136363636
Dopaminergic.synapse_Homo.sapiens_hsa04728,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.136363636
Alzheimer.s.disease_Homo.sapiens_hsa05010,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.136363636
Alzheimer.s.disease_Homo.sapiens_hsa05010,Oocyte.meiosis_Homo.sapiens_hsa04114,0.136363636
MAPK.signaling.pathway_Homo.sapiens_hsa04010,Pathways.in.cancer_Homo.sapiens_hsa05200,0.135135135
Apoptosis_Homo.sapiens_hsa04210,Tuberculosis_Homo.sapiens_hsa05152,0.133333333
MAPK.signaling.pathway_Homo.sapiens_hsa04010,Tuberculosis_Homo.sapiens_hsa05152,0.133333333
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Alcoholism_Homo.sapiens_hsa05034,0.133333333
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Pathways.in.cancer_Homo.sapiens_hsa05200,0.133333333
Gap.junction_Homo.sapiens_hsa04540,Pathways.in.cancer_Homo.sapiens_hsa05200,0.133333333
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Pathways.in.cancer_Homo.sapiens_hsa05200,0.133333333
Hepatitis.B_Homo.sapiens_hsa05161,Pathways.in.cancer_Homo.sapiens_hsa05200,0.133333333
Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,Oocyte.meiosis_Homo.sapiens_hsa04114,0.133333333
Oocyte.meiosis_Homo.sapiens_hsa04114,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.133333333
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.133333333
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.133333333
Wnt.signaling.pathway_Homo.sapiens_hsa04310,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.133333333
mTOR.signaling.pathway_Homo.sapiens_hsa04150,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.133333333
NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.133333333
Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.133333333
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.133333333
Insulin.secretion_Homo.sapiens_hsa04911,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.133333333
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.133333333
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.133333333
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.133333333
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,Pertussis_Homo.sapiens_hsa05133,0.133333333
Wnt.signaling.pathway_Homo.sapiens_hsa04310,Pertussis_Homo.sapiens_hsa05133,0.133333333
Glutamatergic.synapse_Homo.sapiens_hsa04724,cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,0.131578947
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Pathways.in.cancer_Homo.sapiens_hsa05200,0.131578947
Dopaminergic.synapse_Homo.sapiens_hsa04728,Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,0.130434783
Cocaine.addiction_Homo.sapiens_hsa05030,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.130434783
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,Huntington.s.disease_Homo.sapiens_hsa05016,0.130434783
TNF.signaling.pathway_Homo.sapiens_hsa04668,Insulin.secretion_Homo.sapiens_hsa04911,0.130434783
Cocaine.addiction_Homo.sapiens_hsa05030,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.130434783
Amphetamine.addiction_Homo.sapiens_hsa05031,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.130434783
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Tuberculosis_Homo.sapiens_hsa05152,0.130434783
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Tuberculosis_Homo.sapiens_hsa05152,0.130434783
Cocaine.addiction_Homo.sapiens_hsa05030,Hepatitis.B_Homo.sapiens_hsa05161,0.130434783
Amphetamine.addiction_Homo.sapiens_hsa05031,Hepatitis.B_Homo.sapiens_hsa05161,0.130434783
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Alcoholism_Homo.sapiens_hsa05034,0.130434783
Gap.junction_Homo.sapiens_hsa04540,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.130434783
Dopaminergic.synapse_Homo.sapiens_hsa04728,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.130434783
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.130434783
Apoptosis_Homo.sapiens_hsa04210,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.130434783
MAPK.signaling.pathway_Homo.sapiens_hsa04010,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.130434783
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Vasopressin.regulated.water.reabsorption_Homo.sapiens_hsa04962,0.130434783
Cocaine.addiction_Homo.sapiens_hsa05030,Calcium.signaling.pathway_Homo.sapiens_hsa04020,0.129032258
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.129032258
Insulin.resistance_Homo.sapiens_hsa04931,MAPK.signaling.pathway_Homo.sapiens_hsa04010,0.129032258
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.129032258
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Axon.guidance_Homo.sapiens_hsa04360,0.129032258
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Tuberculosis_Homo.sapiens_hsa05152,0.129032258
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Tight.junction_Homo.sapiens_hsa04530,0.129032258
Cholinergic.synapse_Homo.sapiens_hsa04725,Pathways.in.cancer_Homo.sapiens_hsa05200,0.129032258
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.129032258
Cocaine.addiction_Homo.sapiens_hsa05030,Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,0.125
Glutamatergic.synapse_Homo.sapiens_hsa04724,Platelet.activation_Homo.sapiens_hsa04611,0.125
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Insulin.resistance_Homo.sapiens_hsa04931,0.125
Circadian.entrainment_Homo.sapiens_hsa04713,Gap.junction_Homo.sapiens_hsa04540,0.125
Apoptosis_Homo.sapiens_hsa04210,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.125
TNF.signaling.pathway_Homo.sapiens_hsa04668,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.125
Alzheimer.s.disease_Homo.sapiens_hsa05010,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.125
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Influenza.A_Homo.sapiens_hsa05164,0.125
Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,Influenza.A_Homo.sapiens_hsa05164,0.125
Long.term.potentiation_Homo.sapiens_hsa04720,Tuberculosis_Homo.sapiens_hsa05152,0.125
Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,Tuberculosis_Homo.sapiens_hsa05152,0.125
Insulin.resistance_Homo.sapiens_hsa04931,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.125
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Alcoholism_Homo.sapiens_hsa05034,0.125
Apoptosis_Homo.sapiens_hsa04210,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.125
MAPK.signaling.pathway_Homo.sapiens_hsa04010,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.125
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.125
Cholinergic.synapse_Homo.sapiens_hsa04725,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.125
mTOR.signaling.pathway_Homo.sapiens_hsa04150,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.125
