GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 15:04:47 BST 2017

Gene	Score	Description
PLSCR1	SH2B3	0.012260351783859499	Co-expression	Bahr-Bowler-2013
PNISR	ANKRD10	0.03077672591325754	Co-expression	Bahr-Bowler-2013
PNISR	OGT	0.021845313479575204	Co-expression	Bahr-Bowler-2013
PNISR	PNN	0.026313922124319315	Co-expression	Bahr-Bowler-2013
PNISR	SLC11A2	0.017582965973684226	Co-expression	Bahr-Bowler-2013
PNISR	STX16	0.015273825867750439	Co-expression	Bahr-Bowler-2013
PNISR	ZFC3H1	0.017052789883639976	Co-expression	Bahr-Bowler-2013
PNN	STX16	0.019063013225760924	Co-expression	Bahr-Bowler-2013
PNN	ZFC3H1	0.016742746405972748	Co-expression	Bahr-Bowler-2013
PNRC1	EIF3E	0.01690704780861617	Co-expression	Bahr-Bowler-2013
PNRC1	PABPC1	0.02549355209892646	Co-expression	Bahr-Bowler-2013
PNRC1	SRSF2	0.02334244885920595	Co-expression	Bahr-Bowler-2013
PNRC1	UBXN7	0.028998297081089964	Co-expression	Bahr-Bowler-2013
POT1	CCDC90B	0.007425940623793253	Co-expression	Bahr-Bowler-2013
POT1	GIN1	0.004488865404137487	Co-expression	Bahr-Bowler-2013
POT1	SNAPC3	0.016017714586187465	Co-expression	Bahr-Bowler-2013
PPIG	BCLAF1	0.015240046003905296	Co-expression	Bahr-Bowler-2013
PPIG	CEBPZ	0.01937527183107405	Co-expression	Bahr-Bowler-2013
PPIG	RAD21	0.016301852728964283	Co-expression	Bahr-Bowler-2013
PPIG	SCAF11	0.016048205623923763	Co-expression	Bahr-Bowler-2013
PPIG	SMC5	0.014561725063786755	Co-expression	Bahr-Bowler-2013
PPIG	UBXN7	0.011657912567273837	Co-expression	Bahr-Bowler-2013
PPIG	ZNF292	0.009527008626868673	Co-expression	Bahr-Bowler-2013
PPP1CB	DHX29	0.012070343797126978	Co-expression	Bahr-Bowler-2013
PPP1CB	NAA50	0.019443393390638428	Co-expression	Bahr-Bowler-2013
PPP1CB	STRN3	0.013815443563356294	Co-expression	Bahr-Bowler-2013
PPP2R5E	CDK12	0.01812753761757761	Co-expression	Bahr-Bowler-2013
PPP2R5E	FOXN3	0.020225334559978943	Co-expression	Bahr-Bowler-2013
PPP2R5E	SETD2	0.01940626807336117	Co-expression	Bahr-Bowler-2013
PPP2R5E	SMC5	0.019378396326911417	Co-expression	Bahr-Bowler-2013
PPP4C	HLA-B	0.015593965664056325	Co-expression	Bahr-Bowler-2013
PPP4C	LAPTM5	0.01251040916074003	Co-expression	Bahr-Bowler-2013
PPWD1	DIDO1	0.022018355476117617	Co-expression	Bahr-Bowler-2013
PPWD1	FNBP4	0.014277083937138462	Co-expression	Bahr-Bowler-2013
PPWD1	KIAA0907	0.014818597705574808	Co-expression	Bahr-Bowler-2013
PPWD1	LUC7L3	0.017525775708191943	Co-expression	Bahr-Bowler-2013
PPWD1	OGT	0.015360208073562627	Co-expression	Bahr-Bowler-2013
PPWD1	TARDBP	0.018925615353373153	Co-expression	Bahr-Bowler-2013
PPWD1	UPF2	0.012947786392006867	Co-expression	Bahr-Bowler-2013
PPWD1	ZNF573	0.01112592773390369	Co-expression	Bahr-Bowler-2013
PRPF3	FNBP4	0.012447566155976949	Co-expression	Bahr-Bowler-2013
PRPF3	FOXJ3	0.013803916016880262	Co-expression	Bahr-Bowler-2013
PRPF3	PAN2	0.010824188486644303	Co-expression	Bahr-Bowler-2013
PRPF3	RBM5	0.01356248375857282	Co-expression	Bahr-Bowler-2013
PRPF4B	CLK4	0.021962072358137467	Co-expression	Bahr-Bowler-2013
PRPF4B	HCFC2	0.018014654934810748	Co-expression	Bahr-Bowler-2013
PRPF4B	HIPK1	0.0302594963837903	Co-expression	Bahr-Bowler-2013
PRPF4B	MON2	0.009995869539538687	Co-expression	Bahr-Bowler-2013
PRPS2	TMEM38B	0.013526224506239817	Co-expression	Bahr-Bowler-2013
PRPS2	ZCCHC10	0.019493138828629093	Co-expression	Bahr-Bowler-2013
PSAP	KIAA0141	0.013966268773399102	Co-expression	Bahr-Bowler-2013
PSAP	PABPC1	0.009083883167119234	Co-expression	Bahr-Bowler-2013
PSAP	SH2B3	0.008468938194806397	Co-expression	Bahr-Bowler-2013
PSAP	TPP1	0.013314990155995231	Co-expression	Bahr-Bowler-2013
PUM1	ARMC1	0.011011445051669294	Co-expression	Bahr-Bowler-2013
PUM1	MON2	0.008052695168858842	Co-expression	Bahr-Bowler-2013
PUM1	SLC26A2	0.01669300096798208	Co-expression	Bahr-Bowler-2013
PUM1	UBXN7	0.020166351095916177	Co-expression	Bahr-Bowler-2013
PUM2	CARD8	0.014024356193346462	Co-expression	Bahr-Bowler-2013
PUM2	FAM65B	0.010138734724472014	Co-expression	Bahr-Bowler-2013
PUM2	GIN1	0.003719443314600213	Co-expression	Bahr-Bowler-2013
PUM2	MON2	0.004450075687691707	Co-expression	Bahr-Bowler-2013
PUM2	NBR1	0.010976502662187434	Co-expression	Bahr-Bowler-2013
PUM2	NEK1	0.00422348589495143	Co-expression	Bahr-Bowler-2013
PUM2	NSMAF	0.010833739628503945	Co-expression	Bahr-Bowler-2013
PUM2	RBM12	0.01372021861239528	Co-expression	Bahr-Bowler-2013
PUM2	ZFX	0.012406026128163307	Co-expression	Bahr-Bowler-2013
RAB27A	TMCO1	0.029000453360733237	Co-expression	Bahr-Bowler-2013
RAD21	ARMC1	0.01157807137247015	Co-expression	Bahr-Bowler-2013
RAP1A	NAA50	0.017908748516203866	Co-expression	Bahr-Bowler-2013
RASA1	DHX29	0.010116700033678639	Co-expression	Bahr-Bowler-2013
RASA1	DMTF1	0.012363637800840162	Co-expression	Bahr-Bowler-2013
RASA1	HNRNPA2B1	0.02327144485785273	Co-expression	Bahr-Bowler-2013
RASA1	SEC24B	0.014707764709842693	Co-expression	Bahr-Bowler-2013
RASA1	SREK1	0.02608868305979018	Co-expression	Bahr-Bowler-2013
RASA1	STRN3	0.0114385016756837	Co-expression	Bahr-Bowler-2013
RASA1	SUN1	0.02767043520515443	Co-expression	Bahr-Bowler-2013
RASA1	TCERG1	0.010235315400172695	Co-expression	Bahr-Bowler-2013
RASA1	U2SURP	0.02458161236077324	Co-expression	Bahr-Bowler-2013
RBM12	ZFX	0.031875127213230506	Co-expression	Bahr-Bowler-2013
RBM39	CCNL1	0.014226744467423207	Co-expression	Bahr-Bowler-2013
RBM39	CHD1	0.02374717211105518	Co-expression	Bahr-Bowler-2013
RBM39	DMTF1	0.013036085044093149	Co-expression	Bahr-Bowler-2013
RBM39	PIGA	0.011512659041705765	Co-expression	Bahr-Bowler-2013
RBM39	SENP7	0.02295728090966223	Co-expression	Bahr-Bowler-2013
RBM39	ZBTB10	0.011154665545297699	Co-expression	Bahr-Bowler-2013
RBM5	DIDO1	0.023149120956853765	Co-expression	Bahr-Bowler-2013
RCN2	CEBPZ	0.015359620703876071	Co-expression	Bahr-Bowler-2013
RCN2	CRY1	0.017612174569099217	Co-expression	Bahr-Bowler-2013
REL	SPEN	0.026032040191756256	Co-expression	Bahr-Bowler-2013
RFX7	ASXL2	0.013299188912121179	Co-expression	Bahr-Bowler-2013
RFX7	ZNF573	0.00862085875493576	Co-expression	Bahr-Bowler-2013
RIT1	SSFA2	0.013388825523512376	Co-expression	Bahr-Bowler-2013
RLF	CCNL1	0.010346139513187433	Co-expression	Bahr-Bowler-2013
RLF	CHD1	0.015639882650857494	Co-expression	Bahr-Bowler-2013
RLF	DDX21	0.015411189319608372	Co-expression	Bahr-Bowler-2013
RLF	IFRD1	0.018656746601767436	Co-expression	Bahr-Bowler-2013
RLF	JMJD1C	0.016343351674210055	Co-expression	Bahr-Bowler-2013
RLF	MAP4K3	0.00969492418514487	Co-expression	Bahr-Bowler-2013
RLF	PIGA	0.010378038461627988	Co-expression	Bahr-Bowler-2013
RLF	RBM39	0.018415133358093434	Co-expression	Bahr-Bowler-2013
RLF	SEC24B	0.010333663736631405	Co-expression	Bahr-Bowler-2013
RLF	TCERG1	0.0066212918978180565	Co-expression	Bahr-Bowler-2013
RLF	TRA2A	0.01624213088901955	Co-expression	Bahr-Bowler-2013
ROCK1	HIPK1	0.030265887498943066	Co-expression	Bahr-Bowler-2013
ROCK1	PHF3	0.026363665341630635	Co-expression	Bahr-Bowler-2013
SAT1	IFRD1	0.02158221849426455	Co-expression	Bahr-Bowler-2013
SAV1	PLEKHA2	0.02536410425859113	Co-expression	Bahr-Bowler-2013
SCAF11	ARMC1	0.011514472226390349	Co-expression	Bahr-Bowler-2013
SCAF8	BCLAF1	0.01449677796534499	Co-expression	Bahr-Bowler-2013
SCAF8	MAP4K5	0.01558440786015865	Co-expression	Bahr-Bowler-2013
SCAF8	PHF3	0.01795481872987979	Co-expression	Bahr-Bowler-2013
SCAF8	PRPF4B	0.017915684808135646	Co-expression	Bahr-Bowler-2013
SCAF8	RAD21	0.016923235450696118	Co-expression	Bahr-Bowler-2013
SCAF8	SRSF10	0.017036910915988877	Co-expression	Bahr-Bowler-2013
SCAF8	UPF2	0.01109615064457657	Co-expression	Bahr-Bowler-2013
SEC24A	HCFC2	0.01869445817839158	Co-expression	Bahr-Bowler-2013
SEC24B	CHD1	0.013927847689724469	Co-expression	Bahr-Bowler-2013
SEC24B	DMTF1	0.006605856510865972	Co-expression	Bahr-Bowler-2013
SEC24B	GNA13	0.01507840941647498	Co-expression	Bahr-Bowler-2013
SEC24B	IFRD1	0.016514175212087555	Co-expression	Bahr-Bowler-2013
SEC24B	JMJD1C	0.013457291288375113	Co-expression	Bahr-Bowler-2013
SEC24B	MAP4K3	0.010709751328336464	Co-expression	Bahr-Bowler-2013
SEC24B	SLC35A3	0.013034282962805285	Co-expression	Bahr-Bowler-2013
SEC24B	SMNDC1	0.008873596491784808	Co-expression	Bahr-Bowler-2013
SEC24B	SRSF10	0.013940114722422136	Co-expression	Bahr-Bowler-2013
SEC24B	SSFA2	0.006606462756326955	Co-expression	Bahr-Bowler-2013
SEC24B	STRN3	0.0062171376950507905	Co-expression	Bahr-Bowler-2013
SEC24B	TCERG1	0.006419858515859338	Co-expression	Bahr-Bowler-2013
SEC24B	THUMPD2	0.009160610414312438	Co-expression	Bahr-Bowler-2013
SEC24B	TRA2A	0.012379251397309622	Co-expression	Bahr-Bowler-2013
SEC24B	U2SURP	0.012775259593072321	Co-expression	Bahr-Bowler-2013
SF3A1	RSAD1	0.016857775375325828	Co-expression	Bahr-Bowler-2013
SF3B1	BCLAF1	0.030700385619440072	Co-expression	Bahr-Bowler-2013
SF3B1	CCNL1	0.013705230137161226	Co-expression	Bahr-Bowler-2013
SF3B1	DMTF1	0.010708906359845975	Co-expression	Bahr-Bowler-2013
SF3B1	PIK3R1	0.02359412733200779	Co-expression	Bahr-Bowler-2013
SF3B1	PPIG	0.0160551874397821	Co-expression	Bahr-Bowler-2013
SF3B1	RLF	0.014952401408443899	Co-expression	Bahr-Bowler-2013
SF3B1	SLC25A36	0.025651648923482033	Co-expression	Bahr-Bowler-2013
SF3B1	TCERG1	0.009097410435344766	Co-expression	Bahr-Bowler-2013
SF3B1	ZNF292	0.015109974152674227	Co-expression	Bahr-Bowler-2013
SH2B3	REL	0.01897988653586741	Co-expression	Bahr-Bowler-2013
SLC25A36	BCLAF1	0.022322704021606504	Co-expression	Bahr-Bowler-2013
SLC25A36	CCNL1	0.010954058256055046	Co-expression	Bahr-Bowler-2013
SLC25A36	CDK12	0.023633586583275863	Co-expression	Bahr-Bowler-2013
SLC25A36	PIGA	0.010160160949125061	Co-expression	Bahr-Bowler-2013
SLC25A36	RLF	0.013287469276881875	Co-expression	Bahr-Bowler-2013
SLC25A36	ZBTB10	0.009617010540012	Co-expression	Bahr-Bowler-2013
SLC25A36	ZNF292	0.009357841715781988	Co-expression	Bahr-Bowler-2013
SLC26A2	AGO3	0.01138323673918289	Co-expression	Bahr-Bowler-2013
SLC26A2	ARMC1	0.010048616225663113	Co-expression	Bahr-Bowler-2013
SLC26A2	ASXL2	0.016868841020498255	Co-expression	Bahr-Bowler-2013
SLC26A2	ZNF12	0.014714346803419067	Co-expression	Bahr-Bowler-2013
SLC35A3	KATNBL1	0.020870826087011685	Co-expression	Bahr-Bowler-2013
SLC35A3	MAP4K3	0.014289813981479405	Co-expression	Bahr-Bowler-2013
SLTM	ANKRD10	0.016619305503263623	Co-expression	Bahr-Bowler-2013
SLTM	ARGLU1	0.016796032717177826	Co-expression	Bahr-Bowler-2013
SLTM	BTAF1	0.010610731236376117	Co-expression	Bahr-Bowler-2013
SLTM	CHD1	0.011532441963644063	Co-expression	Bahr-Bowler-2013
SLTM	CNOT2	0.013501738185450385	Co-expression	Bahr-Bowler-2013
SLTM	CPSF6	0.018086373994912818	Co-expression	Bahr-Bowler-2013
SLTM	CREBZF	0.012292820336551859	Co-expression	Bahr-Bowler-2013
SLTM	DMTF1	0.008947471831530152	Co-expression	Bahr-Bowler-2013
SLTM	GSAP	0.015334118422286644	Co-expression	Bahr-Bowler-2013
SLTM	HNRNPA2B1	0.015349254572697089	Co-expression	Bahr-Bowler-2013
SLTM	OGT	0.012184034807175148	Co-expression	Bahr-Bowler-2013
SLTM	PCF11	0.01760439552935629	Co-expression	Bahr-Bowler-2013
SLTM	PNISR	0.013220705662736509	Co-expression	Bahr-Bowler-2013
SLTM	PNN	0.014608441495151857	Co-expression	Bahr-Bowler-2013
SLTM	RASA1	0.014920225985424982	Co-expression	Bahr-Bowler-2013
SLTM	RBM39	0.014691436054624384	Co-expression	Bahr-Bowler-2013
SLTM	SENP7	0.013570491528288204	Co-expression	Bahr-Bowler-2013
SLTM	SMCHD1	0.015519676167613277	Co-expression	Bahr-Bowler-2013
SLTM	SREK1	0.016160993927818494	Co-expression	Bahr-Bowler-2013
SLTM	SRSF10	0.015466689648119673	Co-expression	Bahr-Bowler-2013
SLTM	SRSF11	0.01590108783804619	Co-expression	Bahr-Bowler-2013
SLTM	SUN1	0.013394199567525475	Co-expression	Bahr-Bowler-2013
SLTM	TCERG1	0.0074155439582732855	Co-expression	Bahr-Bowler-2013
SLTM	UPF3A	0.014816280426679077	Co-expression	Bahr-Bowler-2013
SLTM	USP8	0.01636551183338638	Co-expression	Bahr-Bowler-2013
SLTM	ZFC3H1	0.011656572387289578	Co-expression	Bahr-Bowler-2013
SLTM	ZMYM2	0.009829115396559535	Co-expression	Bahr-Bowler-2013
SLTM	ZNF83	0.016853271837615678	Co-expression	Bahr-Bowler-2013
SMAD5	CBLB	0.024428592009198634	Co-expression	Bahr-Bowler-2013
SMAD5	MON2	0.01090807909023224	Co-expression	Bahr-Bowler-2013
SMAD5	RFX7	0.01873810563090292	Co-expression	Bahr-Bowler-2013
SMC5	ZNF292	0.010568598287177558	Co-expression	Bahr-Bowler-2013
SMCHD1	CHD1	0.024697660621945332	Co-expression	Bahr-Bowler-2013
SMCHD1	DHX29	0.009526387946991954	Co-expression	Bahr-Bowler-2013
SMCHD1	DMTF1	0.012452311747735624	Co-expression	Bahr-Bowler-2013
SMCHD1	MORC3	0.009544524235196488	Co-expression	Bahr-Bowler-2013
SMCHD1	SEC24B	0.015552603290590225	Co-expression	Bahr-Bowler-2013
SMCHD1	TCERG1	0.012120125876326823	Co-expression	Bahr-Bowler-2013
SMCHD1	U2SURP	0.028796295205219122	Co-expression	Bahr-Bowler-2013
SMG1	ALMS1	0.014226089367016652	Co-expression	Bahr-Bowler-2013
SMG1	ATXN2	0.009547999598370247	Co-expression	Bahr-Bowler-2013
SMG1	ITPR2	0.013338784735168925	Co-expression	Bahr-Bowler-2013
SMG1	MON2	0.004666322943971033	Co-expression	Bahr-Bowler-2013
SMG1	N4BP2L2	0.01409161168796658	Co-expression	Bahr-Bowler-2013
SMG1	NR3C1	0.014329857271415017	Co-expression	Bahr-Bowler-2013
SMG1	RFX7	0.008036068942608401	Co-expression	Bahr-Bowler-2013
SMG1	SENP7	0.011482668767161596	Co-expression	Bahr-Bowler-2013
SMG1	SMAD5	0.01383809005130901	Co-expression	Bahr-Bowler-2013
SMG1	SRSF11	0.01240556755787872	Co-expression	Bahr-Bowler-2013
SMG1	TOP2B	0.006706306165154184	Co-expression	Bahr-Bowler-2013
SMG1	UBR5	0.014888917737689997	Co-expression	Bahr-Bowler-2013
SMG1	ZNF573	0.006964913157510099	Co-expression	Bahr-Bowler-2013
SMG1	ZNF83	0.011140639734559383	Co-expression	Bahr-Bowler-2013
SMNDC1	AMD1	0.01638233570009846	Co-expression	Bahr-Bowler-2013
SMNDC1	GNA13	0.018367535317028668	Co-expression	Bahr-Bowler-2013
SMNDC1	MAP4K3	0.009710047011479251	Co-expression	Bahr-Bowler-2013
SMNDC1	NAA50	0.010360211958191978	Co-expression	Bahr-Bowler-2013
SMNDC1	PPP4R2	0.01896061103915928	Co-expression	Bahr-Bowler-2013
SMNDC1	STRN3	0.007481005143983245	Co-expression	Bahr-Bowler-2013
SNAPC1	ARMC1	0.012490667321369602	Co-expression	Bahr-Bowler-2013
SNAPC1	CRLF3	0.022829056663645583	Co-expression	Bahr-Bowler-2013
SNAPC3	GIN1	0.010258225038627706	Co-expression	Bahr-Bowler-2013
SNRNP200	SRSF4	0.021297545167765764	Co-expression	Bahr-Bowler-2013
SPEN	LPP	0.01481623601309219	Co-expression	Bahr-Bowler-2013
SREK1	CHD1	0.022842176437211443	Co-expression	Bahr-Bowler-2013
SREK1	DHX29	0.009002311507936537	Co-expression	Bahr-Bowler-2013
SREK1	DMTF1	0.012683403412676542	Co-expression	Bahr-Bowler-2013
SREK1	GSAP	0.024647275628303524	Co-expression	Bahr-Bowler-2013
SREK1	HNRNPA2B1	0.025454550307603303	Co-expression	Bahr-Bowler-2013
SREK1	MAP4K3	0.016785319049681464	Co-expression	Bahr-Bowler-2013
SREK1	SEC24B	0.014705390803623685	Co-expression	Bahr-Bowler-2013
SREK1	STRN3	0.010948077966580965	Co-expression	Bahr-Bowler-2013
SREK1	TCERG1	0.011651449280042381	Co-expression	Bahr-Bowler-2013
SRRM1	RSAD1	0.011272078413926842	Co-expression	Bahr-Bowler-2013
SRRM1	SNRNP200	0.02231623518267669	Co-expression	Bahr-Bowler-2013
SRRM1	TNFAIP3	0.012144295750309697	Co-expression	Bahr-Bowler-2013
SRRM1	UBXN7	0.02109096647176641	Co-expression	Bahr-Bowler-2013
SRRM2	ATF7IP	0.022939717556728516	Co-expression	Bahr-Bowler-2013
SRRM2	ATP8B1	0.019031370765784632	Co-expression	Bahr-Bowler-2013
SRRM2	PRR11	0.020859394029747458	Co-expression	Bahr-Bowler-2013
SRRM2	SPEN	0.027141793604537064	Co-expression	Bahr-Bowler-2013
SRRM2	SRSF4	0.025114848546953866	Co-expression	Bahr-Bowler-2013
SRSF1	GIN1	0.009963274408123706	Co-expression	Bahr-Bowler-2013
SRSF10	SENP7	0.024120399467764838	Co-expression	Bahr-Bowler-2013
SRSF10	U2SURP	0.02871540473942527	Co-expression	Bahr-Bowler-2013
SRSF11	DMTF1	0.013883468523369195	Co-expression	Bahr-Bowler-2013
SRSF11	MON2	0.009254599557218374	Co-expression	Bahr-Bowler-2013
SRSF11	N4BP2L2	0.03175878138102628	Co-expression	Bahr-Bowler-2013
SRSF11	TCERG1	0.011261252602123597	Co-expression	Bahr-Bowler-2013
SRSF11	ZFC3H1	0.020874310332902823	Co-expression	Bahr-Bowler-2013
SRSF2	CCNL1	0.016123091372770744	Co-expression	Bahr-Bowler-2013
SRSF2	HNRNPH3	0.02944847541843676	Co-expression	Bahr-Bowler-2013
SRSF2	PIGA	0.011001550814850963	Co-expression	Bahr-Bowler-2013
SRSF2	STX2	0.03131681733657389	Co-expression	Bahr-Bowler-2013
SRSF2	TNFAIP3	0.011130518988447939	Co-expression	Bahr-Bowler-2013
SRSF4	SPEN	0.0323764877681037	Co-expression	Bahr-Bowler-2013
SRSF6	EIF3E	0.02103312665756593	Co-expression	Bahr-Bowler-2013
SRSF6	STX16	0.018125585640434008	Co-expression	Bahr-Bowler-2013
SSFA2	CMTM6	0.014499618214226294	Co-expression	Bahr-Bowler-2013
SSFA2	MAP4K3	0.007868993356294167	Co-expression	Bahr-Bowler-2013
STAG1	NEK1	0.011317039398270308	Co-expression	Bahr-Bowler-2013
STAG1	PUM2	0.013093100986256906	Co-expression	Bahr-Bowler-2013
STAG2	ARMC1	0.011280488126603537	Co-expression	Bahr-Bowler-2013
STAG2	MON2	0.00807439620258074	Co-expression	Bahr-Bowler-2013
STRN3	HIPK1	0.012143328644455274	Co-expression	Bahr-Bowler-2013
STRN3	MAP4K3	0.007571860353164601	Co-expression	Bahr-Bowler-2013
STRN3	NAA50	0.007191815510868081	Co-expression	Bahr-Bowler-2013
STRN3	NEK4	0.00575952452325943	Co-expression	Bahr-Bowler-2013
STRN3	PPP4R2	0.012839680390509497	Co-expression	Bahr-Bowler-2013
STRN3	RPRD1A	0.012683003690394575	Co-expression	Bahr-Bowler-2013
STRN3	SUN1	0.010436301315243545	Co-expression	Bahr-Bowler-2013
STRN3	WDR11	0.01102583616415974	Co-expression	Bahr-Bowler-2013
STX16	ANKRD10	0.01795062497693816	Co-expression	Bahr-Bowler-2013
STX2	STX16	0.017797802265825197	Co-expression	Bahr-Bowler-2013
SYK	LYN	0.022948677997882586	Co-expression	Bahr-Bowler-2013
SYK	TIMP2	0.011377098781475367	Co-expression	Bahr-Bowler-2013
TARDBP	KRIT1	0.012191686157855779	Co-expression	Bahr-Bowler-2013
TARDBP	NUP43	0.020080401922576117	Co-expression	Bahr-Bowler-2013
TARDBP	RBM5	0.02118414395637202	Co-expression	Bahr-Bowler-2013
TARDBP	ZFC3H1	0.020012697850728456	Co-expression	Bahr-Bowler-2013
TARDBP	ZNF12	0.022763204638371035	Co-expression	Bahr-Bowler-2013
TARDBP	ZNF573	0.016417253662107528	Co-expression	Bahr-Bowler-2013
TBC1D4	EEF1A1	0.018377596104797816	Co-expression	Bahr-Bowler-2013
TBC1D4	EIF3E	0.01669302650579454	Co-expression	Bahr-Bowler-2013
TBC1D4	ITGA6	0.012966261333811397	Co-expression	Bahr-Bowler-2013
TCERG1	ANKRD10	0.01176304729980859	Co-expression	Bahr-Bowler-2013
TCERG1	CHD1	0.009632170007555558	Co-expression	Bahr-Bowler-2013
TCERG1	CPSF6	0.013635677349759477	Co-expression	Bahr-Bowler-2013
TCERG1	DMTF1	0.006123458892083214	Co-expression	Bahr-Bowler-2013
TCERG1	GSAP	0.01123971201248432	Co-expression	Bahr-Bowler-2013
TCERG1	HNRNPA2B1	0.009765924855479075	Co-expression	Bahr-Bowler-2013
TCERG1	IFRD1	0.01019699757808757	Co-expression	Bahr-Bowler-2013
TCERG1	JMJD1C	0.009639977916129961	Co-expression	Bahr-Bowler-2013
TCERG1	LPP	0.006270020952954888	Co-expression	Bahr-Bowler-2013
TCERG1	MAP4K3	0.007043788356799034	Co-expression	Bahr-Bowler-2013
TCERG1	PNISR	0.009383548299871088	Co-expression	Bahr-Bowler-2013
TCERG1	PNN	0.009337967745990574	Co-expression	Bahr-Bowler-2013
TCERG1	RBM39	0.010348897596932999	Co-expression	Bahr-Bowler-2013
TCERG1	SENP7	0.01043732726910059	Co-expression	Bahr-Bowler-2013
TCERG1	SLC11A2	0.00818828318758104	Co-expression	Bahr-Bowler-2013
TCERG1	SLC35A3	0.010661251691457926	Co-expression	Bahr-Bowler-2013
TCERG1	SRSF10	0.01110558075941195	Co-expression	Bahr-Bowler-2013
TCERG1	ZFC3H1	0.00719587491270938	Co-expression	Bahr-Bowler-2013
TCF12	NEK1	0.00991533882379861	Co-expression	Bahr-Bowler-2013
THUMPD1	CBLB	0.020261929134892928	Co-expression	Bahr-Bowler-2013
TIA1	MON2	0.011776993166090514	Co-expression	Bahr-Bowler-2013
TIA1	MORC3	0.012013396696022893	Co-expression	Bahr-Bowler-2013
TIA1	POT1	0.014196023589374778	Co-expression	Bahr-Bowler-2013
TIA1	PRPF4B	0.03303936055236393	Co-expression	Bahr-Bowler-2013
TIA1	TOP2B	0.01621694061287799	Co-expression	Bahr-Bowler-2013
TIMP2	CREG1	0.004120879128265191	Co-expression	Bahr-Bowler-2013
TIMP2	CTSH	0.014020627672727456	Co-expression	Bahr-Bowler-2013
TIMP2	USP3	0.014546995297696309	Co-expression	Bahr-Bowler-2013
TMCO1	GIN1	0.008331569746419938	Co-expression	Bahr-Bowler-2013
TNFAIP3	BTG1	0.016649507852685166	Co-expression	Bahr-Bowler-2013
TNFAIP3	CCNL1	0.008336993200548447	Co-expression	Bahr-Bowler-2013
TNFAIP3	PDE4B	0.01420544371115311	Co-expression	Bahr-Bowler-2013
TNFAIP3	ZBTB10	0.006958223360985531	Co-expression	Bahr-Bowler-2013
TOP2B	ALMS1	0.013278116885823543	Co-expression	Bahr-Bowler-2013
TOP2B	CARD8	0.016109699565985208	Co-expression	Bahr-Bowler-2013
TOP2B	DDX5	0.013716119238325783	Co-expression	Bahr-Bowler-2013
TOP2B	DIDO1	0.01396478535959714	Co-expression	Bahr-Bowler-2013
TOP2B	LRCH3	0.012644644785741581	Co-expression	Bahr-Bowler-2013
TOP2B	MON2	0.005716815307771038	Co-expression	Bahr-Bowler-2013
TOP2B	PPWD1	0.009844644607213912	Co-expression	Bahr-Bowler-2013
TOP2B	PUM2	0.006333027177649774	Co-expression	Bahr-Bowler-2013
TOP2B	RFX7	0.008037631190527085	Co-expression	Bahr-Bowler-2013
TOP2B	SCAF8	0.008270804742353243	Co-expression	Bahr-Bowler-2013
TOP2B	STAG2	0.010641426576612087	Co-expression	Bahr-Bowler-2013
TOP2B	UPF2	0.00997770549284235	Co-expression	Bahr-Bowler-2013
TOP2B	UPF3B	0.007385337722662888	Co-expression	Bahr-Bowler-2013
TOP2B	ZNF573	0.00792308188791236	Co-expression	Bahr-Bowler-2013
TRA2A	CCNL1	0.013989387155712473	Co-expression	Bahr-Bowler-2013
TRA2A	PIGA	0.013126869746705325	Co-expression	Bahr-Bowler-2013
TRA2A	SLC35A3	0.02119651758167821	Co-expression	Bahr-Bowler-2013
TRA2A	TCERG1	0.010776486073650353	Co-expression	Bahr-Bowler-2013
UBC	TNFAIP3	0.013260642360063597	Co-expression	Bahr-Bowler-2013
UBR5	DHX29	0.01212171144137862	Co-expression	Bahr-Bowler-2013
UBR5	MON2	0.011989233484078049	Co-expression	Bahr-Bowler-2013
UBR5	MORC3	0.011757762082969263	Co-expression	Bahr-Bowler-2013
UBR5	STRN3	0.013539222142441746	Co-expression	Bahr-Bowler-2013
UBXN7	PABPC1	0.023062314601286823	Co-expression	Bahr-Bowler-2013
UBXN7	SRSF4	0.02032038851863045	Co-expression	Bahr-Bowler-2013
UPF2	ATXN2	0.01331456711658015	Co-expression	Bahr-Bowler-2013
UPF2	PHF3	0.01510732044085784	Co-expression	Bahr-Bowler-2013
UPF2	RFX7	0.009887683593584926	Co-expression	Bahr-Bowler-2013
UPF2	UPF3B	0.009573161005680333	Co-expression	Bahr-Bowler-2013
UPF3A	UPF3B	0.01759512308275435	Co-expression	Bahr-Bowler-2013
USP8	DHX29	0.01194402600432737	Co-expression	Bahr-Bowler-2013
USP8	PPFIA1	0.028711882741985283	Co-expression	Bahr-Bowler-2013
USP8	STRN3	0.012191692819893813	Co-expression	Bahr-Bowler-2013
VCAN	CREG1	0.008166398392643404	Co-expression	Bahr-Bowler-2013
VCAN	CRISPLD2	0.0249684635852599	Co-expression	Bahr-Bowler-2013
VCAN	KCTD12	0.02008044189480431	Co-expression	Bahr-Bowler-2013
VCAN	TIMP2	0.012116416231482244	Co-expression	Bahr-Bowler-2013
WSB1	TRIT1	0.03181171127319661	Co-expression	Bahr-Bowler-2013
WWP1	RAD21	0.025631722767726028	Co-expression	Bahr-Bowler-2013
