,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TARDBP,Hsa2 MR for TARDBP,Hsa3 MR for TARDBP,Mcc MR for TARDBP,Mmu MR for Tardbp,Mmu2 MR for Tardbp,Cfa MR for TARDBP,Gga MR for TARDBP,Dre MR for tardbp
172,ZWILCH,"zwilch kinetochore protein",55055,3,225.4,1163.0 ,366.2 ,1449.6 ,363.4 ,407.0 ,300.6 ,6669.7 ,2465.0 
173,ZRANB2,"zinc finger, RAN-binding domain containing 2",9406,3,226.4,38.7 ,19.8 ,425.6 ,,,106.5 ,,1195.2 
174,UMPS,"uridine monophosphate synthetase",7372,3,226.8,287.6 ,2581.8 ,,933.0 ,930.5 ,208.5 ,478.4 ,1643.9 
175,CHORDC1,"cysteine and histidine-rich domain (CHORD) containing 1",26973,3,228.5,592.5 ,197.7 ,3391.1 ,22.1 ,38.4 ,359.1 ,505.9 ,975.6 8685.0 
176,PTGES3,"prostaglandin E synthase 3 (cytosolic)",10728,3,229.0,335.7 ,248.8 ,12614.2 ,,2941.0 2014.3 ,1707.7 ,,2265.3 
177,CHTOP,"chromatin target of PRMT1",26097,3,229.6,155.4 ,160.4 ,,,,1099.7 ,,
178,CAPRIN1,"cell cycle associated protein 1",4076,3,231.1,343.1 ,465.2 ,146.8 ,190.6 ,66.9 ,15.3 ,328.9 ,6444.6 21.8 
179,MIOS,"missing oocyte, meiosis regulator, homolog (Drosophila)",54468,3,232.4,690.8 ,984.6 ,2763.6 ,961.6 ,884.0 ,1844.6 ,3404.0 ,1688.1 
180,NUP88,"nucleoporin 88kDa",4927,3,233.8,1513.7 ,1117.0 ,2356.1 ,610.9 ,117.0 ,253.5 ,1989.2 ,703.2 
181,KDM2B,"lysine (K)-specific demethylase 2B",84678,3,234.6,2410.9 ,2440.5 ,804.9 ,519.5 ,1144.4 ,3987.9 ,3486.0 ,
182,GAPVD1,"GTPase activating protein and VPS9 domains 1",26130,3,235.4,1574.5 ,9604.7 ,2259.4 ,3349.2 ,486.8 ,1176.6 ,6343.0 ,
183,RANBP2,"RAN binding protein 2",5903,3,235.8,355.0 ,1676.1 ,731.2 ,,,858.1 ,,
184,OTULIN,"OTU deubiquitinase with linear linkage specificity",90268,2,235.8,804.1 ,6335.0 ,154.1 ,2102.9 ,12212.1 ,2203.6 ,,8061.6 7368.9 
185,NCBP2,"nuclear cap binding protein subunit 2, 20kDa",22916,3,236.3,303.7 ,572.8 ,570.3 ,38.0 ,150.9 ,3341.3 ,387.7 ,1617.2 
186,KPNA6,"karyopherin alpha 6 (importin alpha 7)",23633,3,237.5,3673.5 ,4209.7 ,235.1 ,3528.1 ,4907.5 ,2767.5 ,168.1 ,
187,PIK3R4,"phosphoinositide-3-kinase, regulatory subunit 4",30849,3,240.2,1930.9 ,2687.7 ,1830.8 ,3805.8 ,6445.6 ,189.8 ,3855.5 ,4304.0 
188,CNOT11,"CCR4-NOT transcription complex, subunit 11",55571,3,243.3,3952.3 ,3351.8 ,,1374.8 ,7377.8 ,1447.0 ,438.8 ,514.9 
189,ATL2,"atlastin GTPase 2",64225,3,243.7,69.4 ,2812.5 ,468.4 ,169.7 ,351.6 ,,,6763.7 
190,SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",8467,3,244.2,91.6 ,1163.5 ,,143.6 ,370.7 ,8.8 ,286.6 ,26.2 
191,HMGN1,"high mobility group nucleosome binding domain 1",3150,3,245.8,1047.2 ,364.1 ,336.6 ,,345.5 ,492.9 ,285.8 ,
192,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2)",3183,3,247.3,160.4 ,34.6 ,19.4 ,92.6 ,20.0 ,609.6 ,,
193,HSPA14,"heat shock 70kDa protein 14",51182,3,248.2,735.0 ,2678.1 ,,373.5 ,323.2 ,1553.4 ,941.1 ,318.3 
194,DDX23,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23",9416,3,248.3,798.0 ,1549.2 ,89.8 ,6646.5 ,1686.8 ,28.0 ,,2885.7 
195,DDX42,"DEAD (Asp-Glu-Ala-Asp) box helicase 42",11325,1,249.0,52.2 ,29.2 ,461.4 ,736.9 ,194.0 ,126.0 ,1199.0 ,412.7 
196,NAT10,"N-acetyltransferase 10 (GCN5-related)",55226,3,249.4,1073.0 ,300.5 ,421.1 ,2956.0 ,368.6 ,513.8 ,750.1 ,1315.0 
197,PAFAH1B2,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa)",5049,3,249.4,3477.2 ,12860.8 ,1792.5 ,466.3 ,1050.6 ,3676.1 ,1636.4 ,1147.8 
198,EIF4ENIF1,"eukaryotic translation initiation factor 4E nuclear import factor 1",56478,3,250.7,3545.7 ,1598.9 ,,860.2 ,2005.2 ,857.0 ,267.7 ,4645.9 
199,6248,"&nbsp;",6248,0,252.8,,1244.2 ,1812.8 ,1275.3 ,6404.9 ,,,
200,MCM3,"minichromosome maintenance complex component 3",4172,3,253.7,770.9 ,221.5 ,592.6 ,3257.2 ,879.5 ,507.3 ,1528.6 ,398.7 
201,ICE1,"interactor of little elongation complex ELL subunit 1",23379,3,253.8,671.8 ,986.0 ,1415.3 ,1140.3 ,1964.2 ,201.0 ,1290.1 ,
202,LSG1,"large 60S subunit nuclear export GTPase 1",55341,3,254.0,692.9 ,1152.2 ,360.2 ,332.7 ,1343.0 ,1194.1 ,2198.3 ,2888.6 
203,MDN1,"MDN1, midasin homolog (yeast)",23195,3,255.2,231.8 ,1346.9 ,,1171.4 ,302.6 ,4860.2 ,3857.1 ,
204,KATNA1,"katanin p60 (ATPase containing) subunit A 1",11104,3,258.1,2924.3 ,4811.5 ,,486.5 ,1339.8 ,1076.6 ,1446.7 ,
205,DCAF13,"DDB1 and CUL4 associated factor 13",25879,3,258.4,1174.7 ,591.4 ,13756.6 ,152.1 ,105.1 ,731.5 ,279.4 ,1786.4 
206,AP3M1,"adaptor-related protein complex 3, mu 1 subunit",26985,3,259.6,809.9 ,1474.8 ,1891.2 ,264.5 ,572.8 ,50.2 ,345.7 ,6902.3 
207,ILF3,"interleukin enhancer binding factor 3, 90kDa",3609,3,261.1,352.7 ,172.7 ,144.6 ,835.5 ,70.2 ,158.2 ,,9.5 
208,CCT3,"chaperonin containing TCP1, subunit 3 (gamma)",7203,3,261.1,1238.4 ,1798.1 ,,95.1 ,479.2 ,724.1 ,3291.0 ,168.0 
209,EXOSC3,"exosome component 3",51010,3,261.4,164.9 ,840.3 ,838.7 ,60.8 ,6492.3 ,1091.5 ,362.7 ,
210,KDM1A,"lysine (K)-specific demethylase 1A",23028,3,261.6,136.2 ,539.9 ,176.9 ,,289.6 ,430.6 ,1033.7 ,
211,CDC5L,"cell division cycle 5-like",988,2,264.0,1095.7 ,3542.8 ,82.0 ,635.3 ,142.5 ,1313.8 ,102.9 ,1599.6 
212,POLR1C,"polymerase (RNA) I polypeptide C, 30kDa",9533,3,264.8,478.7 ,1528.2 ,,776.6 ,3065.0 ,2136.5 ,430.2 ,1539.3 
213,TLK2,"tousled-like kinase 2",11011,2,265.1,1621.8 ,5559.4 ,2352.7 ,1529.1 ,2733.2 ,614.6 ,221.2 ,1885.2 
214,FANCL,"Fanconi anemia, complementation group L",55120,3,265.4,906.4 ,444.1 ,2307.7 ,9360.2 ,826.0 ,1242.7 ,2920.7 ,9213.9 
215,MORF4L2,"mortality factor 4 like 2",9643,3,266.4,1013.8 ,1356.2 ,582.2 ,207.6 ,279.6 ,1199.1 ,,
216,SNHG12,"small nucleolar RNA host gene 12 (non-protein coding)",85028,3,268.7,1596.0 ,1092.1 ,,,,,,
217,ATAD2B,"ATPase family, AAA domain containing 2B",54454,3,268.9,1254.1 ,2439.2 ,375.6 ,377.5 ,923.5 ,1124.2 ,9221.0 ,
218,TARS,"threonyl-tRNA synthetase",6897,3,269.7,862.3 ,1878.7 ,,238.1 ,628.1 ,52.4 ,379.0 ,443.8 
219,LEO1,"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",123169,3,270.6,611.5 ,1482.2 ,,578.5 ,1254.1 ,189.5 ,,566.2 
220,YWHAQ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta",10971,3,270.7,2346.2 ,773.7 ,,34.1 ,486.1 ,1256.9 ,598.1 ,141.6 
221,UTP15,"UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)",84135,3,273.2,917.5 ,1424.8 ,1710.6 ,748.6 ,240.6 ,234.8 ,1020.3 ,650.5 
222,KIF2A,"kinesin heavy chain member 2A",3796,3,274.5,1214.0 ,2276.6 ,2837.5 ,686.5 ,297.2 ,660.5 ,631.4 ,684.4 
223,RIF1,"replication timing regulatory factor 1",55183,3,276.4,228.6 ,1257.2 ,344.4 ,249.6 ,97.3 ,,2174.2 ,1676.0 
224,RNPS1,"RNA binding protein S1, serine-rich domain",10921,3,277.1,2519.0 ,1199.6 ,619.8 ,165.1 ,595.5 ,369.4 ,3444.8 ,178.8 
225,MDC1,"mediator of DNA-damage checkpoint 1",9656,3,277.2,,279.3 ,3316.6 ,1189.9 ,595.7 ,,,
226,PSMD2,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2",5708,3,277.4,2738.2 ,3828.0 ,1799.4 ,938.4 ,399.1 ,398.2 ,2334.7 ,36.5 
227,NUDC,"nudC nuclear distribution protein",10726,3,278.3,662.4 ,2298.1 ,,428.6 ,1006.9 ,290.0 ,394.3 ,592.3 
228,SRRM1,"serine/arginine repetitive matrix 1",10250,3,278.5,4419.3 ,47.6 ,,,,175.8 ,,
229,MRPS9,"mitochondrial ribosomal protein S9",64965,3,278.6,629.1 ,742.8 ,376.4 ,1766.9 ,4313.4 ,2701.2 ,252.5 ,
230,PRPF38B,"pre-mRNA processing factor 38B",55119,2,280.0,139.7 ,68.6 ,232.0 ,149.1 ,670.3 ,149.4 ,1322.5 ,535.1 
231,WDR75,"WD repeat domain 75",84128,3,280.8,747.7 ,1095.4 ,2468.8 ,173.9 ,240.2 ,905.0 ,192.7 ,
232,PAF1,"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)",54623,3,281.0,2357.7 ,4541.8 ,,1426.8 ,5030.4 ,1061.1 ,,44.0 
233,TMEM194A,"transmembrane protein 194A",23306,3,282.4,639.6 ,124.7 ,358.8 ,1306.3 ,1699.0 ,8908.0 ,9725.2 ,
234,DNMT1,"DNA (cytosine-5-)-methyltransferase 1",1786,3,283.3,2452.6 ,2839.2 ,1998.0 ,528.9 ,705.5 ,79.1 ,13340.0 ,2140.7 
235,ADNP,"activity-dependent neuroprotector homeobox",23394,3,283.9,882.8 ,1115.7 ,271.2 ,767.0 ,843.4 ,1258.7 ,2459.6 ,
236,SEH1L,"SEH1-like (S. cerevisiae)",81929,3,283.9,504.1 ,467.2 ,1962.3 ,96.2 ,294.1 ,545.6 ,,472.4 
237,OXSR1,"oxidative stress responsive 1",9943,3,284.9,2207.6 ,373.3 ,902.1 ,951.2 ,1388.8 ,1931.2 ,8744.5 ,
238,U2AF1,"U2 small nuclear RNA auxiliary factor 1",7307,1,285.6,613.0 ,297.7 ,,,,,,761.3 
239,SKIV2L2,"superkiller viralicidic activity 2-like 2 (S. cerevisiae)",23517,3,285.8,70.8 ,644.2 ,,120.5 ,35.2 ,793.5 ,658.1 ,
240,SMNDC1,"survival motor neuron domain containing 1",10285,3,287.9,2540.7 ,68.2 ,748.0 ,250.7 ,675.3 ,2469.6 ,6788.5 ,288.9 
241,ZNF146,"zinc finger protein 146",7705,3,289.8,824.2 ,284.8 ,25.2 ,,203.0 ,,,
242,MED17,"mediator complex subunit 17",9440,3,291.6,479.7 ,2330.1 ,,675.8 ,459.6 ,38.0 ,176.9 ,2915.0 
243,SNRPD1,"small nuclear ribonucleoprotein D1 polypeptide 16kDa",6632,3,292.1,651.7 ,468.7 ,,60.0 ,115.0 ,804.2 ,389.5 ,174.0 
244,RBMX,"RNA binding motif protein, X-linked",27316,3,292.4,341.7 ,177.4 ,,24.2 ,431.8 ,351.3 ,567.0 ,374.4 
245,WDR82,"WD repeat domain 82",80335,3,293.0,395.4 ,1257.6 ,188.1 ,388.0 ,470.3 ,23.9 ,554.3 ,225.7 
246,METAP1,"methionyl aminopeptidase 1",23173,3,294.6,647.7 ,1299.8 ,2026.9 ,83.9 ,235.3 ,16.7 ,960.6 ,806.1 
247,NUP160,"nucleoporin 160kDa",23279,3,297.8,115.0 ,140.8 ,,72.0 ,166.5 ,86.6 ,1234.5 ,
248,NOLC1,"nucleolar and coiled-body phosphoprotein 1",9221,3,298.6,1245.6 ,84.6 ,19.7 ,338.8 ,147.9 ,30.2 ,779.8 ,
249,CCDC77,"coiled-coil domain containing 77",84318,3,299.0,978.0 ,481.8 ,716.1 ,1027.4 ,540.4 ,1501.0 ,5577.2 ,1796.4 
250,RRP15,"ribosomal RNA processing 15 homolog (S. cerevisiae)",51018,3,299.4,1078.8 ,5925.6 ,,377.0 ,374.4 ,533.8 ,661.2 ,558.9 
251,UHRF2,"ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase",115426,3,300.0,1048.5 ,1360.8 ,,894.2 ,1239.5 ,484.2 ,1854.7 ,
252,PPP4R1,"protein phosphatase 4, regulatory subunit 1",9989,3,300.2,2244.5 ,2214.6 ,327.8 ,1221.9 ,2455.2 ,1896.4 ,3857.0 ,4210.7 
253,HMCES,"5-hydroxymethylcytosine (hmC) binding, ES cell-specific",56941,1,305.3,762.1 ,1143.7 ,519.9 ,3338.2 ,7941.8 ,3346.4 ,3290.2 ,
254,WRNIP1,"Werner helicase interacting protein 1",56897,1,306.6,4796.9 ,5276.2 ,192.9 ,440.0 ,3968.2 ,1322.7 ,795.9 ,5774.1 
255,ATAD2,"ATPase family, AAA domain containing 2",29028,3,307.3,855.3 ,329.7 ,1802.2 ,148.3 ,463.5 ,345.2 ,1774.7 ,
256,LRPPRC,"leucine-rich pentatricopeptide repeat containing",10128,3,308.0,251.6 ,876.6 ,267.9 ,468.6 ,69.6 ,44.5 ,6036.7 ,1291.8 
257,RNF219,"ring finger protein 219",79596,3,308.3,304.6 ,409.9 ,,359.9 ,888.7 ,141.4 ,4341.1 ,
258,DAZAP1,"DAZ associated protein 1",26528,3,308.6,2987.5 ,4895.0 ,37.3 ,,,,,
259,SNRPA1,"small nuclear ribonucleoprotein polypeptide A'",6627,2,310.3,289.6 ,105.3 ,,145.4 ,1187.8 ,486.1 ,892.0 ,
260,NOC3L,"nucleolar complex associated 3 homolog (S. cerevisiae)",64318,3,310.6,1099.8 ,1726.6 ,1134.1 ,665.8 ,252.2 ,,817.7 ,821.5 
261,ANKRD32,"ankyrin repeat domain 32",84250,3,314.4,1702.6 ,542.0 ,2882.6 ,458.5 ,140.1 ,1183.5 ,1842.2 ,
262,PARP2,"poly (ADP-ribose) polymerase 2",10038,3,314.6,836.4 ,31.5 ,2305.8 ,1027.0 ,163.2 ,1898.1 ,,1564.7 
263,TSTD2,"thiosulfate sulfurtransferase (rhodanese)-like domain containing 2",158427,0,316.0,574.8 ,2138.3 ,,1566.7 ,4415.2 ,222.5 ,,
264,CCDC43,"coiled-coil domain containing 43",124808,3,317.8,1151.3 ,5184.3 ,1926.4 ,723.3 ,859.9 ,903.7 ,8936.4 ,
265,DNAJA1,"DnaJ (Hsp40) homolog, subfamily A, member 1",3301,3,320.5,2079.9 ,170.3 ,77.4 ,34.1 ,60.6 ,539.7 ,153.8 ,476.2 
266,DDX52,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52",11056,3,320.5,2090.6 ,1624.0 ,,437.0 ,181.3 ,790.9 ,514.4 ,
267,IST1,"increased sodium tolerance 1 homolog (yeast)",9798,3,323.0,698.1 ,257.0 ,,1285.9 ,2903.6 ,131.9 ,2691.7 ,2390.9 
268,CHERP,"calcium homeostasis endoplasmic reticulum protein",10523,2,325.0,13460.8 ,1749.0 ,164.9 ,2263.4 ,4105.2 ,10305.0 ,818.7 ,658.9 
269,ABCE1,"ATP-binding cassette, sub-family E (OABP), member 1",6059,3,325.5,626.7 ,389.2 ,,30.0 ,37.1 ,30.0 ,222.4 ,456.5 
270,RFX5,"regulatory factor X, 5 (influences HLA class II expression)",5993,3,325.7,2436.8 ,3434.3 ,637.2 ,1544.6 ,7885.6 ,1648.0 ,,
271,ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1",23,3,327.4,,405.6 ,,1744.4 ,1157.0 ,52.0 ,,276.2 
272,MAEA,"macrophage erythroblast attacher",10296,3,330.0,2424.0 ,6119.6 ,,4374.9 ,8846.2 ,322.9 ,751.9 ,1162.9 
273,RBBP7,"retinoblastoma binding protein 7",5931,3,332.8,497.8 ,728.0 ,606.7 ,256.8 ,58.1 ,425.4 ,399.5 ,186.7 
274,TRNT1,"tRNA nucleotidyl transferase, CCA-adding, 1",51095,3,333.0,425.0 ,517.0 ,1439.8 ,67.9 ,167.2 ,248.2 ,211.9 ,
275,TATDN2,"TatD DNase domain containing 2",9797,3,333.6,1418.7 ,939.1 ,,6601.6 ,10886.9 ,402.4 ,,
276,GAR1,"GAR1 ribonucleoprotein",54433,3,333.8,729.8 ,113.0 ,466.4 ,,,,,
277,NONO,"non-POU domain containing, octamer-binding",4841,3,333.9,260.6 ,1439.0 ,4.9 ,111.4 ,25.0 ,183.7 ,3.7 ,36.2 
278,DDX20,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 20",11218,3,334.1,2359.2 ,1029.0 ,,651.3 ,1772.5 ,,802.5 ,3097.2 
279,SF1,"splicing factor 1",7536,2,335.1,4706.4 ,1545.3 ,,,,4464.4 ,,
280,TNPO1,"transportin 1",3842,3,341.4,812.9 ,2478.2 ,2738.6 ,327.2 ,359.6 ,1672.3 ,3651.6 ,
281,RBM34,"RNA binding motif protein 34",23029,0,341.9,539.8 ,6555.1 ,1636.3 ,903.4 ,639.5 ,2482.1 ,,
282,TOPBP1,"topoisomerase (DNA) II binding protein 1",11073,3,342.4,437.3 ,941.0 ,369.8 ,139.8 ,325.9 ,152.5 ,11430.9 ,4183.1 
283,SUPT16H,"suppressor of Ty 16 homolog (S. cerevisiae)",11198,2,343.1,72.0 ,147.8 ,,538.0 ,11.8 ,125.2 ,,
284,RBM25,"RNA binding motif protein 25",58517,3,343.3,219.1 ,238.6 ,701.8 ,,,,1427.4 ,
285,EYA3,"EYA transcriptional coactivator and phosphatase 3",2140,2,345.6,3990.6 ,5481.8 ,129.2 ,7249.1 ,1281.7 ,3050.8 ,3214.3 ,
286,TTPAL,"tocopherol (alpha) transfer protein-like",79183,3,347.0,5412.7 ,13061.7 ,2020.2 ,2319.7 ,8115.2 ,5142.5 ,7865.2 ,
287,BLCAP,"bladder cancer associated protein",10904,2,348.6,7522.0 ,6124.5 ,3801.9 ,7473.9 ,12672.1 ,,,1009.5 
288,RFC1,"replication factor C (activator 1) 1, 145kDa",5981,3,350.4,721.7 ,1604.3 ,826.8 ,874.1 ,215.1 ,294.1 ,1483.2 ,1751.3 
289,SFMBT1,"Scm-like with four mbt domains 1",51460,3,351.1,1107.0 ,3150.1 ,3345.9 ,2683.6 ,4907.9 ,1189.9 ,11758.9 ,7924.9 
290,SLC25A44,"solute carrier family 25, member 44",9673,3,352.1,11489.7 ,1866.4 ,,11194.1 ,10716.7 ,10026.4 ,,6094.8 8518.1 
291,DENR,"density-regulated protein",8562,3,353.6,277.9 ,2850.4 ,,876.6 ,454.4 ,711.3 ,63.5 ,638.2 
292,HSPA4,"heat shock 70kDa protein 4",3308,2,354.4,463.8 ,1530.2 ,8.9 ,192.6 ,283.2 ,99.6 ,202.0 ,162.2 577.9 
293,SRSF4,"serine/arginine-rich splicing factor 4",6429,1,354.6,33.7 ,86.5 ,194.1 ,1764.0 ,2379.3 ,340.9 ,13084.5 ,
294,SIN3A,"SIN3 transcription regulator family member A",25942,3,357.1,2742.7 ,826.2 ,155.6 ,1988.3 ,1449.5 ,3538.0 ,8774.3 ,
295,PSMD12,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12",5718,3,358.1,288.2 ,633.0 ,,319.4 ,397.6 ,1131.2 ,309.3 ,673.2 
296,AQR,"aquarius intron-binding spliceosomal factor",9716,3,358.1,727.2 ,2250.0 ,1679.0 ,653.9 ,597.3 ,565.3 ,1101.4 ,6945.3 
297,CNOT1,"CCR4-NOT transcription complex, subunit 1",23019,2,358.2,901.1 ,550.1 ,126.2 ,966.0 ,107.8 ,,,185.2 
298,PCYT1A,"phosphate cytidylyltransferase 1, choline, alpha",5130,3,359.4,3312.9 ,12998.5 ,,3151.1 ,12329.8 ,5597.8 ,3020.1 ,
299,PSMD11,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",5717,3,360.5,729.3 ,481.4 ,52.9 ,976.7 ,410.5 ,337.3 ,,27.5 
300,CFAP20,"cilia and flagella associated protein 20",29105,3,362.4,3135.1 ,3715.7 ,355.6 ,2127.0 ,6829.1 ,1414.7 ,595.5 ,2665.2 
301,CLTC,"clathrin, heavy chain (Hc)",1213,3,365.6,673.3 ,3223.3 ,,1247.0 ,1347.6 ,395.0 ,218.4 ,1707.4 312.9 
302,RRN3,"RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)",54700,2,366.3,,643.2 ,8.8 ,852.4 ,1185.2 ,5.3 ,198.4 ,1859.6 
303,SMC4,"structural maintenance of chromosomes 4",10051,3,367.8,913.9 ,213.3 ,569.7 ,365.3 ,389.5 ,142.9 ,1682.3 ,835.8 
304,GCN1L1,"GCN1 general control of amino-acid synthesis 1-like 1 (yeast)",10985,3,368.9,2041.9 ,3826.4 ,460.4 ,6384.1 ,3217.5 ,776.6 ,,
305,RTF1,"Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",23168,3,369.3,3703.8 ,2405.8 ,601.2 ,953.6 ,361.2 ,11027.7 ,1208.4 ,2140.2 
306,PTBP1,"polypyrimidine tract binding protein 1",5725,2,369.8,3586.3 ,3864.3 ,15.3 ,272.4 ,1732.4 ,13.7 ,121.3 ,453.6 1289.2 
307,HAT1,"histone acetyltransferase 1",8520,3,369.8,1452.6 ,334.4 ,1286.9 ,118.2 ,143.5 ,488.4 ,226.8 ,830.8 
308,BAG5,"BCL2-associated athanogene 5",9529,2,370.4,155.9 ,4813.4 ,4500.6 ,,8769.1 ,598.2 ,6798.9 ,9200.6 
309,GOSR1,"golgi SNAP receptor complex member 1",9527,3,372.0,2045.6 ,9360.5 ,259.4 ,389.9 ,4504.0 ,756.8 ,202.4 ,6320.7 
310,ZNF407,"zinc finger protein 407",55628,3,372.5,1056.0 ,8412.0 ,1074.4 ,806.6 ,6936.0 ,4951.4 ,2051.8 ,
311,BRD7,"bromodomain containing 7",29117,3,374.5,1080.2 ,706.5 ,596.0 ,,644.9 ,338.3 ,435.9 ,
312,NUP62,"nucleoporin 62kDa",23636,2,376.5,,7674.8 ,,611.9 ,3083.5 ,888.1 ,534.0 ,718.9 
313,EIF1AD,"eukaryotic translation initiation factor 1A domain containing",84285,3,377.3,4507.2 ,6828.8 ,2138.7 ,1012.5 ,3280.9 ,2314.3 ,,
314,AP4E1,"adaptor-related protein complex 4, epsilon 1 subunit",23431,3,379.0,1070.7 ,14470.1 ,675.6 ,1065.4 ,471.0 ,652.9 ,1753.6 ,
315,MAT2A,"methionine adenosyltransferase II, alpha",4144,1,379.0,354.2 ,10.2 ,,203.9 ,89.1 ,1403.7 ,,
316,NAP1L4,"nucleosome assembly protein 1-like 4",4676,2,379.8,111.3 ,855.2 ,484.9 ,402.1 ,526.0 ,60.9 ,416.1 ,5385.9 
317,PUM2,"pumilio RNA-binding family member 2",23369,3,379.9,321.2 ,422.7 ,226.4 ,87.1 ,410.4 ,120.1 ,1194.2 ,
318,ATP5A1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",498,3,381.5,211.2 ,1826.0 ,,1168.0 ,1952.9 ,2218.4 ,389.9 ,
319,SAFB,"scaffold attachment factor B",6294,3,382.3,25.5 ,582.9 ,1344.0 ,3861.2 ,249.1 ,332.1 ,5986.6 4098.8 ,124.4 
320,TOP2B,"topoisomerase (DNA) II beta 180kDa",7155,3,382.9,118.9 ,823.4 ,188.0 ,340.2 ,996.6 ,992.6 ,1555.1 ,198.5 
321,GNAI3,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3",2773,3,384.4,484.1 ,2008.0 ,297.1 ,505.5 ,283.4 ,796.8 ,766.1 ,
322,PDS5A,"PDS5 cohesin associated factor A",23244,3,388.5,830.4 ,1043.9 ,,852.4 ,135.5 ,449.9 ,3760.7 ,460.9 
323,YTHDC1,"YTH domain containing 1",91746,3,390.3,145.7 ,723.0 ,81.4 ,317.8 ,130.1 ,64.8 ,,
324,MAPRE1,"microtubule-associated protein, RP/EB family, member 1",22919,3,391.4,100.5 ,277.1 ,238.8 ,82.6 ,35.1 ,,154.5 ,18.7 
325,G2E3,"G2/M-phase specific E3 ubiquitin protein ligase",55632,3,392.0,1089.2 ,365.6 ,,334.1 ,582.0 ,311.2 ,3389.4 ,1271.6 
326,NAA50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",80218,3,394.6,223.9 ,1617.1 ,,244.6 ,336.7 ,,63.5 ,2238.9 
327,ZNHIT6,"zinc finger, HIT-type containing 6",54680,3,395.2,429.4 ,1045.2 ,,335.2 ,507.6 ,1026.4 ,1225.4 ,
328,SF3B3,"splicing factor 3b, subunit 3, 130kDa",23450,3,395.6,386.3 ,939.0 ,79.6 ,402.6 ,68.5 ,142.2 ,220.4 ,179.9 
329,RABGAP1,"RAB GTPase activating protein 1",23637,2,396.1,997.0 ,2184.6 ,,2498.7 ,667.7 ,479.5 ,2423.4 ,
330,EZH2,"enhancer of zeste 2 polycomb repressive complex 2 subunit",2146,3,396.8,1271.8 ,173.7 ,,145.5 ,245.7 ,235.5 ,1165.3 ,322.2 
331,CCDC47,"coiled-coil domain containing 47",57003,3,397.0,261.1 ,1191.2 ,,392.3 ,239.0 ,2715.5 ,451.2 ,782.0 
332,NDC1,"NDC1 transmembrane nucleoporin",55706,3,397.4,843.7 ,563.9 ,,385.9 ,1288.7 ,,1679.7 ,1137.4 
333,MFAP1,"microfibrillar-associated protein 1",4236,2,398.3,516.3 ,146.9 ,34.5 ,,377.9 257.2 ,174.7 ,,572.0 
334,RFWD3,"ring finger and WD repeat domain 3",55159,3,401.1,1594.1 ,815.4 ,268.1 ,267.4 ,493.2 ,704.2 ,3401.2 ,
335,DROSHA,"drosha, ribonuclease type III",29102,3,401.1,925.3 ,95.5 ,,1148.6 ,1359.5 ,386.4 ,929.2 ,4003.4 
336,DONSON,"downstream neighbor of SON",29980,3,401.4,3634.4 ,456.6 ,2064.7 ,823.1 ,3585.9 ,872.8 ,4643.1 ,
337,RBM8A,"RNA binding motif protein 8A",9939,2,403.4,1091.7 ,804.0 ,,156.6 ,456.7 ,558.7 ,,113.0 
338,SF3B1,"splicing factor 3b, subunit 1, 155kDa",23451,3,404.4,223.0 ,148.1 ,,599.5 ,17.9 ,579.2 ,128.0 ,465.7 
339,AMD1,"adenosylmethionine decarboxylase 1",262,3,404.9,417.9 ,347.1 ,,,104.2 100.0 ,660.7 ,440.2 ,
340,EIF4G2,"eukaryotic translation initiation factor 4 gamma, 2",1982,3,405.2,840.5 ,164.5 ,418.7 ,155.7 ,41.4 ,,305.1 ,
341,RNF8,"ring finger protein 8, E3 ubiquitin protein ligase",9025,3,406.5,338.6 ,2115.7 ,,,5427.0 ,896.0 ,4967.9 ,4184.1 
342,FUBP1,"far upstream element (FUSE) binding protein 1",8880,3,410.4,10.1 ,17.2 ,4873.9 ,13.0 ,26.3 ,,241.2 ,173.8 
