GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (510),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
negative regulation of cell cycle process (GO:0010948),217,20,5.28,+,3.79,5.28E-03
gene silencing by miRNA (GO:0035195),39,9,0.95,+,9.49,5.73E-03
regulation of cellular protein localization (GO:1903827),570,35,13.86,+,2.53,7.26E-03
regulation of establishment of planar polarity (GO:0090175),111,14,2.7,+,5.19,7.54E-03
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474),95,13,2.31,+,5.63,7.60E-03
negative regulation of RNA biosynthetic process (GO:1902679),1153,56,28.04,+,2,7.85E-03
regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898),13,6,0.32,+,18.98,8.55E-03
ribosomal small subunit biogenesis (GO:0042274),67,11,1.63,+,6.75,9.34E-03
negative regulation of transferase activity (GO:0051348),357,26,8.68,+,2.99,9.66E-03
heterocycle catabolic process (GO:0046700),382,27,9.29,+,2.91,1.05E-02
"regulation of DNA-templated transcription, initiation (GO:2000142)",31,8,0.75,+,10.61,1.05E-02
cellular macromolecule localization (GO:0070727),1225,58,29.79,+,1.95,1.09E-02
negative regulation of molecular function (GO:0044092),1107,54,26.92,+,2.01,1.10E-02
negative regulation of nucleic acid-templated transcription (GO:1903507),1137,55,27.65,+,1.99,1.12E-02
positive regulation of proteolysis (GO:0045862),360,26,8.75,+,2.97,1.12E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052),170,17,4.13,+,4.11,1.24E-02
snRNA metabolic process (GO:0016073),84,12,2.04,+,5.87,1.28E-02
regulation of translational initiation (GO:0006446),85,12,2.07,+,5.81,1.45E-02
DNA geometric change (GO:0032392),85,12,2.07,+,5.81,1.45E-02
cellular nitrogen compound catabolic process (GO:0044270),389,27,9.46,+,2.85,1.47E-02
organic substance catabolic process (GO:1901575),1605,70,39.03,+,1.79,1.49E-02
regulation of catabolic process (GO:0009894),512,32,12.45,+,2.57,1.49E-02
RNA catabolic process (GO:0006401),233,20,5.67,+,3.53,1.54E-02
response to ionizing radiation (GO:0010212),154,16,3.74,+,4.27,1.56E-02
"negative regulation of transcription, DNA-templated (GO:0045892)",1092,53,26.56,+,2,1.60E-02
positive regulation of translation (GO:0045727),102,13,2.48,+,5.24,1.64E-02
NLS-bearing protein import into nucleus (GO:0006607),23,7,0.56,+,12.52,1.67E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263),119,14,2.89,+,4.84,1.68E-02
regulation of response to DNA damage stimulus (GO:2001020),155,16,3.77,+,4.24,1.69E-02
tumor necrosis factor-mediated signaling pathway (GO:0033209),120,14,2.92,+,4.8,1.85E-02
aromatic compound catabolic process (GO:0019439),394,27,9.58,+,2.82,1.86E-02
regulation of protein catabolic process (GO:0042176),372,26,9.05,+,2.87,2.02E-02
non-canonical Wnt signaling pathway (GO:0035567),139,15,3.38,+,4.44,2.07E-02
positive regulation of histone methylation (GO:0031062),34,8,0.83,+,9.68,2.07E-02
negative regulation of chromatin organization (GO:1905268),46,9,1.12,+,8.05,2.18E-02
protein complex subunit organization (GO:0071822),1317,60,32.03,+,1.87,2.37E-02
positive regulation of protein ubiquitination (GO:0031398),179,17,4.35,+,3.91,2.45E-02
positive regulation of chromatin organization (GO:1905269),90,12,2.19,+,5.48,2.58E-02
binding of sperm to zona pellucida (GO:0007339),36,8,0.88,+,9.14,3.13E-02
mitotic cell cycle checkpoint (GO:0007093),145,15,3.53,+,4.25,3.42E-02
positive regulation of cellular protein catabolic process (GO:1903364),184,17,4.47,+,3.8,3.51E-02
cellular protein localization (GO:0034613),1214,56,29.52,+,1.9,3.64E-02
RNA stabilization (GO:0043489),37,8,0.9,+,8.89,3.82E-02
negative regulation of chromosome organization (GO:2001251),50,9,1.22,+,7.4,4.24E-02
positive regulation of cellular catabolic process (GO:0031331),272,21,6.61,+,3.17,4.31E-02
toxin transport (GO:1901998),38,8,0.92,+,8.66,4.63E-02
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899),10,5,0.24,+,20.56,4.72E-02
organic cyclic compound catabolic process (GO:1901361),416,27,10.12,+,2.67,4.93E-02
DNA duplex unwinding (GO:0032508),80,11,1.95,+,5.65,4.96E-02
