ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol
215813_s_at	-0.68 	4.60 	-3.73 	0.000473181	0.033686564	-0.209627285	PTGS1
219202_at	-0.87 	6.53 	-3.73 	0.000475499	0.033731847	-0.214087114	RHBDF2
209134_s_at	-0.49 	11.96 	-3.72 	0.000476845	0.033731847	-0.216665425	RPS6
210058_at	-0.60 	6.20 	-3.72 	0.000480108	0.033855226	-0.222889048	MAPK13
214833_at	-0.40 	4.36 	-3.72 	0.000482397	0.033909325	-0.227228831	TMEM63A
206846_s_at	-0.46 	6.38 	-3.71 	0.000499175	0.034894566	-0.258419309	HDAC6
220973_s_at	0.46 	5.92 	3.71 	0.000499545	0.034894566	-0.259096055	SHARPIN
202197_at	-0.70 	5.82 	-3.71 	0.000501381	0.034913383	-0.262442822	MTMR3
202085_at	0.91 	4.32 	3.71 	0.000505508	0.035091045	-0.269918551	TJP2
204286_s_at	2.44 	6.05 	3.70 	0.000519414	0.035944399	-0.294668446	PMAIP1
204165_at	-0.38 	3.94 	-3.70 	0.000522388	0.036038315	-0.299875555	WASF1
201041_s_at	1.55 	10.44 	3.69 	0.000536214	0.036877972	-0.323694076	DUSP1
211138_s_at	-1.02 	6.16 	-3.69 	0.000538407	0.036914837	-0.327414458	KMO
220118_at	0.71 	5.69 	3.68 	0.000541604	0.036972685	-0.33281102	ZBTB32
212242_at	1.05 	8.05 	3.68 	0.000542569	0.036972685	-0.334434839	TUBA4A
211627_x_at	0.47 	3.34 	3.68 	0.000544435	0.036986709	-0.337564051	ESR1
212345_s_at	1.32 	8.68 	3.67 	0.000558931	0.037856108	-0.361516139	CREB3L2
202382_s_at	0.56 	5.33 	3.67 	0.000561005	0.037881409	-0.364891048	GNPDA1
219628_at	-0.39 	4.47 	-3.67 	0.000565456	0.038066652	-0.37209421	ZMAT3
213449_at	-0.41 	4.46 	-3.67 	0.000571662	0.03836853	-0.382041316	POP1
208121_s_at	-0.73 	4.78 	-3.66 	0.000577287	0.038629692	-0.390963036	PTPRO
205229_s_at	-1.57 	5.54 	-3.66 	0.000589204	0.039309048	-0.409578549	COCH
209193_at	1.23 	7.38 	3.65 	0.000596837	0.039652957	-0.421304929	PIM1
213005_s_at	1.68 	6.17 	3.65 	0.000599312	0.039652957	-0.425074268	KANK1
206851_at	1.42 	6.60 	3.65 	0.000602143	0.039652957	-0.429367966	RNASE3
221811_at	0.44 	6.11 	3.65 	0.000605388	0.039652957	-0.434262856	PGAP3
205317_s_at	-0.36 	4.30 	-3.65 	0.000606592	0.039652957	-0.436072986	SLC15A2
213082_s_at	0.38 	4.64 	3.65 	0.000606771	0.039652957	-0.436340316	SLC35D2
202417_at	0.61 	6.12 	3.65 	0.000606815	0.039652957	-0.436407048	KEAP1
201305_x_at	0.91 	8.02 	3.65 	0.000609329	0.039700791	-0.440172109	ANP32B
208611_s_at	-0.62 	6.25 	-3.64 	0.000612223	0.039773089	-0.444488313	SPTAN1
206760_s_at	-0.86 	6.04 	-3.64 	0.000626537	0.04052543	-0.465534832	FCER2
218729_at	0.63 	4.50 	3.64 	0.000627441	0.04052543	-0.466847617	LXN
205128_x_at	-0.50 	5.58 	-3.63 	0.00063682	0.04098147	-0.480357181	PTGS1
212658_at	-0.74 	5.81 	-3.63 	0.00063909	0.04098147	-0.483596372	LHFPL2
201527_at	0.61 	7.97 	3.63 	0.000644051	0.041121478	-0.490636554	ATP6V1F
220306_at	1.24 	7.27 	3.62 	0.000654015	0.041638353	-0.504611942	FAM46C
203230_at	0.91 	6.52 	3.62 	0.000658283	0.041790656	-0.510532173	DVL1
221794_at	0.37 	5.67 	3.61 	0.000670655	0.042326052	-0.527479064	DOCK6
204120_s_at	-0.35 	3.48 	-3.61 	0.000671494	0.042326052	-0.528617104	ADK
215092_s_at	0.61 	4.35 	3.61 	0.000672415	0.042326052	-0.529863815	NFAT5
221869_at	0.41 	4.21 	3.61 	0.000676503	0.042396543	-0.535380063	ZNF512B
219534_x_at	0.82 	5.63 	3.61 	0.00067734	0.042396543	-0.536504955	CDKN1C
211971_s_at	-0.89 	7.01 	-3.60 	0.000691656	0.043050748	-0.55553569	LRPPRC
215861_at	0.36 	4.53 	3.60 	0.000698251	0.043340191	-0.564169774	RP4-724E16.2
210130_s_at	0.63 	6.19 	3.60 	0.000709202	0.043897614	-0.578325704	TM7SF2
206352_s_at	0.51 	6.21 	3.59 	0.000713238	0.043939206	-0.583487346	PEX10
203656_at	-0.93 	7.20 	-3.59 	0.000713833	0.043939206	-0.584246174	FIG4
204249_s_at	-1.17 	4.70 	-3.59 	0.000715789	0.043939206	-0.586735719	LMO2
205930_at	-0.70 	6.03 	-3.59 	0.000730983	0.044748639	-0.605839438	GTF2E1
209059_s_at	1.01 	8.13 	3.58 	0.000736197	0.044944298	-0.612301751	EDF1
208701_at	-0.45 	4.51 	-3.58 	0.000740803	0.045101967	-0.617974026	APLP2
220320_at	0.53 	5.70 	3.58 	0.00074959	0.045512561	-0.628694997	DOK3
218640_s_at	-1.57 	6.54 	-3.58 	0.000755487	0.045745977	-0.63581982	PLEKHF2
219822_at	-0.63 	4.77 	-3.57 	0.000762383	0.045999604	-0.6440801	MTRF1
213791_at	-0.29 	4.53 	-3.57 	0.000765382	0.045999604	-0.647648925	PENK
204083_s_at	0.66 	4.19 	3.57 	0.000765869	0.045999604	-0.648227097	TPM2
205316_at	-0.77 	4.84 	-3.57 	0.000774654	0.046402192	-0.658594757	SLC15A2
202871_at	0.60 	6.54 	3.56 	0.000792966	0.047351556	-0.679829053	TRAF4
202796_at	-0.50 	5.68 	-3.56 	0.000794753	0.047351556	-0.681874656	SYNPO
211323_s_at	-0.34 	4.31 	-3.56 	0.000804537	0.047806675	-0.692993234	ITPR1
208610_s_at	1.41 	7.82 	3.55 	0.000808621	0.047921556	-0.69759382	SRRM2
209818_s_at	0.25 	6.81 	3.55 	0.000812073	0.047998445	-0.70146369	HABP4
221658_s_at	-0.64 	5.84 	-3.54 	0.000835354	0.049030359	-0.727141445	IL21R
213122_at	-0.50 	3.93 	-3.54 	0.000835382	0.049030359	-0.727172702	TSPYL5
212539_at	-0.86 	7.20 	-3.54 	0.000836132	0.049030359	-0.727987769	CHD1L
210153_s_at	-0.57 	6.47 	-3.54 	0.000841684	0.049226363	-0.733998683	ME2
211833_s_at	0.36 	4.65 	3.54 	0.000847032	0.049409463	-0.739751437	BAX
