"","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000207609",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207611",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207612",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207613",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207614",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207615",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207616",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207617",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207619",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207620",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207621",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207622",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207624",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207625",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207626",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207627",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207628",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207629",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207630",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207631",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207632",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207633",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207634",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207635",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207636",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207637",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207638",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207639",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207641",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207642",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207643",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207644",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207645",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207646",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207647",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207648",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207649",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207650",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207651",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207652",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207653",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207654",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207656",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207688",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207689",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207690",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207691",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207692",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207693",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207695",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207696",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207697",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207698",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207699",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207701",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207702",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207703",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207704",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207705",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207706",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207707",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207708",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207709",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207710",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207711",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207712",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207713",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207714",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207715",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207716",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207717",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207719",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207720",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207721",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207722",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207725",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207726",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207728",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207729",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207730",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207731",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207732",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207733",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207734",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207735",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207736",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207737",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207738",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207739",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207741",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207742",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207743",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207744",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207746",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207749",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207750",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207751",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207752",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207753",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207754",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207755",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207756",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207757",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207758",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207759",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207761",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207762",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207763",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207764",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207765",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207766",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207767",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207768",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207769",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207770",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207771",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207773",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207775",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207776",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207778",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207779",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207780",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207781",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207782",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207783",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207784",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"ENSG00000207785",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207788",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207789",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207797",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207798",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207799",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207800",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207802",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207803",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207804",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207805",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207807",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207808",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207810",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207811",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207812",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207813",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207814",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207815",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207816",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207817",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207818",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207819",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207820",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207821",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207825",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207826",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207827",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207830",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207832",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207833",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207834",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207835",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207836",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207837",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207838",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207839",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207844",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207846",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207849",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207857",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207858",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207861",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207862",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207863",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207864",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207865",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207866",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207867",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207868",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207869",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207870",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207871",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207873",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000207874",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207875",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207895",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207922",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207923",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207924",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207925",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207926",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207927",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207928",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207930",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207931",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207932",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207933",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207934",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207935",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207938",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207939",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207940",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207941",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207942",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207943",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207944",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207945",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207946",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207947",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207948",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207949",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207951",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207952",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207954",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000207955",2,3,2,4,2,5,93,6,3,7,5,8,5,0
"ENSG00000207956",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207957",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207959",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207960",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207961",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207962",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207963",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207964",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207965",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207967",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207969",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207970",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207971",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207972",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207973",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207974",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207975",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207976",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207978",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207979",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207980",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207981",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207982",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207983",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207984",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207986",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207987",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207988",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207989",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207990",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207991",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207992",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207993",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207994",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207995",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207996",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207997",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208001",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208002",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208004",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208006",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208008",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208009",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208012",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208013",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208014",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208015",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208017",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208018",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208022",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208023",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208024",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208025",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208027",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208028",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208032",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208033",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208034",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208035",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208036",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208037",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208038",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208308",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208772",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208797",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208839",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208883",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000208892",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209042",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209082",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209480",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209482",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209582",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209645",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000209702",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210049",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210077",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210082",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210100",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210107",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210112",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210117",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210127",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210135",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210140",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210144",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210151",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210154",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210156",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210164",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210174",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210176",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210181",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210184",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210191",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210194",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210195",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210196",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210678",0,0,0,0,0,0,1,0,0,0,0,0,2,0
"ENSG00000210709",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210741",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210825",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210839",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000210841",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000211137",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211445",160,147,302,295,415,369,159,469,228,166,337,152,119,155
"ENSG00000211448",10,8,5,28,7,15,9,34,24,52,30,46,57,11
"ENSG00000211450",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211451",24,35,47,71,51,47,34,77,44,53,46,41,4,2
"ENSG00000211452",321,408,287,361,614,376,694,682,577,638,377,365,353,747
"ENSG00000211454",103,72,149,89,233,143,568,473,231,159,170,91,160,239
"ENSG00000211455",3893,4480,4199,5342,3065,3697,5174,4272,4662,4590,4043,4666,2631,3574
"ENSG00000211456",2674,2444,4739,4737,2949,2313,3374,3993,3596,2718,4877,3759,1473,2223
"ENSG00000211459",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211460",462,417,879,1054,801,776,683,1243,782,629,999,680,547,868
"ENSG00000211482",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211483",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211491",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211495",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211499",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000211508",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211510",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211513",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211514",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211515",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211517",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211518",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211519",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211520",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211524",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211525",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211526",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211528",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211530",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211532",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211534",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211535",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211538",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211542",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211543",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211544",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211553",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211556",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211562",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211563",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211566",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211568",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211571",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211573",0,0,0,0,0,0,0,0,0,0,0,0,0,0
