GWASCentralALS,NeuroXFDR.05,NeuroXGWS,GWASCentralAD,Subnetwork28,Exac,Cirulli,ADMalacards,ALSMalacards,Pasterkamp,Taylor,ALSOD,ParkinsonsMalacards
GREM2,,,,,UPF2,,,,,,,
PLD5,,,,,SMARCA2,,,,,,,
SERTAD4,,,,,HIRA,,,,,,,
GALNT2,,,,,UBTF,,,,,,,
LHX9,,,,,MLLT4,,,,,,,
USH2A,,,,,HOOK3,,,,,,,
GNAT2,,,,,ATAD2,,,,,,,
C1orf173,,,,,MICAL3,,,,,,,
ZNF326,,,,,TNRC6C,,,,,,,
LOC284661,,,,,WAPAL,,,,,,,
ZNF496,,,,,DDX46,,,,,,,
KCNN3,,,,,SRGAP3,,,,,,,
MAEL,,,,,WDR33,,,,,,,
PLA2G4A,,,,,KIAA0947,,,,,,,
FGGY,,,,,MYH10,,,,,,,
DHCR24,,,,,ATP2B1,,,,,,,
CD1E,,,,,PTPN4,,,,,,,
S1PR1,,,,,AFF4,,,,,,,
LOC339442,,,,,USP48,,,,,,,
CD1A,,,,,NCOA2,,,,,,,
PRDM16,,,,,DHX15,,,,,,,
CEP104,,,,,PSMD2,,,,,,,
C1orf65,,,,,ZMYND8,,,,,,,
LOC100506023,,,,,C11orf30,,,,,,,
CD1C,,,,,INTS3,,,,,,,
IGFN1,,,,,RBM26,,,,,,,
PPP1R12B;PPP1R12B,,,,,RBM39,,,,,,,
FAM5B,,,,,KALRN,,,,,,,
CSRP1,,,,,THRAP3,,,,,,,
PLXNA2,,,,,ILF3,,,,,,,
CENPF,,,,,SMARCAD1,,,,,,,
LOC100506421,,,,,SETDB1,,,,,,,
FAM110C,,,,,RAPGEF2,,,,,,,
TGOLN2,,,,,ROCK1,,,,,,,
ACYP2,,,,,INTS6,,,,,,,
TANC1,,,,,CACNA1G,,,,,,,
SH3RF3,,,,,CEP350,,,,,,,
CDCA7,,,,,SLTM,,,,,,,
COBLL1,,,,,SETD1A,,,,,,,
UBR3,,,,,ROBO2,,,,,,,
CAPN13,,,,,KIF11,,,,,,,
LOC100505964,,,,,Mar-06,,,,,,,
FAM49A,,,,,HCFC1,,,,,,,
C2orf3,,,,,ZNF407,,,,,,,
LOC151171,,,,,HECW2,,,,,,,
FLJ43879,,,,,TENM1,,,,,,,
CAPG,,,,,CACNA2D1,,,,,,,
SNTG2,,,,,SLC4A4,,,,,,,
VSNL1,,,,,DDX42,,,,,,,
GRHL1,,,,,DOPEY1,,,,,,,
C2orf57,,,,,RERE,,,,,,,
NCKAP5,,,,,GTF3C1,,,,,,,
BRE,,,,,ADCY2,,,,,,,
PTH2R,,,,,DCHS1,,,,,,,
MRPS9,,,,,NAA35,,,,,,,
PLCL1,,,,,PKN2,,,,,,,
SLC38A11,,,,,TRIM24,,,,,,,
ARL6IP6,,,,,RNF40,,,,,,,
SNAR-H,,,,,GRIN2B,,,,,,,
SLC40A1,,,,,KDM5A,,,,,,,
CPS1,,,,,RRM1,,,,,,,
CCDC93,,,,,TLK1,,,,,,,
FAM150B,,,,,GLI3,,,,,,,
ZNF385B,,,,,DICER1,,,,,,,
CTNNA2,,,,,COL6A1,,,,,,,
ATP6V1E2,,,,,NUP153,,,,,,,
DDX18,,,,,KDM6B,,,,,,,
PKDCC,,,,,KPNB1,,,,,,,
TNP1,,,,,ATP1A3,,,,,,,
DKFZp686O1327,,,,,STAT1,,,,,,,
C2orf70,,,,,ACAN,,,,,,,
ERBB4,,,,,KDM4A,,,,,,,
SPAG16,,,,,ATP1A1,,,,,,,
TCF7L1,,,,,PITPNM2,,,,,,,
LOC400958,,,,,SYCP2,,,,,,,
AGAP1,,,,,BRD4,,,,,,,
HS6ST1,,,,,FNBP4,,,,,,,
SGPP2,,,,,ARHGEF2,,,,,,,
FSHR,,,,,EPC1,,,,,,,
MYT1L,,,,,VAV1,,,,,,,
BAZ2B,,,,,PLCG2,,,,,,,
TGFA,,,,,PTK2,,,,,,,
DDX1,,,,,SETD2,,,,,,,
RBKS,,,,,TEK,,,,,,,
SLC5A7,,,,,CDC5L,,,,,,,
MIR4268,,,,,LPHN3,,,,,,,
CWC22,,,,,SEC24C,,,,,,,
ZDHHC23,,,,,DDB1,,,,,,,
LSAMP-AS1,,,,,AGO2,,,,,,,
C3orf17,,,,,FXR1,,,,,,,
FLJ25363,,,,,IPO9,,,,,,,
RBMS3,,,,,VPS13D,,,,,,,
ROBO1,,,,,VCP,,,,,,,
BCL6,,,,,USP19,,,,,,,
MGLL,,,,,TCEB3,,,,,,,
C3orf67,,,,,MAP3K4,,,,,,,
ATP2B2,,,,,XRCC5,,,,,,,
STAC,,,,,CDK12,,,,,,,
IL5RA,,,,,MYO9A,,,,,,,
IL20RB,,,,,CAMTA2,,,,,,,
SSR3,,,,,STXBP5,,,,,,,
ZNF621,,,,,EFTUD2,,,,,,,
BCHE,,,,,NFAT5,,,,,,,
TIPARP,,,,,MED1,,,,,,,
IQCJ,,,,,DAAM1,,,,,,,
TNIK,,,,,DIDO1,,,,,,,
NAALADL2,,,,,CELSR1,,,,,,,
PDCD6IP,,,,,UBA1,,,,,,,
GRM7,,,,,ITCH,,,,,,,
KCNMB3,,,,,EZH2,,,,,,,
SRGAP3,,,,,NAA25,,,,,,,
SLC25A26,,,,,SMURF2,,,,,,,
MIR4790,,,,,ARHGAP35,,,,,,,
ROBO2,,,,,ACTN4,,,,,,,
CNTN6,,,,,ST5,,,,,,,
FAM19A1,,,,,HDAC4,,,,,,,
CP,,,,,PLXND1,,,,,,,
FRMD4B,,,,,PAN3,,,,,,,
EOMES,,,,,KIF1A,,,,,,,
PYDC2,,,,,DPP10,,,,,,,
FNDC3B,,,,,CNTN1,,,,,,,
COL7A1,,,,,STAT3,,,,,,,
ZPLD1,,,,,DOT1L,,,,,,,
MIR548A3,,,,,CUX1,,,,,,,
SLC6A1,,,,,SMC1A,,,,,,,
LSG1,,,,,CHERP,,,,,,,
GXYLT2,,,,,TEX10,,,,,,,
GPR149,,,,,ANKRD52,,,,,,,
RYBP,,,,,KIF26B,,,,,,,
FHIT,,,,,BAG6,,,,,,,
C3orf20,,,,,UBE4B,,,,,,,
AGTR1,,,,,SLC12A5,,,,,,,
OTOL1,,,,,KDM6A,,,,,,,
MIR548AC,,,,,DENND4B,,,,,,,
ZBTB20,,,,,ZC3H7A,,,,,,,
CACNA2D3,,,,,HIVEP1,,,,,,,
NLGN1,,,,,UNC13A,,,,,,,
ARHGEF3,,,,,CASKIN2,,,,,,,
LRIG1,,,,,FRMD4A,,,,,,,
ABCF3,,,,,EIF4B,,,,,,,
LOC285501,,,,,ARHGAP29,,,,,,,
SPCS3,,,,,MAP1B,,,,,,,
EVC2,,,,,ASAP2,,,,,,,
PPP2R2C,,,,,LRP8,,,,,,,
FHDC1,,,,,UBE2O,,,,,,,
CLDN24,,,,,ANKRD12,,,,,,,
GALNTL6,,,,,FAM160B1,,,,,,,
TMEM154,,,,,PIK3CD,,,,,,,
STAP1,,,,,MINK1,,,,,,,
KCTD8,,,,,SCUBE3,,,,,,,
NBLA00301,,,,,L1CAM,,,,,,,
PITX2,,,,,MAP2,,,,,,,
IL21,,,,,ASAP1,,,,,,,
LOC100505989,,,,,USP8,,,,,,,
LOC285441,,,,,ABCE1,,,,,,,
FREM3,,,,,NCSTN,,,,,,,
NEIL3,,,,,MAP3K12,,,,,,,
ZNF718,,,,,CSE1L,,,,,,,
PDLIM5,,,,,SMG7,,,,,,,
CLNK,,,,,GPHN,,,,,,,
FAM13A,,,,,ZNFX1,,,,,,,
PLAC8,,,,,ATP9A,,,,,,,
CEP44,,,,,COL11A1,,,,,,,
CC2D2A,,,,,APC2,,,,,,,
GRXCR1,,,,,GRIK3,,,,,,,
UNC5C,,,,,KIF5A,,,,,,,
RNF150,,,,,FBXO11,,,,,,,
APBB2,,,,,ZNF521,,,,,,,
LOC100506229,,,,,PIK3CB,,,,,,,
SLC7A11,,,,,KCNH4,,,,,,,
SPOCK3,,,,,LYST,,,,,,,
ANXA5,,,,,TSC1,,,,,,,
ADH7,,,,,LRP6,,,,,,,
LOC255130,,,,,BRAF,,,,,,,
BEND4,,,,,SPTBN2,,,,,,,
FBXO8,,,,,TCF20,,,,,,,
PPM1K,,,,,FBXW7,,,,,,,
FSTL5,,,,,YEATS2,,,,,,,
HS3ST1,,,,,TAOK3,,,,,,,
CENPE,,,,,RUSC2,,,,,,,
KCNIP4,,,,,RPRD2,,,,,,,
HPGD,,,,,ASXL3,,,,,,,
BANK1,,,,,ZNF292,,,,,,,
WDFY3,,,,,PTPRA,,,,,,,
SNX18,,,,,NEURL4,,,,,,,
NLN,,,,,IQGAP1,,,,,,,
ZFR,,,,,ARID4B,,,,,,,
RIOK2,,,,,PPFIA2,,,,,,,
SLIT3,,,,,AP1G1,,,,,,,
TBCA,,,,,LUC7L3,,,,,,,
CDH12,,,,,TNRC18,,,,,,,
TAG,,,,,CAMSAP2,,,,,,,
VCAN,,,,,FUBP1,,,,,,,
RAB9BP1,,,,,PAPOLA,,,,,,,
PCDHGA1,,,,,AMBRA1,,,,,,,
ANKRD55,,,,,DNAJC11,,,,,,,
C5orf48,,,,,TM9SF4,,,,,,,
FGF1,,,,,EIF3B,,,,,,,
MIR4277,,,,,PAXBP1,,,,,,,
CAST,,,,,GABBR1,,,,,,,
CTNND2,,,,,PRR12,,,,,,,
LOC100289673,,,,,DCAF5,,,,,,,
PCDHGA11,,,,,DNM2,,,,,,,
LOC285692,,,,,KIF4A,,,,,,,
CLINT1,,,,,ZNF608,,,,,,,
HMP19,,,,,RREB1,,,,,,,
ADCY2,,,,,MORC2,,,,,,,
LOC100289230,,,,,ATP13A3,,,,,,,
IRX4,,,,,RBM33,,,,,,,
LOC285577,,,,,BCR,,,,,,,
PDZD2,,,,,CNOT3,,,,,,,
ACTBL2,,,,,ZMYM3,,,,,,,
ZSWIM6,,,,,NEDD4L,,,,,,,
KCNMB1,,,,,CUL5,,,,,,,
ODZ2,,,,,TEX11,,,,,,,
ST8SIA4,,,,,MYT1L,,,,,,,
MYO10,,,,,FUS,,,,,,,
ERAP1,,,,,ZMYND11,,,,,,,
LOC401177,,,,,CUL1,,,,,,,
ARHGEF37,,,,,SF3B3,,,,,,,
EDIL3,,,,,TCERG1,,,,,,,
MAST4,,,,,FBXO38,,,,,,,
MAT2B,,,,,PCIF1,,,,,,,
ADRB2,,,,,SLC4A2,,,,,,,
HLA-DOA,,,,,ZNF638,,,,,,,
KIF13A,,,,,PHF12,,,,,,,
EXOC2,,,,,CDC73,,,,,,,
MIR4643,,,,,KIF13A,,,,,,,
OPRM1,,,,,RANBP9,,,,,,,
RFPL4B,,,,,HSPA4,,,,,,,
GMDS,,,,,PTPRM,,,,,,,
LOC100422737,,,,,KAT7,,,,,,,
ECI2,,,,,CASKIN1,,,,,,,
QKI,,,,,NCBP1,,,,,,,
CTGF,,,,,ZFPM2,,,,,,,
PARK2,,,,,PHC3,,,,,,,
SYNJ2,,,,,STAT5B,,,,,,,
MIR2113,,,,,CLK2,,,,,,,
PPP1R14C,,,,,EPC2,,,,,,,
SAMD5,,,,,LARP1,,,,,,,
T,,,,,CSDE1,,,,,,,
ID4,,,,,TENM2,,,,,,,
NOX3,,,,,ATXN2L,,,,,,,
GPR116,,,,,ARID1B,,,,,,,
GRIK2,,,,,ABR,,,,,,,
AKIRIN2,,,,,NRXN1,,,,,,,
BCKDHB,,,,,EPHB2,,,,,,,
MTHFD1L,,,,,GANAB,,,,,,,
OSTM1,,,,,STXBP5L,,,,,,,
C6orf186,,,,,CLASP2,,,,,,,
HS3ST5,,,,,KIAA2018,,,,,,,
NHSL1,,,,,HNRNPM,,,,,,,
COL19A1,,,,,OGT,,,,,,,
C6orf58,,,,,ARHGAP21,,,,,,,
AKAP12,,,,,SMARCA1,,,,,,,
SMOC2,,,,,KSR2,,,,,,,
ELOVL5,,,,,ZNF609,,,,,,,
LOC285768,,,,,BCOR,,,,,,,
LOC441177,,,,,DENND5B,,,,,,,
TULP1,,,,,ARHGEF11,,,,,,,
LIN28B,,,,,CAMSAP3,,,,,,,
NKAIN2,,,,,HIPK1,,,,,,,
JARID2,,,,,TET3,,,,,,,
EEF1A1,,,,,PTPRC,,,,,,,
E2F3,,,,,CARD11,,,,,,,
AKAP7,,,,,CASZ1,,,,,,,
RNGTT,,,,,MKL2,,,,,,,
MCM3,,,,,TENM3,,,,,,,
MAP3K7,,,,,TULP4,,,,,,,
IMPG1,,,,,FLT4,,,,,,,
THBS2,,,,,AKAP6,,,,,,,
FAM126A,,,,,JAKMIP2,,,,,,,
CALN1,,,,,QSER1,,,,,,,
PER4,,,,,SMG6,,,,,,,
ATXN7L1,,,,,KDM4B,,,,,,,
ORC5,,,,,FURIN,,,,,,,
CASD1,,,,,YLPM1,,,,,,,
CDC14C,,,,,PAXIP1,,,,,,,
TNPO3,,,,,AP2A2,,,,,,,
ZNF804B,,,,,MARK4,,,,,,,
STEAP4,,,,,TIAM1,,,,,,,
EEPD1,,,,,SLIT1,,,,,,,
CHCHD3,,,,,GNL1,,,,,,,
MKLN1,,,,,ACTN1,,,,,,,
ABCA13,,,,,SUV420H1,,,,,,,
DLX5,,,,,RBPJ,,,,,,,
GNAI1,,,,,GGNBP2,,,,,,,
SUN1,,,,,ANKRD28,,,,,,,
MEOX2,,,,,TM9SF2,,,,,,,
LOC100134229,,,,,WBP11,,,,,,,
UNCX,,,,,CAND1,,,,,,,
SDK1,,,,,SORT1,,,,,,,
COL28A1,,,,,LATS1,,,,,,,
TRY6,,,,,LIN9,,,,,,,
LRGUK,,,,,UPF1,,,,,,,
NUB1,,,,,HNRNPUL2,,,,,,,
HTR5A,,,,,MGAT5,,,,,,,
IQCE,,,,,ZDHHC5,,,,,,,
TPI1P2,,,,,ZYG11B,,,,,,,
NEUROD6,,,,,NF2,,,,,,,
WBSCR17,,,,,ZZEF1,,,,,,,
GRM8,,,,,PUM2,,,,,,,
ADCYAP1R1,,,,,ATG2A,,,,,,,
TMEM196,,,,,TLE4,,,,,,,
NPVF,,,,,ATP2B2,,,,,,,
GRM3,,,,,BAZ2B,,,,,,,
COBL,,,,,HDAC6,,,,,,,
MTPN,,,,,SHANK2,,,,,,,
CREB5,,,,,CDC42BPA,,,,,,,
PHF14,,,,,COL4A5,,,,,,,
SNORD93,,,,,OCRL,,,,,,,
HECW1,,,,,ACAP2,,,,,,,
KHDRBS3,,,,,GLTSCR1L,,,,,,,
COL14A1,,,,,SEMA3F,,,,,,,
LOC157273,,,,,SND1,,,,,,,
LOC286114,,,,,NCOA3,,,,,,,
FLJ43860,,,,,OTUD4,,,,,,,
FABP12,,,,,RAPGEF1,,,,,,,
TMEM74,,,,,TLE3,,,,,,,
DUSP26,,,,,PDS5B,,,,,,,
PTDSS1,,,,,RBM10,,,,,,,
KCNB2,,,,,PHF20L1,,,,,,,
SGCZ,,,,,PTPN6,,,,,,,
CSMD1,,,,,ADCY1,,,,,,,
WRN,,,,,PRKCB,,,,,,,
FBXO32,,,,,FAM120A,,,,,,,
ZHX2,,,,,PACS1,,,,,,,
ATP6V0D2,,,,,NPEPPS,,,,,,,
CNGB3,,,,,RPS6KA3,,,,,,,
PXDNL,,,,,PKD1,,,,,,,
FAM110B,,,,,RANBP3,,,,,,,
MTSS1,,,,,HNRNPU,,,,,,,
TRPS1,,,,,CIC,,,,,,,
NCOA2,,,,,TTC7B,,,,,,,
MMP16,,,,,STRBP,,,,,,,
CRISPLD1,,,,,TRIM28,,,,,,,
HNF4G,,,,,DSP,,,,,,,
ADAM7,,,,,MARK2,,,,,,,
MIR1208,,,,,ERBB4,,,,,,,
ZFAT,,,,,DGCR8,,,,,,,
FLJ42969,,,,,NRXN2,,,,,,,
KCNV1,,,,,SF3A3,,,,,,,
AZIN1,,,,,NTRK2,,,,,,,
PSKH2,,,,,ETV5,,,,,,,
MIR30D,,,,,WAC,,,,,,,
LOC100507632,,,,,PRKCE,,,,,,,
LOC286184,,,,,EPHA4,,,,,,,
FZD3,,,,,KCNH3,,,,,,,
ZFPM2,,,,,ARID5B,,,,,,,
BLK,,,,,RNF111,,,,,,,
ASPH,,,,,RET,,,,,,,
CYP7B1,,,,,STIP1,,,,,,,
GRIN3A,,,,,CMIP,,,,,,,
NCS1,,,,,TNPO2,,,,,,,
FLJ35282,,,,,LARP4B,,,,,,,
BNC2,,,,,CASK,,,,,,,
DMRTA1,,,,,ANKIB1,,,,,,,
DOCK8,,,,,SNX27,,,,,,,
IPPK,,,,,FNDC3A,,,,,,,
C9orf27,,,,,ARMC8,,,,,,,
RXRA,,,,,STXBP1,,,,,,,
TYRP1,,,,,ABL1,,,,,,,
MIR873,,,,,SIK3,,,,,,,
MIR548H3,,,,,C18orf8,,,,,,,
COL27A1,,,,,CLIP2,,,,,,,
ELAVL2,,,,,FAM160A2,,,,,,,
PSAT1,,,,,GRHL2,,,,,,,
C9orf150,,,,,KIT,,,,,,,
GNAQ,,,,,GLYR1,,,,,,,
UNQ6494,,,,,PTPN11,,,,,,,
GABBR2,,,,,SENP6,,,,,,,
LOC286370,,,,,PDGFRA,,,,,,,
AK8,,,,,BAI1,,,,,,,
C9orf144B,,,,,MORC3,,,,,,,
C9orf170,,,,,IGSF9B,,,,,,,
OBP2B,,,,,AHR,,,,,,,
LOC392364,,,,,MYT1,,,,,,,
TTLL11,,,,,CNOT2,,,,,,,
MUSK,,,,,SEC24B,,,,,,,
LOC100506422,,,,,SLC4A8,,,,,,,
HIATL1,,,,,TCF4,,,,,,,
GNA14,,,,,STAT5A,,,,,,,
OR1J4,,,,,ZNF827,,,,,,,
MIR3134,,,,,GTPBP4,,,,,,,
BICD2,,,,,DNM1,,,,,,,
C9orf71,,,,,TPP2,,,,,,,
C10orf44,,,,,SERBP1,,,,,,,
SH2D4B,,,,,ATXN2,,,,,,,
PRKCQ,,,,,JARID2,,,,,,,
LOC399708,,,,,POLR1A,,,,,,,
ZNF438,,,,,RALGPS1,,,,,,,
SORCS3,,,,,TP53BP1,,,,,,,
EBLN1,,,,,NRXN3,,,,,,,
PCDH15,,,,,NEO1,,,,,,,
ARL5B,,,,,NELL2,,,,,,,
KCNMA1,,,,,TLN2,,,,,,,
ADARB2,,,,,RBM15,,,,,,,
PFKP,,,,,PDS5A,,,,,,,
LOC439949,,,,,MBD5,,,,,,,
ADAMTS14,,,,,ARCN1,,,,,,,
CAMK1D,,,,,MYH14,,,,,,,
KIAA1274,,,,,MYRF,,,,,,,
CDH23,,,,,DDX26B,,,,,,,
ITGB1,,,,,HNRNPUL1,,,,,,,
NPS,,,,,AP2A1,,,,,,,
PNLIPRP2,,,,,CUL4B,,,,,,,
FAM190B,,,,,TMEM63B,,,,,,,
NRG3,,,,,ADAM10,,,,,,,
ZNF485,,,,,WDR44,,,,,,,
REEP3,,,,,PRDM16,,,,,,,
GFRA1,,,,,ZRANB1,,,,,,,
ANO1,,,,,SHANK3,,,,,,,
C11orf73,,,,,SIK2,,,,,,,
LUZP2,,,,,HMGCR,,,,,,,
NAV2,,,,,CNOT10,,,,,,,
LOC100507205,,,,,ZEB2,,,,,,,
GVINP1,,,,,CS,,,,,,,
INS-IGF2,,,,,FERMT2,,,,,,,
DKFZp686K1684,,,,,MTSS1,,,,,,,
OR8G5,,,,,PRKCG,,,,,,,
SNX19,,,,,FNIP1,,,,,,,
OPCML,,,,,MATR3,,,,,,,
PRSS23,,,,,MFN2,,,,,,,
NELL1,,,,,CTNNB1,,,,,,,
LOC283177,,,,,ACTN2,,,,,,,
ENDOD1,,,,,HDAC5,,,,,,,
LOC283143,,,,,INTS2,,,,,,,
LMO1,,,,,WDR48,,,,,,,
GUCY1A2,,,,,LEPR,,,,,,,
WT1-AS,,,,,LRRC41,,,,,,,
OR56B4,,,,,ATP8A1,,,,,,,
PHF21A,,,,,RPS6KA5,,,,,,,
PLEKHA7,,,,,UBP1,,,,,,,
GUCY2E,,,,,ATP2C1,,,,,,,
NCRNA00288,,,,,ITGA5,,,,,,,
LOC729013,,,,,AHCYL1,,,,,,,
CCDC73,,,,,PELP1,,,,,,,
OR9G4,,,,,GRAMD4,,,,,,,
OR8G2,,,,,SPEG,,,,,,,
PVRL1,,,,,GABBR2,,,,,,,
TMPRSS13,,,,,SRSF11,,,,,,,
SYT13,,,,,DPF2,,,,,,,
TSPAN8,,,,,EFEMP1,,,,,,,
RAB21,,,,,GTF3C2,,,,,,,
SLC6A13,,,,,KDM2B,,,,,,,
CLEC2A,,,,,ZC3H14,,,,,,,
CMAS,,,,,NUP85,,,,,,,
CACNA2D4,,,,,HNRNPK,,,,,,,
TMTC1,,,,,HYOU1,,,,,,,
PKP2,,,,,RSPRY1,,,,,,,
BTBD11,,,,,RAF1,,,,,,,
TMEM132D,,,,,DNMT3B,,,,,,,
NAV3,,,,,RFX3,,,,,,,
ETNK1,,,,,ELMSAN1,,,,,,,
TBX3,,,,,FXR2,,,,,,,
KRR1,,,,,ECE1,,,,,,,
KSR2,,,,,CAPRIN1,,,,,,,
KRT4,,,,,COPB1,,,,,,,
LOC283404,,,,,TDRD1,,,,,,,
GLT8D2,,,,,TAB2,,,,,,,
TMEM132C,,,,,SSBP3,,,,,,,
RBMS2,,,,,COL1A2,,,,,,,
KDM5A,,,,,SSH2,,,,,,,
GRIN2B,,,,,FGFR2,,,,,,,
RIMBP2,,,,,FOXP1,,,,,,,
LMO3,,,,,VCAN,,,,,,,
ADAMTS20,,,,,EHBP1,,,,,,,
GLS2,,,,,CNKSR2,,,,,,,
SRRM4,,,,,MTA1,,,,,,,
OAS2,,,,,PSMD11,,,,,,,
LOC100128554,,,,,ZMIZ1,,,,,,,
SLC2A14,,,,,PRKG1,,,,,,,
MTERFD3,,,,,ATF7IP,,,,,,,
MAP1LC3B2,,,,,ATG16L1,,,,,,,
PLEKHG6,,,,,MAPKAP1,,,,,,,
FRS2,,,,,KANSL1,,,,,,,
TMTC2,,,,,DCAF8,,,,,,,
GAS6,,,,,ZZZ3,,,,,,,
DCLK1,,,,,DNAJC7,,,,,,,
SLC10A2,,,,,TTC17,,,,,,,
TNFSF13B,,,,,IGF2BP3,,,,,,,
DAOA-AS1,,,,,ATP11C,,,,,,,
LMO7,,,,,JMY,,,,,,,
C1QTNF9B,,,,,CFLAR,,,,,,,
SLITRK6,,,,,TENM4,,,,,,,
GJB6,,,,,RNF31,,,,,,,
ABCC4,,,,,CTNNA2,,,,,,,
OLFM4,,,,,MAU2,,,,,,,
FLT1,,,,,CSNK1G1,,,,,,,
RASL11A,,,,,PLXNC1,,,,,,,
HTR2A,,,,,KHSRP,,,,,,,
RAP2A,,,,,DNAJC14,,,,,,,
EDNRB,,,,,PPP3CB,,,,,,,
FAM155A,,,,,CLUH,,,,,,,
WDFY2,,,,,DAPK1,,,,,,,
DCUN1D2,,,,,EPB41L4B,,,,,,,
ALOX5AP,,,,,LONP1,,,,,,,
PCDH8,,,,,NFKB2,,,,,,,
RNF17,,,,,PRKD2,,,,,,,
DNAJC15,,,,,ABCD3,,,,,,,
C13orf30,,,,,CACNA2D2,,,,,,,
OR7E156P,,,,,SSRP1,,,,,,,
MTUS2,,,,,PABPC1,,,,,,,
KL,,,,,EIF4ENIF1,,,,,,,
LOC400238,,,,,MAP1A,,,,,,,
RGS6,,,,,FMNL1,,,,,,,
SNAPC1,,,,,SAFB,,,,,,,
MIR656,,,,,SCAF11,,,,,,,
NRXN3,,,,,HIP1,,,,,,,
NGDN,,,,,RFX7,,,,,,,
DPF3,,,,,WDR26,,,,,,,
ZFP36L1,,,,,SIPA1L3,,,,,,,
C14orf64,,,,,PHF21A,,,,,,,
RNASE1,,,,,UBA2,,,,,,,
VSX2,,,,,FAM208A,,,,,,,
LTBP2,,,,,DIP2B,,,,,,,
C14orf49,,,,,AP2B1,,,,,,,
FUT8,,,,,TNFAIP3,,,,,,,
PSMA6,,,,,ARIH1,,,,,,,
MEIS2,,,,,RFX4,,,,,,,
NTRK3,,,,,PPARGC1A,,,,,,,
TMCO5A,,,,,PIK3AP1,,,,,,,
TRPM1,,,,,CUX2,,,,,,,
LRRK1,,,,,CELSR3,,,,,,,
LOC283738,,,,,TM9SF3,,,,,,,
GPR176,,,,,DAB2IP,,,,,,,
CD276,,,,,SGIP1,,,,,,,
LRRC28,,,,,CSNK2A1,,,,,,,
FAM189A1,,,,,UHRF2,,,,,,,
RGMA,,,,,PHEX,,,,,,,
ATPBD4,,,,,PDZD2,,,,,,,
ONECUT1,,,,,PRPF4,,,,,,,
TMC3,,,,,DLGAP3,,,,,,,
SV2B,,,,,LIMCH1,,,,,,,
IQGAP1,,,,,SUGP1,,,,,,,
ARNT2,,,,,ARHGAP31,,,,,,,
RORA,,,,,ATP7A,,,,,,,
LOC100287559,,,,,SNW1,,,,,,,
AVEN,,,,,WWC3,,,,,,,
PLA2G4E,,,,,PAFAH1B1,,,,,,,
CHP,,,,,CFH,,,,,,,
NEO1,,,,,UTP14A,,,,,,,
AGBL1,,,,,BRPF1,,,,,,,
FMN1,,,,,ZMIZ2,,,,,,,
UNC13C,,,,,NFKBIZ,,,,,,,
BNIP2,,,,,MAGI1,,,,,,,
CDH13,,,,,EIF4A1,,,,,,,
MAF,,,,,RASGRF1,,,,,,,
JPH3,,,,,LEO1,,,,,,,
WWP2,,,,,TRERF1,,,,,,,
ANKS4B,,,,,CPEB1,,,,,,,
LOC554206,,,,,C3,,,,,,,
HS3ST4,,,,,AKT3,,,,,,,
TMCO7,,,,,DYRK1A,,,,,,,
ZNF423,,,,,MLLT10,,,,,,,
SNX29,,,,,SAFB2,,,,,,,
WWOX,,,,,MKLN1,,,,,,,
KCNG4,,,,,UBE3A,,,,,,,
MIR548X,,,,,STRN4,,,,,,,
FTO,,,,,COPS2,,,,,,,
IRX3,,,,,DAZAP1,,,,,,,
GOT2,,,,,ATP8B2,,,,,,,
MKL2,,,,,TET1,,,,,,,
HNF1B,,,,,BTK,,,,,,,
ZNF652,,,,,SATB2,,,,,,,
ABCA9,,,,,MAP3K2,,,,,,,
RAB40B,,,,,PHF1,,,,,,,
AMZ2P1,,,,,DDX23,,,,,,,
OR3A4,,,,,ZNF512B,,,,,,,
FMNL1,,,,,TAF5,,,,,,,
PRKCA,,,,,NFIA,,,,,,,
OR3A1,,,,,API5,,,,,,,
RAP1GAP2,,,,,NNT,,,,,,,
CACNG5,,,,,UBR3,,,,,,,
ACCN1,,,,,NRBP1,,,,,,,
HS3ST3B1,,,,,SEMA6A,,,,,,,
ASPA,,,,,RAD21,,,,,,,
LOC100499467,,,,,DLG3,,,,,,,
SEC14L1,,,,,OSBP,,,,,,,
NOS2,,,,,GNAS,,,,,,,
FAM18B2-CDRT4,,,,,RC3H1,,,,,,,
CCL1,,,,,TRPC4AP,,,,,,,
LASP1,,,,,KCNQ5,,,,,,,
OR1E2,,,,,SOX6,,,,,,,
Sep-09,,,,,BRD2,,,,,,,
NPLOC4,,,,,BOD1L1,,,,,,,
GALR1,,,,,SMARCD1,,,,,,,
ZNF24,,,,,SFPQ,,,,,,,
GALNT1,,,,,MAP3K3,,,,,,,
FHOD3,,,,,ZC3H18,,,,,,,
OSBPL1A,,,,,KIF5C,,,,,,,
DCC,,,,,PITPNM3,,,,,,,
DTNA,,,,,FLNC,,,,,,,
LOC643542,,,,,CCT2,,,,,,,
CELF4,,,,,L3MBTL3,,,,,,,
COLEC12,,,,,GPATCH8,,,,,,,
RBFA,,,,,MYEF2,,,,,,,
INO80C,,,,,TAF4,,,,,,,
ENOSF1,,,,,RPS6KA4,,,,,,,
CCDC68,,,,,SEMA6D,,,,,,,
ZSCAN30,,,,,PHF3,,,,,,,
ADNP2,,,,,BNC2,,,,,,,
ZNF271,,,,,STK39,,,,,,,
TGIF1,,,,,NHS,,,,,,,
