"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149"
"5401","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5402","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5403","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5404","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5405","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5406","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5407","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5408","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5409","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5410","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5411","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5412","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5413","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5414","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5415","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5416","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5417","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5418","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5419","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5420","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5421","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5422","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5423","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","KLC1","ZBTB10","PRKAR2A","IFI16","PHF3","RBMS1","GPNMB","DMD","TCF4","BGN","KCTD12","NKTR","MCMBP","PAIP1","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","PLXDC2","VPS13B","BBX","ADAMTS1","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","CCDC88A","FAM46A","DCN","JMJD1C","ZFHX3","ORAI2","SF3B1","TAOK3","CEP57","RPL35A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
