,GSM329677.CEL,GSM329679.CEL,GSM329681.CEL,GSM329683.CEL,GSM329686.CEL,GSM329689.CEL,GSM329692.CEL,GSM329694.CEL,GSM329697.CEL,GSM329700.CEL,GSM329703.CEL,GSM329704.CEL,GSM329707.CEL,GSM329709.CEL,GSM329711.CEL,GSM329714.CEL,GSM329660.CEL,GSM329663.CEL,GSM329664.CEL,GSM329666.CEL,GSM329667.CEL,GSM329670.CEL,GSM329672.CEL,GSM329674.CEL
Bacterial invasion of epithelial cells (KEGG),0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Basal cell carcinoma (KEGG),0,-1,0,0,0,1,-1,0,-1,-1,0,0,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,0
Basal transcription factors (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Base excision repair (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Benzo(a)pyrene metabolism (Wikipathways),-1,0,1,1,0,1,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1
beta-Alanine metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Bile secretion (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biogenic Amine Synthesis (Wikipathways),0,0,0,0,-1,0,-1,0,1,-1,-1,0,0,0,0,-1,0,0,0,1,0,0,0,1
Biological oxidations (Reactome),0,0,1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,0,-1
Biosynthesis of unsaturated fatty acids (KEGG),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder cancer (KEGG),0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1
Blood Clotting Cascade (Wikipathways),0,-1,1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,0,-1
BMP signalling and regulation (Wikipathways),1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Botulinum neurotoxicity (Reactome),1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Butanoate metabolism (KEGG),0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Caffeine metabolism (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Calcium Regulation in the Cardiac Cell (Wikipathways),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Calcium signaling pathway (KEGG),1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carbohydrate digestion and absorption (KEGG),0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
Cardiac muscle contraction (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cell adhesion molecules (CAMs) (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell cycle (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell cycle (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Cycle Checkpoints (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Cell Cycle, Mitotic (Reactome)",-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1
Cell junction organization (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chagas disease (American trypanosomiasis) (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemokine signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholesterol Biosynthesis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromosome Maintenance (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic myeloid leukemia (KEGG),0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,-1
Circadian Clock (Reactome),0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0
Circadian rhythm - mammal (KEGG),0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
Citrate cycle (TCA cycle) (KEGG),0,1,0,-1,-1,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Codeine and morphine metabolism (Wikipathways),1,-1,1,1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1
Collecting duct acid secretion (KEGG),-1,1,0,-1,-1,-1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1
Colorectal cancer (KEGG),0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0
"Complement Activation, Classical Pathway (Wikipathways)",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,-1,1,1,1,-1
Complement and coagulation cascades (KEGG),0,-1,1,1,1,1,1,0,-1,0,0,0,1,-1,-1,0,-1,0,0,-1,0,0,0,-1
Complement and Coagulation Cascades (Wikipathways),0,0,1,1,1,1,1,0,0,0,0,0,1,-1,-1,0,0,1,0,-1,0,0,0,-1
Cyanoamino acid metabolism (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cysteine and methionine metabolism (KEGG),0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
cytochrome P450 (Wikipathways),-1,-1,1,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Cytokine-cytokine receptor interaction (KEGG),-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cytokines and Inflammatory Response (Wikipathways),-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cytoplasmic Ribosomal Proteins (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cytosolic DNA-sensing pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta-Notch Signaling Pathway (Wikipathways),0,0,0,0,0,1,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0
Diabetes pathways (Reactome),-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,1,-1,-1,0,0,-1,-1
Dilated cardiomyopathy (KEGG),1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diurnally regulated genes with circadian orthologs (Wikipathways),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DNA damage response (only ATM dependent) (Wikipathways),-1,-1,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,0
DNA damage response (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNA Repair (Reactome),-1,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,0
DNA replication (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNA Replication (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DNA Replication (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorso-ventral axis formation (KEGG),1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1
Drug metabolism - cytochrome P450 (KEGG),1,0,1,1,0,0,0,0,0,-1,-1,0,1,0,-1,-1,0,-1,1,0,0,-1,0,-1
Drug metabolism - other enzymes (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EBV LMP1 signaling (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ECM-receptor interaction (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR1 down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR1 Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR1 up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eicosanoid Synthesis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electron Transport Chain (Wikipathways),-1,1,-1,-1,-1,-1,-1,0,1,0,0,-1,0,1,0,-1,0,0,0,1,0,0,0,0
Endochondral Ossification (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endocrine and other factor-regulated calcium reabsorption (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Endocytosis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endometrial cancer (KEGG),0,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,0
Energy Metabolism (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epithelial cell signaling in Helicobacter pylori infection (KEGG),-1,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,1,0,0
EPO Receptor Signaling (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ErbB signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ErbB signaling pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estrogen metabolism (Wikipathways),-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Estrogen signaling pathway (Wikipathways),-1,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
Ether lipid metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryotic Transcription Initiation (Wikipathways),-1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0
FAS pathway and Stress induction of HSP regulation (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fat digestion and absorption (KEGG),0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1
Fatty Acid Beta Oxidation (Wikipathways),1,0,1,1,1,1,0,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1
Fatty acid biosynthesis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatty Acid Biosynthesis (Wikipathways),1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,-1,-1,0,0,0,-1,1,0
Fatty acid elongation in mitochondria (KEGG),0,1,0,-1,0,0,0,0,0,-1,-1,0,1,0,-1,-1,0,0,1,0,0,-1,0,0
Fatty acid metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,-1,1,0
Fatty Acid Omega Oxidation (Wikipathways),0,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1
Fc epsilon RI signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fc gamma R-mediated phagocytosis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoropyrimidine Activity (Wikipathways),0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Focal adhesion (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Focal Adhesion (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folate biosynthesis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folate Metabolism (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fructose and mannose metabolism (KEGG),-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
G Protein Signaling Pathways (Wikipathways),1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G1 to S cell cycle control (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G13 Signaling Pathway (Wikipathways),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galactose metabolism (KEGG),-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ganglio Sphingolipid Metabolism (Wikipathways),1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Gap junction (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gastric acid secretion (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gene Expression (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Glioma (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globo Sphingolipid Metabolism (Wikipathways),0,0,0,-1,-1,-1,0,0,1,0,1,0,-1,1,1,0,0,1,0,1,0,0,0,1
Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways),-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Glucuronidation (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
Glutamatergic synapse (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glutathione metabolism (KEGG),0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,-1,-1,0,0,0,0,-1,0,0
Glutathione metabolism (Wikipathways),1,0,0,0,0,-1,0,-1,0,-1,-1,-1,1,0,0,-1,-1,0,1,0,0,-1,0,0
Glycerolipid metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycerophospholipid metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glycine, serine and threonine metabolism (KEGG)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Glycogen Metabolism (Wikipathways),1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Glycolysis / Gluconeogenesis (KEGG),-1,0,1,-1,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0
Glycolysis and Gluconeogenesis (Wikipathways),0,1,1,-1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
Glycosaminoglycan biosynthesis - chondroitin sulfate (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycosaminoglycan biosynthesis - heparan sulfate (KEGG),1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glycosaminoglycan biosynthesis - keratan sulfate (KEGG),1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glycosaminoglycan degradation (KEGG),-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0
Glycosphingolipid biosynthesis - ganglio series (KEGG),-1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1
Glycosphingolipid biosynthesis - globo series (KEGG),0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0
Glycosphingolipid biosynthesis - lacto and neolacto series (KEGG),1,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,-1,0
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Glyoxylate and dicarboxylate metabolism (KEGG),0,1,0,-1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
GnRH signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP-VI signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPCRs, Class A Rhodopsin-like (Wikipathways)",0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0
"GPCRs, Class B Secretin-like (Wikipathways)",1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"GPCRs, Class C Metabotropic glutamate, pheromone (Wikipathways)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GPCRs, Other (Wikipathways)",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Graft-versus-host disease (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart Development (Wikipathways),1,0,1,1,0,1,0,0,-1,0,0,0,1,-1,0,0,-1,0,0,-1,0,0,-1,-1
Hedgehog signaling pathway (KEGG),0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0
Hedgehog Signaling Pathway (Wikipathways),0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hedgehog up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hematopoietic cell lineage (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heme Biosynthesis (Wikipathways),0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,-1,0,1
Hemostasis (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Histidine metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
HIV Infection (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Homologous recombination (KEGG),0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homologous recombination (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington's disease (KEGG),-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,0
Hypertrophic cardiomyopathy (HCM) (KEGG),0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
Hypertrophy Model (Wikipathways),-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,1,-1,-1
Hypothetical Network for Drug Addiction (Wikipathways),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id Signaling Pathway (Wikipathways),0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
ID up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-1 down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-1 Signaling Pathway (Wikipathways),-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IL-1 up reg. targets (Netpath),-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1
IL-2 down reg. targets (Netpath),0,-1,1,1,0,1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
IL-2 Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-2 up reg. targets (Netpath),0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0
IL-3 down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-3 Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-3 up reg. targets (Netpath),-1,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
IL-4 down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-4 signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-4 up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-5 down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
IL-5 Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-5 up reg. targets (Netpath),-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
IL-6 down reg. targets (Netpath),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IL-6 Signaling Pathway (Wikipathways),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IL-6 up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-7 down reg. targets (Netpath),-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
IL-7 Signaling Pathway (Wikipathways),-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1
IL-7 up reg. targets (Netpath),-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1
IL-9 Signaling Pathway (Wikipathways),-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1
IL-9 up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory Response Pathway (Wikipathways),0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1
Influenza A (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza Infection (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Inositol phosphate metabolism (KEGG),1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1
Insulin Signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insulin signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integrated Breast Cancer Pathway (Wikipathways),0,-1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
Integrated Cancer pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integration of energy metabolism (Reactome),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Integrin cell surface interactions (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integrin-mediated cell adhesion (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interactions of the immunoglobulin superfamily (IgSF) member proteins (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interferon type I (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinal immune network for IgA production (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
