"","meandiff"
"{SEC24B,18} (Static Module)",0.25
"{SEPT2,21} (Static Module)",0.5
"{SFPQ,10} (Static Module)",0.125
"{SHH,13} (Static Module)",0.0625
"{SIX3,11} (Static Module)",0.6875
"{SMAD4,27} (Static Module)",0
"{SNX1,11} (Static Module)",0.3125
"{SP1,88} (Static Module)",0.1875
"{SPI1,10} (Static Module)",0.1875
"{SPTAN1,10} (Static Module)",0.375
"{SREBF1,11} (Static Module)",0.375
"{SRF,11} (Static Module)",0
"{STX5,12} (Static Module)",0
"{SUMO1,12} (Static Module)",0.25
"{TCF3,20} (Static Module)",0
"{TFAP2A,25} (Static Module)",0
"{TGFBR1,98} (Static Module)",0.3125
"{TIA1,10} (Static Module)",0.0625
"{TJP1,26} (Static Module)",0.0625
"{TLE1,10} (Static Module)",0.0625
"{TP53,109} (Static Module)",0
"{TRAF2,90} (Static Module)",0
"{TRAF6,55} (Static Module)",0.3125
"{UBE2D1,58} (Static Module)",0.1875
"{USF1,13} (Static Module)",0.125
"{VAMP2,63} (Static Module)",0
"{VCP,17} (Static Module)",0
"{VHL,12} (Static Module)",0.4375
