"","meandiff"
"{POLR2A,195} (Static Module)",0
"{POLR2H,109} (Static Module)",0
"{POR,15} (Static Module)",0.5
"{POU2F1,21} (Static Module)",0
"{PPP2CA,20} (Static Module)",0
"{PRKAA2,24} (Static Module)",0.166666666666667
"{PRKACA,33} (Static Module)",0.333333333333333
"{PRKCA,14} (Static Module)",0.5
"{PRKG1,21} (Static Module)",0
"{PTPRF,10} (Static Module)",0.166666666666667
"{RAB5A,41} (Static Module)",0.5
"{RAC1,133} (Static Module)",0
"{RAD21,11} (Static Module)",0.666666666666667
"{RAD51,13} (Static Module)",0
"{RAN,17} (Static Module)",0.333333333333333
"{RAP1A,22} (Static Module)",0
"{RARA,17} (Static Module)",0.666666666666667
"{RASGRF1,26} (Static Module)",0
"{RB1,11} (Static Module)",0.166666666666667
"{ROCK1,10} (Static Module)",0
"{RPS27A,138} (Static Module)",0
"{RXRA,51} (Static Module)",0.166666666666667
"{RYR2,15} (Static Module)",0.5
"{SDC1,30} (Static Module)",0.666666666666667
"{SEC24B,18} (Static Module)",0
"{SEPT2,21} (Static Module)",0.666666666666667
"{SFPQ,10} (Static Module)",0
"{SHH,13} (Static Module)",0.333333333333333
"{SIX3,11} (Static Module)",0.5
"{SMAD4,27} (Static Module)",0
"{SNX1,11} (Static Module)",0
"{SP1,88} (Static Module)",0.166666666666667
"{SPI1,10} (Static Module)",0
"{SPTAN1,10} (Static Module)",0.166666666666667
"{SREBF1,11} (Static Module)",0.5
"{SRF,11} (Static Module)",0.333333333333333
"{STX5,12} (Static Module)",0.166666666666667
"{SUMO1,12} (Static Module)",0
"{TCF3,20} (Static Module)",1
"{TFAP2A,25} (Static Module)",0.166666666666667
"{TGFBR1,98} (Static Module)",0
"{TIA1,10} (Static Module)",0
"{TJP1,26} (Static Module)",0.166666666666667
"{TLE1,10} (Static Module)",0.166666666666667
"{TP53,109} (Static Module)",0
"{TRAF2,90} (Static Module)",0
"{TRAF6,55} (Static Module)",0.333333333333333
"{UBE2D1,58} (Static Module)",0.333333333333333
"{USF1,13} (Static Module)",0.333333333333333
"{VAMP2,63} (Static Module)",0.333333333333333
"{VCP,17} (Static Module)",0.833333333333333
"{VHL,12} (Static Module)",0
